pens_made,sca,carries,pens_att,blocks,dayofweek,gca,comp,assists,progressive_passes,touches,xg,position,pressures,date,shots_on_target,passes_completed,game_started,squad,shots_total,dribbles,xa,npxg,passes_pct,cards_yellow,passes,match_report,minutes,dribbles_completed,result,cards_red,bench_explain,progressive_carries,tackles,venue,goals,round,opponent,interceptions
0,,,0,,Sat,,Community Shield,,,,,CB,,2021-08-07,0,,Y,Leicester City,0,,,,,0,,,90,,W 1–0,0,,,,Neutral,0,FA Community Shield,Manchester City,0
0,1,60,0,2,Sat,0,Premier League,0,0,80,0.0,CB,3,2021-08-14,0,70,Y,Leicester City,0,0,0.0,0.0,95.9,0,73,,90,0,W 1–0,0,,2,2,Home,0,Matchweek 1,Wolves,0
0,0,74,0,3,Mon,0,Premier League,0,6,92,0.0,CB,3,2021-08-23,0,76,Y,Leicester City,0,0,0.0,0.0,93.8,0,81,,90,0,L 1–4,0,,6,0,Away,0,Matchweek 2,West Ham,2
0,1,52,0,1,Sat,0,Premier League,0,4,77,0.0,CB,5,2021-08-28,0,59,Y,Leicester City,0,2,0.0,0.0,85.5,0,69,,90,2,W 2–1,0,,3,0,Away,0,Matchweek 3,Norwich City,1
0,,,0,,Fri,,WCQ,0,,,,CB,,2021-09-03,,,Y,Ghana,,,,,,0,,,90,,W 1–0,0,,,,Home,0,Second round,Ethiopia,
,,,,,Sat,,Premier League,,,,,,,2021-09-11,,,N,Leicester City,,,,,,,,,,,L 0–1,,"On matchday squad, but did not play",,,Home,,Matchweek 4,Manchester City,
,,,,,Thu,,Europa Lg,,,,,,,2021-09-16,,,N,Leicester City,,,,,,,,,,,D 2–2,,"On matchday squad, but did not play",,,Home,,Group stage,Napoli,
,,,,,Sun,,Premier League,,,,,,,2021-09-19,,,N,Leicester City,,,,,,,,,,,L 1–2,,"On matchday squad, but did not play",,,Away,,Matchweek 5,Brighton,
0,,,0,,Wed,,EFL Cup,0,,,,CB,,2021-09-22,0,,Y,Leicester City,0,,,,,0,,,90,,W 2–0,0,,,,Away,0,Third round,Millwall,0
0,1,72,0,1,Thu,0,Europa Lg,0,1,80,0.0,CB,4,2021-09-30,0,72,Y,Leicester City,0,1,0.0,0.0,96.0,0,75,,77,0,L 0–1,0,,8,1,Away,0,Group stage,Legia Warsaw,0
,,,,,Sun,,Premier League,,,,,,,2021-10-03,,,N,Leicester City,,,,,,,,,,,D 2–2,,"On matchday squad, but did not play",,,Away,,Matchweek 7,Crystal Palace,
