pens_made,sca,carries,pens_att,blocks,dayofweek,gca,comp,assists,progressive_passes,touches,xg,position,pressures,date,shots_on_target,passes_completed,game_started,squad,shots_total,dribbles,xa,npxg,passes_pct,cards_yellow,passes,match_report,minutes,dribbles_completed,result,cards_red,bench_explain,progressive_carries,tackles,venue,goals,round,opponent,interceptions
0,4,47,0,2,Sat,0,Copa América,0,4,51,0.0,"LM,LW",19,2021-07-03,1,28,Y,Colombia,1,7,0.0,0.0,77.8,0,36,,90,6,D 0 ,0,,11,0,Neutral,0,Quarter-finals,Uruguay,1
0,5,56,0,0,Tue,1,Copa América,0,2,56,0.2,LM,10,2021-07-06,2,30,Y,Colombia,3,12,0.2,0.2,78.9,0,38,,120,12,D 1 ,0,,15,3,Away,1,Semi-finals,Argentina,1
0,3,40,0,0,Fri,1,Copa América,0,4,54,0.4,LM,15,2021-07-09,4,35,Y,Colombia,4,7,0.0,0.4,87.5,0,40,,90,4,W 3–2,0,,6,1,Home,2,Third-place match,Peru,0
0,,,0,,Sun,,Primeira Liga,0,,,,LM,,2021-08-08,2,,Y,Porto,4,,,,,1,,,89,,W 2–0,0,,,,Home,1,Matchweek 1,Belenenses,0
0,,,0,,Sun,,Primeira Liga,0,,,,LM,,2021-08-15,0,,Y,Porto,0,,,,,0,,,90,,W 2–1,0,,,,Away,0,Matchweek 2,Famalicão,0
0,,,0,,Sun,,Primeira Liga,0,,,,LM,,2021-08-22,1,,Y,Porto,4,,,,,0,,,80,,D 1–1,0,,,,Away,1,Matchweek 3,Marítimo,1
0,,,0,,Sat,,Primeira Liga,1,,,,LM,,2021-08-28,1,,Y,Porto,3,,,,,1,,,79,,W 3–0,0,,,,Home,0,Matchweek 4,Arouca,0
0,,,0,,Thu,,WCQ,0,,,,AM,,2021-09-02,0,,Y,Colombia,1,,,,,0,,,57,,D 1–1,0,,,,Away,0,WCQ — CONMEBOL (M),Bolivia,0
0,,,0,,Sun,,WCQ,0,,,,,,2021-09-05,1,,N,Colombia,1,,,,,0,,,24,,D 1–1,0,,,,Away,0,WCQ — CONMEBOL (M),Paraguay,2
0,,,0,,Thu,,WCQ,0,,,,LM,,2021-09-09,1,,Y,Colombia,1,,,,,0,,,89,,W 3–1,0,,,,Home,1,WCQ — CONMEBOL (M),Chile,0
0,,,0,,Sat,,Primeira Liga,0,,,,LM,,2021-09-11,1,,Y,Porto,1,,,,,0,,,89,,D 1–1,0,,,,Away,1,Matchweek 5,Sporting CP,0
0,0,24,0,0,Wed,0,Champions Lg,0,4,29,0.0,LM,8,2021-09-15,0,12,Y,Porto,0,6,0.0,0.0,70.6,1,17,,83,4,D 0–0,0,,2,1,Away,0,Group stage,Atlético Madrid,2
