pens_made,sca,carries,pens_att,blocks,dayofweek,gca,comp,assists,progressive_passes,touches,xg,position,pressures,date,shots_on_target,passes_completed,game_started,squad,shots_total,dribbles,xa,npxg,passes_pct,cards_yellow,passes,match_report,minutes,dribbles_completed,result,cards_red,bench_explain,progressive_carries,tackles,venue,goals,round,opponent,interceptions
0,,,0,,Mon,,PL2 — Div. 2,0,,,,CM,,2021-11-08,,,Y,Burnley FC U23,,,,,,0,,,45,,L 1–2,0,,,,Home,0,Matchweek 11,Fulham,
0,0,9,0,1,Thu,0,Premier League,0,1,20,0.0,DM,9,2021-12-30,0,12,N,Burnley,0,0,0.0,0.0,75.0,0,16,,33,0,L 1–3,0,,0,2,Away,0,Matchweek 20,Manchester Utd,1
,,,,,Sun,,Premier League,,,,,,,2022-01-02,,,N,Burnley,,,,,,,,,,,L 1–3,,"On matchday squad, but did not play",,,Away,,Matchweek 21,Leeds United,
0,,,0,,Sat,,FA Cup,0,,,,CM,,2022-01-08,0,,Y,Burnley,0,,,,,0,,,81,,L 1–2,0,,,,Home,0,Third round proper,Huddersfield,0
,,,,,Sun,,Premier League,,,,,,,2022-01-23,,,N,Burnley,,,,,,,,,,,D 0–0,,"On matchday squad, but did not play",,,Away,,Matchweek 23,Arsenal,
0,2,23,0,3,Sat,0,Premier League,0,2,53,0.0,DM,31,2022-02-05,0,32,Y,Burnley,1,0,0.0,0.0,78.0,1,41,,90,0,D 0–0,0,,0,4,Home,0,Matchweek 17,Watford,1
,,,,,Tue,,Premier League,,,,,,,2022-02-08,,,N,Burnley,,,,,,,,,,,D 1–1,,"On matchday squad, but did not play",,,Home,,Matchweek 24,Manchester Utd,
,,,,,Sun,,Premier League,,,,,,,2022-02-13,,,N,Burnley,,,,,,,,,,,L 0–1,,"On matchday squad, but did not play",,,Home,,Matchweek 25,Liverpool,
,,,,,Sat,,Premier League,,,,,,,2022-02-19,,,N,Burnley,,,,,,,,,,,W 3–0,,"On matchday squad, but did not play",,,Away,,Matchweek 26,Brighton,
,,,,,Wed,,Premier League,,,,,,,2022-02-23,,,N,Burnley,,,,,,,,,,,W 1–0,,"On matchday squad, but did not play",,,Home,,Matchweek 13,Tottenham,
,,,,,Sat,,Premier League,,,,,,,2022-03-12,,,N,Burnley,,,,,,,,,,,L 0–2,,"On matchday squad, but did not play",,,Away,,Matchweek 29,Brentford,
,,,,,Sat,,Premier League,,,,,,,2022-04-02,,,N,Burnley,,,,,,,,,,,L 0–2,,"On matchday squad, but did not play",,,Home,,Matchweek 31,Manchester City,
,,,,,Wed,,Premier League,,,,,,,2022-04-06,,,N,Burnley,,,,,,,,,,,W 3–2,,"On matchday squad, but did not play",,,Home,,Matchweek 19,Everton,
,,,,,Sun,,Premier League,,,,,,,2022-04-10,,,N,Burnley,,,,,,,,,,,L 0–2,,"On matchday squad, but did not play",,,Away,,Matchweek 32,Norwich City,
,,,,,Sun,,Premier League,,,,,,,2022-04-17,,,N,Burnley,,,,,,,,,,,D 1–1,,"On matchday squad, but did not play",,,Away,,Matchweek 33,West Ham,
,,,,,Thu,,Premier League,,,,,,,2022-04-21,,,N,Burnley,,,,,,,,,,,W 2–0,,"On matchday squad, but did not play",,,Home,,Matchweek 30,Southampton,
,,,,,Sun,,Premier League,,,,,,,2022-04-24,,,N,Burnley,,,,,,,,,,,W 1–0,,"On matchday squad, but did not play",,,Home,,Matchweek 34,Wolves,
0,0,0,0,0,Sat,0,Premier League,0,0,1,0.0,FW,1,2022-04-30,0,0,N,Burnley,0,0,0.0,0.0,,0,0,,1,0,W 2–1,0,,0,1,Away,0,Matchweek 35,Watford,0
,,,,,Sat,,Premier League,,,,,,,2022-05-07,,,N,Burnley,,,,,,,,,,,L 1–3,,"On matchday squad, but did not play",,,Home,,Matchweek 36,Aston Villa,
,,,,,Thu,,Premier League,,,,,,,2022-05-19,,,N,Burnley,,,,,,,,,,,D 1–1,,"On matchday squad, but did not play",,,Away,,Matchweek 18,Aston Villa,
,,,,,Sun,,Premier League,,,,,,,2022-05-22,,,N,Burnley,,,,,,,,,,,L 1–2,,"On matchday squad, but did not play",,,Home,,Matchweek 38,Newcastle Utd,
