pens_made,sca,carries,pens_att,blocks,dayofweek,gca,comp,assists,progressive_passes,touches,xg,position,pressures,date,shots_on_target,passes_completed,game_started,squad,shots_total,dribbles,xa,npxg,passes_pct,cards_yellow,passes,match_report,minutes,dribbles_completed,result,cards_red,bench_explain,progressive_carries,tackles,venue,goals,round,opponent,interceptions
0,0,39,0,4,Sat,0,Premier League,0,1,60,0.0,"RB,WB",7,2021-08-14,0,37,Y,Crystal Palace,0,4,0.0,0.0,86.0,0,43,,90,1,L 0–3,0,,1,2,Away,0,Matchweek 1,Chelsea,3
0,1,42,0,2,Sat,0,Premier League,0,4,74,0.0,RB,6,2021-08-21,0,52,Y,Crystal Palace,1,1,0.1,0.0,77.6,1,67,,90,0,D 0–0,0,,7,1,Home,0,Matchweek 2,Brentford,0
0,,,0,,Tue,,EFL Cup,0,,,,LB,,2021-08-24,0,,Y*,Crystal Palace,1,,,,,0,,,90,,L 0–1,0,,,,Away,0,Second round,Watford,1
0,0,37,0,1,Sat,0,Premier League,0,2,60,0.0,RB,8,2021-08-28,0,42,Y,Crystal Palace,0,1,0.0,0.0,79.2,0,53,,90,1,D 2–2,0,,3,1,Away,0,Matchweek 3,West Ham,0
0,0,60,0,2,Sat,0,Premier League,0,4,89,0.0,RB,5,2021-09-11,0,57,Y,Crystal Palace,1,1,0.0,0.0,68.7,0,83,,90,1,W 3–0,0,,6,1,Home,0,Matchweek 4,Tottenham,2
0,1,18,0,4,Sat,0,Premier League,0,1,46,0.1,RB,13,2021-09-18,1,21,Y,Crystal Palace,2,0,0.0,0.1,67.7,1,31,,90,0,L 0–3,0,,2,3,Away,0,Matchweek 5,Liverpool,0
0,0,41,0,2,Mon,0,Premier League,0,2,66,0.0,RB,16,2021-09-27,0,42,Y,Crystal Palace,0,0,0.0,0.0,80.8,0,52,,90,0,D 1–1,0,,3,3,Home,0,Matchweek 6,Brighton,2
0,0,44,0,3,Sun,0,Premier League,0,3,90,0.1,RB,19,2021-10-03,0,54,Y,Crystal Palace,1,1,0.0,0.1,79.4,0,68,,90,0,D 2–2,0,,3,2,Home,0,Matchweek 7,Leicester City,3
0,0,31,0,2,Mon,0,Premier League,0,0,52,0.0,"RB,WB",8,2021-10-18,0,43,Y,Crystal Palace,0,0,0.0,0.0,95.6,0,45,,90,0,D 2–2,0,,4,1,Away,0,Matchweek 8,Arsenal,0
0,2,84,0,2,Sat,0,Premier League,0,4,112,0.0,RB,9,2021-10-23,0,99,Y,Crystal Palace,0,1,0.0,0.0,94.3,1,105,,90,1,D 1–1,0,,8,2,Home,0,Matchweek 9,Newcastle Utd,0
0,0,27,0,7,Sat,0,Premier League,0,2,61,0.0,RB,19,2021-10-30,0,32,Y,Crystal Palace,0,2,0.0,0.0,80.0,0,40,,90,2,W 2–0,0,,1,3,Away,0,Matchweek 10,Manchester City,2
0,0,57,0,0,Sat,0,Premier League,0,2,85,0.0,RB,9,2021-11-06,0,61,Y,Crystal Palace,0,0,0.0,0.0,83.6,0,73,,90,0,W 2–0,0,,4,3,Home,0,Matchweek 11,Wolves,3
0,1,46,0,2,Sat,0,Premier League,0,2,76,0.0,RB,9,2021-11-20,0,59,Y,Crystal Palace,1,0,0.0,0.0,84.3,0,70,,90,0,D 3–3,0,,1,0,Away,0,Matchweek 12,Burnley,2
0,2,78,0,2,Sat,0,Premier League,0,7,115,0.0,RB,14,2021-11-27,0,89,Y,Crystal Palace,0,0,0.2,0.0,84.0,1,106,,90,0,L 1–2,0,,10,2,Home,0,Matchweek 13,Aston Villa,4
0,1,18,0,1,Tue,0,Premier League,0,5,37,0.0,RB,11,2021-11-30,0,17,Y*,Crystal Palace,0,3,0.0,0.0,70.8,1,24,,90,2,L 0–1,0,,2,2,Away,0,Matchweek 14,Leeds United,2
0,1,37,0,2,Sun,0,Premier League,0,1,83,0.0,RB,11,2021-12-12,0,65,Y*,Crystal Palace,0,1,0.0,0.0,86.7,0,75,,90,0,W 3–1,0,,1,1,Home,0,Matchweek 16,Everton,2
0,0,33,0,2,Wed,0,Premier League,0,3,78,0.1,RB,5,2021-12-15,0,45,Y*,Crystal Palace,1,1,0.0,0.1,70.3,0,64,,90,1,D 2–2,0,,0,2,Home,0,Matchweek 17,Southampton,2
0,0,46,0,1,Sun,0,Premier League,0,2,66,0.0,RB,15,2021-12-26,0,48,Y*,Crystal Palace,0,2,0.0,0.0,82.8,0,58,,90,2,L 0–3,0,,3,2,Away,0,Matchweek 19,Tottenham,2
0,0,35,0,1,Tue,0,Premier League,0,4,69,0.0,RB,8,2021-12-28,0,41,Y*,Crystal Palace,1,1,0.0,0.0,69.5,0,59,,90,0,W 3–0,0,,1,1,Home,0,Matchweek 20,Norwich City,0
0,2,32,0,0,Sat,1,Premier League,0,5,65,0.0,RB,15,2022-01-01,0,46,Y,Crystal Palace,0,0,0.1,0.0,79.3,0,58,,90,0,L 2–3,0,,4,3,Home,0,Matchweek 21,West Ham,4
0,,,0,,Sat,,FA Cup,0,,,,RB,,2022-01-08,0,,Y*,Crystal Palace,0,,,,,0,,,90,,W 2–1,0,,,,Away,0,Third round proper,Millwall,2
0,0,22,0,2,Fri,0,Premier League,0,1,58,0.0,RB,7,2022-01-14,0,30,Y*,Crystal Palace,0,0,0.0,0.0,68.2,0,44,,90,0,D 1–1,0,,3,1,Away,0,Matchweek 22,Brighton,0
0,0,25,0,0,Sun,0,Premier League,0,1,65,0.0,RB,11,2022-01-23,0,35,Y*,Crystal Palace,0,0,0.0,0.0,68.6,1,51,,90,0,L 1–3,0,,0,3,Home,0,Matchweek 23,Liverpool,1
0,,,0,,Sat,,FA Cup,0,,,,RB,,2022-02-05,1,,Y,Crystal Palace,1,,,,,0,,,85,,W 2–0,0,,,,Home,0,Fourth round proper,Hartlepool Utd,3
0,2,66,0,0,Wed,1,Premier League,0,1,95,0.0,RB,10,2022-02-09,0,68,Y*,Crystal Palace,0,0,0.0,0.0,81.9,0,83,,90,0,D 1–1,0,,1,5,Away,0,Matchweek 24,Norwich City,4
0,1,57,0,3,Sat,0,Premier League,0,6,95,0.0,RB,9,2022-02-12,0,65,Y*,Crystal Palace,0,1,0.0,0.0,74.7,0,87,,90,1,D 0–0,0,,9,0,Away,0,Matchweek 25,Brentford,2
,,,,,Mon,,Premier League,,,,,,,2022-03-14,,,N,Crystal Palace,,,,,,,,,,,D 0–0,,"On matchday squad, but did not play",,,Home,,Matchweek 29,Manchester City,
,,,,,Sun,,FA Cup,,,,,,,2022-03-20,,,N,Crystal Palace,,,,,,,,,,,W 4–0,,"On matchday squad, but did not play",,,Home,,Quarter-finals,Everton,
,,,,,Mon,,Premier League,,,,,,,2022-04-04,,,N,Crystal Palace,,,,,,,,,,,W 3–0,,"On matchday squad, but did not play",,,Home,,Matchweek 31,Arsenal,
0,0,27,0,3,Sun,0,Premier League,0,4,44,0.0,LB,12,2022-04-10,0,28,N,Crystal Palace,0,1,0.0,0.0,82.4,0,34,,57,1,L 1–2,0,,0,3,Away,0,Matchweek 32,Leicester City,6
0,,,0,,Sun,,FA Cup,0,,,,RM,,2022-04-17,0,,Y,Crystal Palace,0,,,,,0,,,90,,L 0–2,0,,,,Away,0,Semi-finals,Chelsea,1
,,,,,Wed,,Premier League,,,,,,,2022-04-20,,,N,Crystal Palace,,,,,,,,,,,L 0–1,,"On matchday squad, but did not play",,,Away,,Matchweek 30,Newcastle Utd,
0,1,35,0,0,Mon,0,Premier League,0,7,79,0.0,LB,10,2022-04-25,0,51,Y,Crystal Palace,1,3,0.0,0.0,76.1,1,67,,90,3,D 0–0,0,,4,0,Home,0,Matchweek 34,Leeds United,6
0,0,30,0,3,Sat,0,Premier League,0,6,65,0.0,LB,7,2022-04-30,0,49,Y,Crystal Palace,0,1,0.0,0.0,86.0,1,57,,90,1,W 2–1,0,,1,0,Away,0,Matchweek 35,Southampton,2
0,1,65,0,0,Sat,0,Premier League,0,5,86,0.0,"LB,CB",5,2022-05-07,0,70,Y*,Crystal Palace,0,0,0.1,0.0,88.6,0,79,,90,0,W 1–0,0,,2,0,Home,0,Matchweek 36,Watford,0
,,,,,Sun,,Premier League,,,,,,,2022-05-15,,,N,Crystal Palace,,,,,,,,,,,D 1–1,,"On matchday squad, but did not play",,,Away,,Matchweek 37,Aston Villa,
,,,,,Thu,,Premier League,,,,,,,2022-05-19,,,N,Crystal Palace,,,,,,,,,,,L 2–3,,"On matchday squad, but did not play",,,Away,,Matchweek 33,Everton,
0,0,26,0,2,Sun,0,Premier League,0,0,45,0.1,CB,6,2022-05-22,0,24,Y*,Crystal Palace,1,0,0.0,0.1,66.7,0,36,,90,0,W 1–0,0,,0,1,Home,0,Matchweek 38,Manchester Utd,0
