pens_made,sca,carries,pens_att,blocks,dayofweek,gca,comp,assists,progressive_passes,touches,xg,position,date,pressures,shots_on_target,passes_completed,game_started,squad,shots_total,dribbles,xa,npxg,passes_pct,cards_yellow,passes,match_report,minutes,dribbles_completed,result,cards_red,bench_explain,progressive_carries,tackles,venue,goals,round,opponent,interceptions
,,,,,Wed,,WCQ,,,,,,2021-09-08,,,,N,Wales,,,,,,,,,,,D 0–0,,"On matchday squad, but did not play",,,Home,,First round,Estonia,
0,0,16,0,3,Sat,0,Premier League,0,0,31,0.0,CB,2021-09-11,7,0,17,N,Tottenham,0,0,0.0,0.0,94.4,0,18,,79,0,L 0–3,0,,0,0,Away,0,Matchweek 4,Crystal Palace,2
0,,,0,,Thu,,Conf Lg,0,,,,CB,2021-09-16,,,,Y,Tottenham,,,,,,0,,,90,,D 2–2,0,,,,Away,0,Group stage,Rennes,
,,,,,Sun,,Premier League,,,,,,2021-09-19,,,,N,Tottenham,,,,,,,,,,,L 0–3,,"On matchday squad, but did not play",,,Home,,Matchweek 5,Chelsea,
,,,,,Wed,,EFL Cup,,,,,,2021-09-22,,,,N,Tottenham,,,,,,,,,,,D 2 ,,"On matchday squad, but did not play",,,Away,,Third round,Wolves,
,,,,,Sun,,Premier League,,,,,,2021-09-26,,,,N,Tottenham,,,,,,,,,,,L 1–3,,"On matchday squad, but did not play",,,Away,,Matchweek 6,Arsenal,
0,,,0,,Thu,,Conf Lg,0,,,,CB,2021-09-30,,,,Y,Tottenham,,,,,,0,,,90,,W 5–1,0,,,,Home,0,Group stage,NŠ Mura,
,,,,,Sun,,Premier League,,,,,,2021-10-03,,,,N,Tottenham,,,,,,,,,,,W 2–1,,"On matchday squad, but did not play",,,Home,,Matchweek 7,Aston Villa,
0,,,0,,Fri,,WCQ,0,,,,CB,2021-10-08,,0,,Y,Wales,0,,,,,0,,,90,,D 2–2,0,,,,Away,0,First round,Czech Republic,4
0,,,0,,Mon,,WCQ,0,,,,CB,2021-10-11,,0,,Y,Wales,0,,,,,0,,,90,,W 1–0,0,,,,Away,0,First round,Estonia,0
0,,,0,,Thu,,Conf Lg,0,,,,CB,2021-10-21,,,,Y,Tottenham,,,,,,0,,,90,,L 0–1,0,,,,Away,0,Group stage,Vitesse,
,,,,,Sun,,Premier League,,,,,,2021-10-24,,,,N,Tottenham,,,,,,,,,,,L 0–1,,"On matchday squad, but did not play",,,Away,,Matchweek 9,West Ham,
0,,,0,,Wed,,EFL Cup,0,,,,,2021-10-27,,0,,N,Tottenham,0,,,,,0,,,2,,W 1–0,0,,,,Away,0,Fourth round,Burnley,0
,,,,,Sat,,Premier League,,,,,,2021-10-30,,,,N,Tottenham,,,,,,,,,,,L 0–3,,"On matchday squad, but did not play",,,Home,,Matchweek 10,Manchester Utd,
,,,,,Thu,,Conf Lg,,,,,,2021-11-04,,,,N,Tottenham,,,,,,,,,,,W 3–2,,"On matchday squad, but did not play",,,Home,,Group stage,Vitesse,
0,,,0,,Sat,,WCQ,0,,,,CB,2021-11-13,,0,,Y,Wales,0,,,,,0,,,90,,W 5–1,0,,,,Home,0,First round,Belarus,6
0,,,0,,Tue,,WCQ,0,,,,LB,2021-11-16,,0,,Y,Wales,0,,,,,0,,,90,,D 1–1,0,,,,Home,0,First round,Belgium,2
,,,,,Sun,,Premier League,,,,,,2021-11-21,,,,N,Tottenham,,,,,,,,,,,W 2–1,,"On matchday squad, but did not play",,,Home,,Matchweek 12,Leeds United,
0,,,0,,Thu,,Conf Lg,0,,,,CB,2021-11-25,,,,Y,Tottenham,,,,,,0,,,54,,L 1–2,0,,,,Away,0,Group stage,NŠ Mura,
,,,,,Sun,,Premier League,,,,,,2021-12-05,,,,N,Tottenham,,,,,,,,,,,W 3–0,,"On matchday squad, but did not play",,,Home,,Matchweek 15,Norwich City,
,,,,,Sun,,Premier League,,,,,,2021-12-19,,,,N,Tottenham,,,,,,,,,,,D 2–2,,"On matchday squad, but did not play",,,Home,,Matchweek 18,Liverpool,
,,,,,Wed,,EFL Cup,,,,,,2021-12-22,,,,N,Tottenham,,,,,,,,,,,W 2–1,,"On matchday squad, but did not play",,,Home,,Quarter-finals,West Ham,
