pens_made,sca,carries,pens_att,blocks,dayofweek,gca,comp,assists,progressive_passes,touches,xg,position,pressures,date,shots_on_target,passes_completed,game_started,squad,shots_total,dribbles,xa,npxg,passes_pct,cards_yellow,passes,match_report,minutes,dribbles_completed,result,cards_red,bench_explain,progressive_carries,tackles,venue,goals,round,opponent,interceptions
0,0,0,0,1,Sun,0,Premier League,0,0,3,0.0,WB,0,2021-08-15,0,2,N,West Ham,0,0,0.0,0.0,100.0,0,2,,3,0,W 4–2,0,,0,0,Away,0,Matchweek 1,Newcastle Utd,0
,,,,,Mon,,Premier League,,,,,,,2021-08-23,,,N,West Ham,,,,,,,,,,,W 4–1,,"On matchday squad, but did not play",,,Home,,Matchweek 2,Leicester City,
,,,,,Sat,,Premier League,,,,,,,2021-08-28,,,N,West Ham,,,,,,,,,,,D 2–2,,"On matchday squad, but did not play",,,Home,,Matchweek 3,Crystal Palace,
,,,,,Sat,,Premier League,,,,,,,2021-09-11,,,N,West Ham,,,,,,,,,,,D 0–0,,"On matchday squad, but did not play",,,Away,,Matchweek 4,Southampton,
0,1,26,0,1,Thu,0,Europa Lg,0,4,55,0.2,RB,8,2021-09-16,1,37,Y,West Ham,1,0,0.0,0.2,80.4,0,46,,90,0,W 2–0,0,,5,2,Away,0,Group stage,Dinamo Zagreb,2
,,,,,Sun,,Premier League,,,,,,,2021-09-19,,,N,West Ham,,,,,,,,,,,L 1–2,,"On matchday squad, but did not play",,,Home,,Matchweek 5,Manchester Utd,
0,,,0,,Wed,,EFL Cup,0,,,,RB,,2021-09-22,0,,Y,West Ham,0,,,,,0,,,16,,W 1–0,0,,,,Away,0,Third round,Manchester Utd,0
0,0,8,0,0,Thu,0,Europa Lg,0,3,14,0.0,LB,2,2021-10-21,0,11,N,West Ham,0,0,0.0,0.0,91.7,0,12,,24,0,W 3–0,0,,2,0,Home,0,Group stage,Genk,1
,,,,,Thu,,Europa Lg,,,,,,,2021-11-04,,,N,West Ham,,,,,,,,,,,D 2–2,,"On matchday squad, but did not play",,,Away,,Group stage,Genk,
,,,,,Sun,,Premier League,,,,,,,2021-11-07,,,N,West Ham,,,,,,,,,,,W 3–2,,"On matchday squad, but did not play",,,Home,,Matchweek 11,Liverpool,
0,0,8,0,1,Thu,0,Europa Lg,0,3,14,0.0,LB,3,2021-11-25,0,9,N,West Ham,0,0,0.0,0.0,75.0,0,12,,14,0,W 2–0,0,,1,0,Away,0,Group stage,Rapid Wien,0
,,,,,Wed,,EFL Cup,,,,,,,2021-12-22,,,N,West Ham,,,,,,,,,,,L 1–2,,"On matchday squad, but did not play",,,Away,,Quarter-finals,Tottenham,
,,,,,Sun,,Premier League,,,,,,,2021-12-26,,,N,West Ham,,,,,,,,,,,L 2–3,,"On matchday squad, but did not play",,,Home,,Matchweek 19,Southampton,
,,,,,Tue,,Premier League,,,,,,,2021-12-28,,,N,West Ham,,,,,,,,,,,W 4–1,,"On matchday squad, but did not play",,,Away,,Matchweek 20,Watford,
,,,,,Sat,,Premier League,,,,,,,2022-01-01,,,N,West Ham,,,,,,,,,,,W 3–2,,"On matchday squad, but did not play",,,Away,,Matchweek 21,Crystal Palace,
0,,,0,,Sun,,FA Cup,0,,,,RB,,2022-01-09,1,,Y,West Ham,3,,,,,0,,,90,,W 2–0,0,,,,Home,0,Third round proper,Leeds United,2
,,,,,Sun,,Premier League,,,,,,,2022-01-16,,,N,West Ham,,,,,,,,,,,L 2–3,,"On matchday squad, but did not play",,,Home,,Matchweek 22,Leeds United,
0,0,2,0,0,Sat,0,Premier League,0,0,8,0.0,RB,1,2022-01-22,0,2,N,West Ham,0,0,0.0,0.0,33.3,0,6,,21,0,L 0–1,0,,1,1,Away,0,Matchweek 23,Manchester Utd,1
0,,,0,,Sat,,FA Cup,0,,,,RB,,2022-02-05,0,,Y,West Ham,0,,,,,0,,,120,,W 2–1,0,,,,Away,0,Fourth round proper,Kidderminster,0
,,,,,Tue,,Premier League,,,,,,,2022-02-08,,,N,West Ham,,,,,,,,,,,W 1–0,,"On matchday squad, but did not play",,,Home,,Matchweek 24,Watford,
0,0,6,0,0,Sun,0,Premier League,0,1,13,0.0,RB,0,2022-02-13,0,7,N,West Ham,0,1,0.0,0.0,77.8,0,9,,24,0,D 2–2,0,,0,0,Away,0,Matchweek 25,Leicester City,0
0,1,3,0,2,Sat,0,Premier League,0,1,24,0.0,RB,6,2022-02-19,0,10,Y,West Ham,0,0,0.0,0.0,55.6,1,18,,45,0,D 1–1,0,,0,0,Home,0,Matchweek 26,Newcastle Utd,1
,,,,,Sat,,Premier League,,,,,,,2022-03-05,,,N,West Ham,,,,,,,,,,,L 0–1,,"On matchday squad, but did not play",,,Away,,Matchweek 28,Liverpool,
,,,,,Thu,,Europa Lg,,,,,,,2022-03-10,,,N,West Ham,,,,,,,,,,,L 0–1,,"On matchday squad, but did not play",,,Away,,Round of 16,Sevilla,
0,0,12,0,0,Sun,0,Premier League,0,1,14,0.0,"RB,WB",2,2022-03-13,0,9,N,West Ham,0,0,0.0,0.0,69.2,0,13,,34,0,W 2–1,0,,3,0,Home,0,Matchweek 29,Aston Villa,1
0,0,0,0,0,Thu,0,Europa Lg,0,0,0,0.0,FW,0,2022-03-17,0,0,N,West Ham,0,0,0.0,0.0,,0,0,,1,0,W 2–0,0,,0,0,Home,0,Round of 16,Sevilla,0
,,,,,Sun,,Premier League,,,,,,,2022-03-20,,,N,West Ham,,,,,,,,,,,L 1–3,,"On matchday squad, but did not play",,,Away,,Matchweek 30,Tottenham,
0,1,22,0,1,Sun,0,Premier League,0,1,49,0.0,RB,12,2022-04-03,0,31,Y,West Ham,0,0,0.1,0.0,79.5,0,39,,90,0,W 2–1,0,,1,2,Home,0,Matchweek 31,Everton,2
0,0,19,0,1,Thu,0,Europa Lg,0,1,51,0.0,RB,10,2022-04-07,0,23,Y,West Ham,0,0,0.0,0.0,56.1,0,41,,90,0,D 1–1,0,,1,3,Home,0,Quarter-finals,Lyon,2
,,,,,Sun,,Premier League,,,,,,,2022-04-10,,,N,West Ham,,,,,,,,,,,L 0–2,,"On matchday squad, but did not play",,,Away,,Matchweek 32,Brentford,
,,,,,Thu,,Europa Lg,,,,,,,2022-04-14,,,N,West Ham,,,,,,,,,,,W 3–0,,"On matchday squad, but did not play",,,Away,,Quarter-finals,Lyon,
,,,,,Sun,,Premier League,,,,,,,2022-04-17,,,N,West Ham,,,,,,,,,,,D 1–1,,"On matchday squad, but did not play",,,Home,,Matchweek 33,Burnley,
,,,,,Sun,,Premier League,,,,,,,2022-04-24,,,N,West Ham,,,,,,,,,,,L 0–1,,"On matchday squad, but did not play",,,Away,,Matchweek 34,Chelsea,
,,,,,Thu,,Europa Lg,,,,,,,2022-04-28,,,N,West Ham,,,,,,,,,,,L 1–2,,"On matchday squad, but did not play",,,Home,,Semi-finals,Eint Frankfurt,
