pens_made,sca,carries,pens_att,blocks,dayofweek,gca,comp,assists,progressive_passes,touches,xg,position,pressures,date,shots_on_target,passes_completed,game_started,squad,shots_total,dribbles,xa,npxg,passes_pct,cards_yellow,passes,match_report,minutes,dribbles_completed,result,cards_red,bench_explain,progressive_carries,tackles,venue,goals,round,opponent,interceptions
0,1,8,0,0,Sat,1,Premier League,0,0,9,0.0,RW,3,2021-09-11,0,7,N,Crystal Palace,0,0,0.0,0.0,100.0,0,7,,5,0,W 3–0,0,,1,0,Home,0,Matchweek 4,Tottenham,0
0,,,0,,Mon,,PL2 — Div. 1,1,,,,CM,,2021-09-13,,,Y,Crystal Palace U23,,,,,,0,,,60,,W 6–1,0,,,,Away,0,Matchweek 4,Leicester City,
0,0,5,0,0,Sat,0,Premier League,0,0,7,0.0,CM,3,2021-09-18,0,5,N,Crystal Palace,0,1,0.0,0.0,100.0,0,5,,9,1,L 0–3,0,,1,1,Away,0,Matchweek 5,Liverpool,0
,,,,,Mon,,Premier League,,,,,,,2021-09-27,,,N,Crystal Palace,,,,,,,,,,,D 1–1,,"On matchday squad, but did not play",,,Home,,Matchweek 6,Brighton,
0,4,16,0,0,Sun,1,Premier League,0,3,27,0.3,RW,9,2021-10-03,1,15,N,Crystal Palace,3,0,0.2,0.3,71.4,0,21,,38,0,D 2–2,0,,5,0,Home,1,Matchweek 7,Leicester City,1
0,1,1,0,1,Mon,1,Premier League,1,1,8,0.0,"AM,RW",1,2021-10-18,0,3,N,Crystal Palace,0,0,0.1,0.0,100.0,0,3,,20,0,D 2–2,0,,0,0,Away,0,Matchweek 8,Arsenal,0
0,2,32,0,0,Sat,0,Premier League,0,2,43,0.0,RW,10,2021-10-23,0,29,Y,Crystal Palace,0,4,0.4,0.0,76.3,0,38,,66,1,D 1–1,0,,7,1,Home,0,Matchweek 9,Newcastle Utd,0
0,1,4,0,0,Sat,1,Premier League,1,2,6,0.0,RM,4,2021-10-30,0,3,N,Crystal Palace,0,0,0.3,0.0,75.0,0,4,,6,0,W 2–0,0,,1,0,Away,0,Matchweek 10,Manchester City,1
0,1,6,0,0,Sat,0,Premier League,0,1,8,0.0,RW,7,2021-11-06,0,2,N,Crystal Palace,0,0,0.0,0.0,50.0,1,4,,11,0,W 2–0,0,,4,2,Home,0,Matchweek 11,Wolves,0
0,0,21,0,1,Sat,0,Premier League,0,1,29,0.1,RW,10,2021-11-20,1,18,N,Crystal Palace,2,2,0.0,0.1,75.0,1,24,,33,1,D 3–3,0,,4,0,Away,0,Matchweek 12,Burnley,0
0,2,55,0,1,Sat,0,Premier League,0,9,80,0.0,RW,26,2021-11-27,0,53,Y,Crystal Palace,0,3,0.0,0.0,79.1,0,67,,86,1,L 1–2,0,,16,0,Home,0,Matchweek 13,Aston Villa,2
0,0,1,0,0,Tue,0,Premier League,0,0,3,0.0,RW,0,2021-11-30,0,1,N,Crystal Palace,0,0,0.0,0.0,33.3,0,3,,1,0,L 0–1,0,,0,0,Away,0,Matchweek 14,Leeds United,0
0,0,4,0,2,Sun,0,Premier League,0,0,13,0.0,RW,3,2021-12-05,0,1,N,Crystal Palace,0,1,0.0,0.0,16.7,0,6,,7,0,L 0–1,0,,1,1,Away,0,Matchweek 15,Manchester Utd,0
,,,,,Sun,,Premier League,,,,,,,2021-12-12,,,N,Crystal Palace,,,,,,,,,,,W 3–1,,"On matchday squad, but did not play",,,Home,,Matchweek 16,Everton,
0,0,19,0,1,Wed,0,Premier League,0,1,24,0.0,RM,4,2021-12-15,0,12,N,Crystal Palace,0,2,0.0,0.0,75.0,0,16,,16,0,D 2–2,0,,3,2,Home,0,Matchweek 17,Southampton,0
0,2,13,0,0,Sat,1,Premier League,1,0,15,0.0,RM,6,2022-01-01,1,10,N,Crystal Palace,1,1,0.4,0.0,71.4,0,14,,23,0,L 2–3,0,,3,0,Home,1,Matchweek 21,West Ham,0
0,,,0,,Sat,,FA Cup,1,,,,FW,,2022-01-08,1,,Y,Crystal Palace,3,,,,,0,,,87,,W 2–1,0,,,,Away,1,Third round proper,Millwall,0
0,1,36,0,1,Fri,0,Premier League,0,3,44,0.0,RW,14,2022-01-14,0,26,Y,Crystal Palace,0,5,0.0,0.0,78.8,0,33,,80,4,D 1–1,0,,5,2,Away,0,Matchweek 22,Brighton,2
0,3,44,0,2,Sun,0,Premier League,0,3,58,0.4,RW,15,2022-01-23,2,29,Y,Crystal Palace,2,2,0.5,0.4,64.4,0,45,,90,2,L 1–3,0,,11,1,Home,0,Matchweek 23,Liverpool,1
