name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Eric Bailly,DEF,Man Utd,0.8,0,0,0,0,0.0,286,233,0,0,0.0,0.0,2022-02-08T20:00:00Z,0,5,0,0,0,0,24,0,11075,1,1,0.0,0,-192,66,258,49,False,0
Keinan Davis,FWD,Aston Villa,0.0,0,0,0,0,0.0,49,231,0,0,0.0,0.0,2022-02-09T20:00:00Z,0,10,0,0,0,0,24,0,170619,3,3,0.0,0,-8371,0,8371,45,True,0
Ayotomiwa Dele-Bashiru,MID,Watford,0.0,0,0,0,0,0.0,394,235,0,0,0.0,0.0,2022-02-08T19:45:00Z,0,19,0,0,0,0,24,0,892,0,1,0.0,0,-11,0,11,45,False,0
James Ward-Prowse,MID,Southampton,5.8,2,3,39,0,72.6,341,240,2,0,15.5,67.6,2022-02-09T19:45:00Z,90,17,0,0,0,0,24,0,309399,3,2,15.0,11,6966,24271,17305,63,False,0
Bruno Miguel Borges Fernandes,MID,Man Utd,6.0,0,0,20,0,86.5,277,233,1,0,16.7,27.2,2022-02-08T20:00:00Z,90,5,0,0,0,0,24,0,1805775,1,1,53.0,2,-21174,132610,153784,117,False,0
Adrián San Miguel del Castillo,GK,Liverpool,1.0,0,0,0,0,0.0,223,237,0,0,0.0,0.0,2022-02-10T19:45:00Z,0,9,0,0,0,0,24,0,16321,0,2,0.0,0,-59,71,130,43,True,0
James McArthur,MID,Crystal Palace,0.4,0,0,0,0,0.0,148,234,0,0,0.0,0.0,2022-02-09T19:45:00Z,0,15,0,0,0,0,24,0,107715,1,1,0.0,0,-3425,1047,4472,43,False,0
Moise Kean,FWD,Everton,0.0,0,0,0,0,0.0,564,239,0,0,0.0,0.0,2022-02-08T19:45:00Z,0,14,0,0,0,0,24,0,1110,1,3,0.0,0,-6,0,6,60,False,0
Kwadwo Baah,MID,Watford,-0.8,0,0,0,0,0.0,405,235,0,0,0.0,0.0,2022-02-08T19:45:00Z,0,19,0,0,0,0,24,0,6749,0,1,0.0,0,320,567,247,43,False,0
Paul Dummett,DEF,Newcastle,0.4,0,0,0,0,0.0,301,239,0,0,0.0,0.0,2022-02-08T19:45:00Z,0,8,0,0,0,0,24,0,1040,1,3,0.0,0,-42,35,77,45,True,0
