id,xP
1,0.0
2,0.0
3,0.0
4,1.0
5,0.0
6,1.5
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,2.0
13,1.0
14,0.0
15,1.8
16,0.0
17,0.0
18,0.0
20,0.2
21,5.0
22,2.6
23,3.5
24,0.0
25,0.0
26,3.0
27,0.0
67,3.8
466,4.5
478,1.5
530,0.0
531,0.0
532,0.0
558,3.0
559,4.5
572,0.0
590,4.5
28,-1.0
29,0.0
30,2.0
31,0.0
32,0.0
34,-0.8
35,3.2
36,-1.0
37,0.0
38,4.0
39,3.5
40,4.2
41,0.8
42,0.5
43,1.0
44,1.2
45,1.0
46,0.0
47,0.0
48,0.0
49,-0.8
50,0.2
51,0.8
52,2.5
283,-0.8
337,0.0
492,0.8
496,-1.0
497,-1.0
526,-0.8
568,-0.8
596,-1.0
610,-1.0
76,1.5
77,1.1
78,4.0
79,0.0
80,0.0
81,2.2
82,0.0
83,4.1
84,1.5
85,0.5
86,0.3
87,1.7
88,-0.3
89,0.0
90,-0.5
91,1.7
92,0.0
93,-0.5
94,0.0
95,0.0
96,1.5
97,-0.5
479,2.0
483,0.0
498,-0.5
499,0.3
524,0.0
556,3.5
569,-0.5
594,0.0
614,-0.5
619,-0.5
628,-0.5
53,0.7
54,0.0
55,0.7
56,0.5
57,0.0
58,-0.5
59,2.3
60,1.5
61,1.5
62,2.0
63,2.3
64,3.7
65,0.0
66,0.0
68,0.0
69,2.3
70,1.5
71,4.5
72,-0.5
73,0.0
74,-0.3
75,1.3
447,0.0
462,-0.3
476,-0.5
500,0.0
535,0.0
536,0.0
537,-0.5
538,0.0
560,-0.5
584,4.0
595,-0.3
612,0.0
98,0.0
99,-0.5
100,-0.2
101,0.5
102,-0.5
103,-0.5
104,0.9
105,0.0
106,4.2
107,0.0
108,1.8
109,2.5
110,2.2
111,1.9
112,3.2
113,3.5
114,-0.5
115,1.5
116,0.0
117,0.0
118,1.8
451,1.5
480,-0.5
533,-0.5
534,-0.5
565,-0.5
575,-0.2
578,3.2
585,-0.5
119,2.0
120,0.0
121,5.7
122,2.3
123,3.5
124,2.3
125,0.0
126,0.0
127,6.5
129,1.5
130,0.0
131,4.5
132,3.0
133,2.5
134,1.5
135,0.0
136,0.0
137,4.0
138,5.7
139,0.0
140,3.3
141,5.5
142,4.9
143,5.0
501,1.5
527,3.7
529,2.0
539,0.0
592,1.5
606,1.5
144,4.8
146,3.0
147,0.8
148,0.0
149,4.2
150,4.0
151,0.0
152,0.5
153,1.2
154,3.0
155,1.2
156,0.0
157,0.0
158,0.0
159,0.0
160,0.2
161,0.0
162,2.5
386,0.2
464,0.8
474,2.0
477,6.0
488,0.0
493,0.0
540,0.0
541,0.0
542,0.0
543,0.0
561,0.0
586,1.5
163,-0.2
164,0.0
165,1.2
166,0.0
167,0.0
168,1.5
169,1.2
170,2.0
171,1.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
