assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,559,18,0,0,0.0,0.0,2021-08-22T15:30:00Z,0,6,0,0,0,0,2,0,1432,2,0,0.0,0,597,679,82,45,True,0
0,0,0,0,0.0,559,24,0,0,0.0,0.0,2021-08-28T11:30:00Z,0,12,0,0,0,0,3,0,8159,0,5,0.0,0,3141,4154,1013,45,False,0
0,0,23,1,0.0,559,31,0,0,0.9,9.0,2021-09-11T14:00:00Z,90,15,0,0,0,0,4,1,17374,0,1,0.0,6,6113,10225,4112,45,True,0
0,2,32,1,0.0,559,43,0,0,2.6,26.4,2021-09-18T14:00:00Z,90,5,0,0,0,0,5,3,77277,1,0,0.0,9,52488,65020,12532,45,False,0
0,0,13,0,0.0,559,51,1,0,2.0,19.8,2021-09-26T15:30:00Z,90,17,0,0,0,0,6,3,139625,1,3,0.0,3,55176,65509,10333,45,True,0
0,0,26,1,0.0,559,61,0,0,1.5,15.0,2021-10-02T16:30:00Z,90,4,0,0,0,0,7,2,312525,0,0,0.0,6,155959,169174,13215,45,False,0
0,0,16,0,0.0,559,71,2,0,1.9,18.6,2021-10-18T19:00:00Z,90,7,0,0,0,0,8,4,514981,2,2,0.0,2,188376,206864,18488,46,True,0
0,0,15,0,0.0,559,81,1,0,2.3,23.0,2021-10-22T19:00:00Z,90,2,0,0,0,0,9,3,530588,1,3,0.0,3,19768,42094,22326,46,True,0
0,2,38,1,0.0,559,93,0,0,5.1,50.8,2021-10-30T11:30:00Z,90,9,0,0,0,0,10,8,568492,2,0,0.0,10,31397,56736,25339,46,False,0
0,1,27,1,0.0,559,101,0,0,0.8,7.6,2021-11-07T14:00:00Z,90,18,0,0,0,0,11,1,824308,0,1,0.0,7,225960,234062,8102,47,True,0
0,0,21,0,0.0,559,114,4,0,4.5,44.6,2021-11-20T17:30:00Z,90,11,0,0,0,0,12,5,952960,0,4,0.0,1,122052,153475,31423,48,False,0
0,0,29,1,0.0,559,121,0,0,3.0,30.4,2021-11-27T12:30:00Z,90,14,0,0,0,0,13,5,1072429,0,2,0.0,7,102529,116089,13560,48,True,0
0,0,23,0,0.0,559,134,3,0,4.7,47.4,2021-12-02T20:15:00Z,90,13,0,0,0,0,14,7,1125402,2,3,0.0,3,52163,74772,22609,49,False,0
0,0,15,0,0.0,559,142,2,0,2.5,24.6,2021-12-06T20:00:00Z,90,8,0,0,0,0,15,3,1222798,1,2,0.0,2,88066,101275,13209,49,False,0
0,3,34,1,0.0,559,151,0,0,4.2,42.2,2021-12-11T15:00:00Z,90,16,0,0,0,0,16,6,1368378,0,3,0.0,11,125567,145629,20062,50,True,0
0,0,18,1,0.0,559,161,0,0,1.0,10.4,2021-12-15T20:00:00Z,90,19,0,0,0,0,17,1,1459440,0,2,0.0,5,96475,114182,17707,50,True,1
0,0,10,0,0.0,559,173,1,0,0.7,7.2,2021-12-18T17:30:00Z,90,10,0,0,0,0,18,1,1802585,4,1,0.0,2,255408,268533,13125,51,False,0
0,0,25,1,0.0,559,187,0,0,2.1,21.2,2021-12-26T15:00:00Z,90,15,0,0,0,0,19,2,1845626,5,0,0.0,6,77494,105788,28294,52,False,0
0,0,9,0,0.0,559,201,2,0,0.3,2.6,2022-01-01T12:30:00Z,90,12,0,0,0,0,21,0,1555083,2,1,0.0,1,-25858,52883,78741,51,True,0
