assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,3,0,0.5,329,7,0,0,3.7,3.2,2021-08-14T16:30:00Z,13,11,0,0,0,0,1,0,31923,3,0,33.0,1,0,0,0,50,True,0
0,0,0,0,0.0,329,16,0,0,0.0,0.0,2021-08-21T14:00:00Z,0,12,0,0,0,0,2,0,36741,0,5,0.0,0,-623,5296,5919,50,False,0
0,0,1,0,0.8,329,26,0,0,0.3,0.0,2021-08-28T14:00:00Z,11,9,0,0,0,0,3,0,33145,2,1,4.0,1,-4537,2402,6939,50,True,0
0,0,5,0,14.0,329,31,0,0,1.9,5.0,2021-09-11T14:00:00Z,10,1,0,0,0,0,4,0,32516,0,1,0.0,1,-2921,6812,9733,50,False,0
0,0,3,0,0.1,329,47,0,0,0.1,1.2,2021-09-18T14:00:00Z,2,18,0,0,0,0,5,0,34179,3,1,0.0,1,480,6329,5849,50,True,0
0,0,0,0,0.0,329,55,0,0,0.0,0.0,2021-09-25T14:00:00Z,0,8,0,0,0,0,6,0,35010,0,2,0.0,0,68,4876,4808,50,False,0
0,0,4,0,0.0,329,62,0,0,0.4,2.0,2021-10-02T14:00:00Z,1,5,0,0,0,0,7,0,33339,0,0,2.0,1,-2049,2338,4387,50,False,0
0,0,4,0,0.5,329,78,0,0,0.2,1.2,2021-10-16T14:00:00Z,1,4,0,0,0,0,8,0,34240,0,0,0.0,1,75,3547,3472,49,True,0
0,0,0,0,0.0,329,84,0,0,0.0,0.0,2021-10-23T11:30:00Z,0,6,0,0,0,0,9,0,35619,0,7,0.0,0,942,3679,2737,49,False,0
0,0,3,0,0.1,329,97,0,0,0.0,0.2,2021-10-31T14:00:00Z,13,10,0,0,0,0,10,0,35483,2,1,0.0,1,-689,2886,3575,49,True,0
0,0,3,0,0.3,329,102,0,0,0.1,1.0,2021-11-06T15:00:00Z,1,3,0,0,0,0,11,0,36927,2,1,0.0,1,873,3337,2464,49,False,0
0,0,0,0,0.0,329,117,0,0,0.0,0.0,2021-11-20T15:00:00Z,0,16,0,0,0,0,12,0,37003,1,2,0.0,0,-271,2625,2896,49,True,0
0,0,0,0,0.0,329,130,0,0,0.0,0.0,2021-11-27T15:00:00Z,0,20,0,0,0,0,13,0,37374,0,0,0.0,0,123,2700,2577,49,True,0
0,0,1,0,0.7,329,138,0,0,0.4,0.0,2021-11-30T19:30:00Z,23,14,0,0,0,0,14,0,37178,1,1,5.0,1,-334,1647,1981,49,False,0
0,0,-1,0,11.4,329,147,2,0,1.7,1.4,2021-12-05T14:00:00Z,68,17,0,0,0,0,15,0,38204,0,3,4.0,2,746,3010,2264,49,False,0
0,0,0,0,0.0,329,160,0,0,0.0,0.0,2021-12-11T17:30:00Z,0,13,0,0,0,0,16,0,39269,1,0,0.0,0,626,3128,2502,49,True,0
0,0,3,0,5.0,329,167,1,0,3.6,12.2,2021-12-14T19:45:00Z,29,2,0,0,0,0,17,0,38764,2,0,19.0,1,-480,1967,2447,49,True,0
0,0,4,0,0.8,329,187,2,0,0.7,6.4,2021-12-26T15:00:00Z,18,1,0,0,0,0,19,0,48870,5,0,0.0,1,1854,4319,2465,49,True,0
