assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,18,0,0.9,409,9,2,0,1.3,12.0,2021-08-15T13:00:00Z,90,14,0,0,0,0,1,0,9668,4,2,0.0,1,0,0,0,50,False,0
0,0,15,0,0.2,409,20,1,0,1.5,13.2,2021-08-23T19:00:00Z,90,9,0,0,0,0,2,0,10620,1,4,2.0,2,-835,674,1509,50,True,0
0,0,12,0,0.8,409,28,2,0,1.1,7.8,2021-08-28T14:00:00Z,90,7,0,0,0,0,3,0,14331,2,2,2.0,1,1568,2891,1323,50,True,0
0,3,30,1,0.5,409,39,0,0,1.6,15.2,2021-09-11T14:00:00Z,90,16,0,0,0,0,4,0,15866,0,0,0.0,9,-135,2284,2419,50,False,0
0,0,15,0,0.3,409,49,2,0,2.1,20.8,2021-09-19T13:00:00Z,90,13,0,0,0,0,5,0,18871,2,1,0.0,1,1467,3227,1760,50,True,0
0,0,7,0,1.0,409,56,1,0,1.5,13.8,2021-09-25T14:00:00Z,90,10,0,0,0,0,6,0,23401,2,1,0.0,2,3050,5193,2143,50,False,0
0,0,10,0,0.3,409,69,2,0,1.9,8.6,2021-10-03T13:00:00Z,90,3,0,0,0,0,7,0,26225,2,1,10.0,1,1923,4477,2554,50,True,0
0,3,41,1,0.5,409,74,0,1,10.6,52.8,2021-10-17T13:00:00Z,90,8,0,0,0,0,8,0,25247,1,0,53.0,15,-1122,1255,2377,50,False,0
0,0,18,1,0.5,409,90,0,0,1.0,9.4,2021-10-24T13:00:00Z,90,17,0,0,0,0,9,0,41156,0,1,0.0,5,12293,14535,2242,50,True,1
0,0,13,0,0.3,409,91,1,0,1.4,13.4,2021-10-31T16:30:00Z,90,2,0,0,0,0,10,0,74972,4,1,0.0,2,26675,31684,5009,50,False,0
0,0,3,0,0.0,409,110,0,0,0.0,0.0,2021-11-07T16:30:00Z,21,11,0,0,0,0,11,0,78739,2,3,0.0,1,3483,11302,7819,50,True,0
0,0,0,0,0.0,409,120,0,0,0.0,0.0,2021-11-20T15:00:00Z,0,20,0,0,0,0,12,0,55530,0,1,0.0,0,-23364,3247,26611,50,False,0
0,0,0,0,0.0,409,129,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,12,0,0,0,0,13,0,42179,1,2,0.0,0,-13824,72,13896,50,False,0
0,0,0,0,0.0,409,136,0,0,0.0,0.0,2021-12-01T19:30:00Z,0,4,0,0,0,0,14,0,37616,1,1,0.0,0,-4897,35,4932,50,True,0
0,0,0,0,0.0,409,149,0,0,0.0,0.0,2021-12-04T12:30:00Z,0,6,0,0,0,0,15,0,33220,2,3,0.0,0,-4476,42,4518,50,True,0
0,0,0,0,0.0,409,154,0,0,0.0,0.0,2021-12-12T14:00:00Z,0,5,0,0,0,0,16,0,30230,0,0,0.0,0,-2970,59,3029,50,False,0
0,0,0,0,0.0,409,161,0,0,0.0,0.0,2021-12-15T20:00:00Z,0,1,0,0,0,0,17,0,28650,0,2,0.0,0,-1678,30,1708,49,False,0
0,0,0,0,0.0,409,189,0,0,0.0,0.0,2021-12-26T15:00:00Z,0,16,0,0,0,0,19,0,26852,3,2,0.0,0,-916,34,950,49,True,0
0,0,0,0,0.0,409,200,0,0,0.0,0.0,2021-12-28T15:00:00Z,0,18,0,0,0,0,20,0,26577,4,1,0.0,0,-328,22,350,49,False,0
0,0,0,0,0.0,409,204,0,0,0.0,0.0,2022-01-01T17:30:00Z,0,7,0,0,0,0,21,0,26104,3,2,0.0,0,-520,49,569,49,False,0
0,0,0,0,0.0,409,179,0,0,0.0,0.0,2022-01-12T19:45:00Z,0,15,0,0,0,0,21,0,26104,0,2,0.0,0,-520,49,569,49,True,0
