assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,3,0,0.9,349,4,1,0,2.0,0.6,2021-08-14T14:00:00Z,10,8,0,0,0,0,1,0,7483,1,3,18.0,1,0,0,0,45,False,0
0,0,3,0,1.6,349,19,0,0,0.2,0.4,2021-08-22T13:00:00Z,20,13,0,0,0,0,2,0,8855,1,1,0.0,1,-127,858,985,45,True,0
0,0,5,0,1.5,349,25,1,0,0.6,2.8,2021-08-28T14:00:00Z,2,14,0,0,0,0,3,0,9311,2,2,2.0,1,-87,960,1047,45,False,0
0,0,2,0,0.9,349,39,0,0,0.7,0.0,2021-09-11T14:00:00Z,37,19,0,0,0,0,4,0,10485,0,0,7.0,1,286,2079,1793,45,True,0
0,0,0,0,0.0,349,45,0,0,0.0,0.0,2021-09-18T14:00:00Z,0,12,0,0,0,0,5,0,10950,0,0,0.0,0,119,1360,1241,45,False,0
0,0,0,0,0.0,349,59,0,0,0.0,0.0,2021-09-26T13:00:00Z,0,20,0,0,0,0,6,0,11071,1,0,0.0,0,-180,901,1081,45,True,0
0,0,4,0,10.7,349,63,2,0,1.5,4.4,2021-10-02T14:00:00Z,45,6,0,0,0,0,7,0,10752,1,3,0.0,1,-445,487,932,45,False,0
0,0,18,1,3.1,349,79,0,0,1.3,9.4,2021-10-16T14:00:00Z,90,10,0,0,0,0,8,0,10879,0,1,0.0,3,-117,661,778,45,True,0
1,0,18,0,13.6,349,89,2,0,4.5,23.4,2021-10-23T14:00:00Z,90,5,0,0,0,0,9,0,11511,2,2,8.0,5,435,1041,606,45,True,0
0,0,3,0,0.0,349,99,0,0,0.3,3.4,2021-10-30T14:00:00Z,10,18,0,0,0,0,10,0,17550,1,0,0.0,1,4917,6241,1324,45,False,0
0,0,3,0,0.1,349,109,0,0,0.0,0.0,2021-11-05T20:00:00Z,14,2,0,0,0,0,11,0,18915,0,1,0.0,1,1535,3177,1642,45,True,0
0,0,17,0,29.4,349,117,2,0,5.2,17.0,2021-11-20T15:00:00Z,90,15,0,0,0,0,12,0,18570,1,2,6.0,2,-420,1352,1772,45,False,0
