assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,9,0,0.3,488,3,1,0,1.0,7.4,2021-08-14T14:00:00Z,33,6,0,0,0,0,1,0,33665,0,3,2.0,1,0,0,0,45,False,0
0,0,18,1,1.0,488,13,0,0,1.4,9.2,2021-08-21T14:00:00Z,90,3,0,0,0,0,2,0,35072,0,0,4.0,5,-1805,1600,3405,45,True,1
0,0,16,0,24.7,488,28,2,0,5.7,25.8,2021-08-28T14:00:00Z,90,19,0,0,0,0,3,0,34896,2,2,6.0,1,-1441,1510,2951,45,False,0
0,1,33,1,0.8,488,34,0,0,1.7,16.2,2021-09-11T11:30:00Z,90,17,0,0,0,0,4,0,32566,0,3,0.0,7,-3301,1687,4988,45,True,0
0,0,13,0,0.4,488,44,3,0,1.8,18.0,2021-09-18T14:00:00Z,90,11,0,0,0,0,5,0,38851,0,3,0.0,1,3947,7267,3320,45,False,0
0,0,17,0,11.7,488,54,1,0,3.4,20.2,2021-09-27T19:00:00Z,90,4,0,0,0,0,6,0,40995,1,1,2.0,2,1516,4178,2662,45,True,0
0,0,5,0,10.6,488,64,2,0,1.7,6.8,2021-10-03T13:00:00Z,90,9,0,0,0,0,7,0,40976,2,2,0.0,0,-229,1992,2221,45,True,1
0,0,15,0,1.3,488,71,2,0,1.6,12.6,2021-10-18T19:00:00Z,90,1,0,0,0,0,8,0,39391,2,2,2.0,1,-1759,810,2569,45,False,0
0,0,10,0,1.5,488,85,1,0,2.1,19.2,2021-10-23T14:00:00Z,90,14,0,0,0,0,9,0,39835,1,1,0.0,1,17,1735,1718,45,True,1
0,0,23,1,0.0,488,95,0,0,1.5,14.6,2021-10-30T14:00:00Z,90,12,0,0,0,0,10,0,37174,2,0,0.0,6,-2772,542,3314,45,False,0
0,0,24,1,0.7,488,105,0,0,1.3,12.6,2021-11-06T15:00:00Z,90,20,0,0,0,0,11,0,38109,0,2,0.0,6,362,1358,996,45,True,0
2,2,30,0,13.5,488,112,3,0,9.0,39.6,2021-11-20T15:00:00Z,90,5,0,0,0,0,12,0,38081,3,3,37.0,9,-275,1669,1944,45,False,0
0,0,0,0,0.0,488,126,0,0,0.0,0.0,2021-11-27T15:00:00Z,0,2,0,0,0,0,13,0,62815,2,1,0.0,0,21491,23494,2003,45,True,0
0,0,0,0,0.0,488,133,0,0,0.0,0.0,2021-11-30T20:15:00Z,0,10,0,0,0,0,14,0,48072,0,1,0.0,0,-13351,570,13921,45,False,0
0,0,0,0,0.0,488,144,0,0,0.0,0.0,2021-12-05T14:00:00Z,0,13,0,0,0,0,15,0,38941,0,1,0.0,0,-9271,35,9306,45,False,0
0,0,0,0,0.0,488,156,0,0,0.0,0.0,2021-12-12T16:30:00Z,0,8,0,0,0,0,16,0,35483,1,3,0.0,0,-3404,56,3460,45,True,0
0,0,3,0,0.2,488,165,0,0,0.1,0.6,2021-12-15T19:30:00Z,9,16,0,0,0,0,17,0,33875,2,2,0.0,1,-1845,162,2007,45,True,0
0,0,13,0,0.6,488,188,3,0,2.4,23.6,2021-12-26T15:00:00Z,90,17,0,0,0,0,19,0,32777,0,3,0.0,1,-430,389,819,45,False,0
0,0,22,1,0.2,488,194,0,0,3.3,13.0,2021-12-28T15:00:00Z,82,15,0,0,0,0,20,0,37192,0,3,20.0,6,2414,2992,578,45,True,0
0,0,15,0,1.2,488,204,3,0,1.5,13.4,2022-01-01T17:30:00Z,90,19,0,0,0,0,21,0,33487,3,2,0.0,1,-1769,507,2276,45,True,0
0,0,3,0,0.3,488,212,1,0,0.5,4.8,2022-01-14T20:00:00Z,90,4,1,0,0,0,22,0,33374,1,1,0.0,0,-314,1411,1725,45,False,0
