assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,468,8,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,2,0,0,0,0,1,0,21981,2,3,0.0,0,0,0,0,55,True,0
0,0,6,0,37.6,468,12,0,0,4.8,8.6,2021-08-21T16:30:00Z,25,4,0,0,0,0,2,0,18983,0,2,2.0,1,-4213,1294,5507,55,False,0
0,0,8,0,23.1,468,27,1,0,3.3,6.2,2021-08-29T13:00:00Z,64,17,0,0,0,0,3,0,19147,0,1,4.0,2,-1218,2432,3650,55,False,0
0,0,2,0,3.8,468,40,0,0,2.6,3.0,2021-09-11T14:00:00Z,52,20,0,0,0,0,4,0,26833,2,0,19.0,1,4427,12902,8475,55,True,0
2,2,29,0,22.3,468,47,1,0,8.5,23.2,2021-09-18T14:00:00Z,90,15,0,0,0,0,5,0,30569,3,1,39.0,10,2723,8413,5690,55,False,0
1,0,17,0,21.2,468,60,1,0,7.3,28.6,2021-09-25T14:00:00Z,90,14,0,0,0,0,6,0,65870,1,1,23.0,5,30820,36804,5984,55,True,0
0,0,1,0,0.3,468,65,1,0,0.2,0.0,2021-10-02T14:00:00Z,45,10,0,0,0,0,7,0,85850,0,1,2.0,1,18022,29811,11789,55,False,0
0,0,0,0,0.0,468,80,0,0,0.0,0.0,2021-10-16T11:30:00Z,0,11,0,0,0,0,8,0,60846,5,0,0.0,0,-23859,2856,26715,55,True,0
0,3,72,0,12.9,468,86,2,3,24.1,106.4,2021-10-23T14:00:00Z,90,8,0,0,0,0,9,0,55745,5,2,122.0,16,-6047,3096,9143,55,False,1
0,0,8,0,41.7,468,99,1,0,6.3,8.8,2021-10-30T14:00:00Z,90,16,0,0,0,0,10,0,318289,1,0,12.0,2,231086,243629,12543,56,True,0
0,0,0,0,11.4,468,101,1,0,5.7,2.2,2021-11-07T14:00:00Z,90,1,0,0,0,0,11,0,307135,0,1,43.0,1,2709,47645,44936,56,False,1
