assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,17,0,0.0,475,5,1,0,2.6,26.2,2021-08-14T14:00:00Z,90,9,0,0,0,0,1,4,23035,0,1,0.0,3,0,0,0,50,False,0
0,0,14,0,0.0,475,17,1,0,3.2,32.4,2021-08-22T13:00:00Z,90,17,0,0,0,0,2,5,28451,1,0,0.0,3,-583,1850,2433,50,True,0
0,0,13,0,0.0,475,30,1,0,1.4,13.6,2021-08-29T15:30:00Z,90,13,0,0,0,0,3,2,31706,1,0,0.0,2,602,4304,3702,50,True,0
0,0,24,1,0.0,475,40,0,0,1.8,18.4,2021-09-11T14:00:00Z,90,18,0,0,0,0,4,2,121133,2,0,0.0,6,81255,124510,43255,50,False,0
0,0,8,0,0.0,475,50,2,0,1.2,12.2,2021-09-18T11:30:00Z,90,3,0,0,0,0,5,1,187779,2,0,0.0,0,57731,77927,20196,50,True,1
1,3,51,1,20.0,475,59,0,0,7.5,54.8,2021-09-26T13:00:00Z,90,16,0,0,0,0,6,6,164967,1,0,0.0,14,-18393,7023,25416,50,False,0
0,0,10,0,0.0,475,70,1,0,1.1,10.8,2021-10-02T14:00:00Z,90,14,0,0,0,0,7,1,220688,1,2,0.0,2,42165,56123,13958,50,True,0
0,0,15,0,0.0,475,72,2,0,2.6,26.4,2021-10-16T14:00:00Z,90,2,0,0,0,0,8,3,225363,3,2,0.0,2,4500,27801,23301,50,False,0
0,0,17,0,10.0,475,87,1,0,3.3,23.4,2021-10-23T14:00:00Z,90,10,0,0,0,0,9,3,220027,1,1,0.0,3,-7430,13657,21087,50,False,0
0,0,17,0,0.0,475,100,1,0,2.7,27.2,2021-11-01T20:00:00Z,90,8,0,0,0,0,10,4,222292,1,2,0.0,3,-694,16176,16870,50,True,0
0,0,18,0,0.0,475,105,2,0,3.4,33.6,2021-11-06T15:00:00Z,90,7,0,0,0,0,11,4,214570,0,2,0.0,2,-8620,4158,12778,50,False,0
