assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,1,0,0.8,141,3,0,0,0.2,0.0,2021-08-14T14:00:00Z,8,7,0,0,0,0,1,0,834989,0,3,2.0,1,0,0,0,85,True,0
0,0,0,1,5.2,141,18,0,0,9.2,7.0,2021-08-22T15:30:00Z,89,1,0,0,0,0,2,0,639736,2,0,80.0,3,-236941,16942,253883,84,False,0
0,1,21,0,1.8,141,23,1,1,7.4,37.2,2021-08-28T16:30:00Z,45,11,0,0,0,0,3,0,459983,1,1,35.0,7,-195620,11269,206889,83,False,0
0,0,7,1,12.9,141,33,0,0,3.0,8.8,2021-09-11T16:30:00Z,63,2,0,0,0,0,4,0,482326,0,3,8.0,3,-13271,83730,97001,83,True,0
0,0,-1,1,9.8,141,48,0,0,3.5,0.0,2021-09-19T15:30:00Z,69,17,0,0,0,0,5,0,417735,3,0,27.0,3,-67723,21219,88942,83,False,0
0,0,0,0,0.2,141,53,0,0,0.1,0.0,2021-09-25T11:30:00Z,30,12,0,0,0,0,6,0,383711,1,0,2.0,1,-40531,22080,62611,82,True,0
0,0,0,0,0.0,141,63,0,0,0.0,0.0,2021-10-02T14:00:00Z,0,16,0,0,0,0,7,0,380838,1,3,0.0,0,-9529,35665,45194,82,True,0
0,0,7,0,0.1,141,73,0,0,1.2,12.0,2021-10-16T16:30:00Z,13,3,0,0,0,0,8,0,338118,1,0,0.0,1,-44272,11031,55303,82,False,0
0,0,5,1,4.7,141,84,0,0,5.0,6.0,2021-10-23T11:30:00Z,69,15,0,0,0,0,9,0,675047,0,7,39.0,3,313136,342461,29325,81,True,0
1,0,18,1,15.0,141,96,0,0,6.4,9.6,2021-10-30T14:00:00Z,90,14,0,0,0,0,10,0,633143,3,0,39.0,6,-29456,62382,91838,81,False,0
0,1,23,0,6.3,141,104,1,1,9.1,33.2,2021-11-06T15:00:00Z,90,5,0,0,0,0,11,0,646723,1,1,51.0,8,9497,55473,45976,81,True,0
0,0,3,1,4.8,141,113,0,0,1.2,0.0,2021-11-20T12:30:00Z,61,9,0,0,0,0,12,0,603110,3,0,8.0,3,-46561,55010,101571,81,False,0
0,0,0,0,0.0,141,125,0,0,0.0,0.0,2021-11-28T16:30:00Z,0,13,0,0,0,0,13,0,448445,1,1,0.0,0,-153051,19094,172145,80,True,0
1,0,20,0,26.7,141,135,1,0,8.5,32.8,2021-12-01T19:30:00Z,90,18,0,0,0,0,14,0,406292,2,1,25.0,5,-45677,11796,57473,80,False,0
0,0,3,0,2.9,141,149,1,0,4.7,3.2,2021-12-04T12:30:00Z,45,19,0,0,0,0,15,0,379394,2,3,41.0,1,-27950,9049,36999,79,False,0
0,0,-2,0,6.1,141,155,2,0,6.6,9.0,2021-12-11T15:00:00Z,90,10,0,0,0,0,16,0,335547,2,3,51.0,2,-44174,6614,50788,78,True,0
0,0,0,0,0.0,141,168,0,0,0.0,0.0,2021-12-16T19:45:00Z,0,8,0,0,0,0,17,0,323123,1,1,0.0,0,-14036,3568,17604,78,True,0
0,0,0,0,0.0,141,180,0,0,0.0,0.0,2021-12-19T14:00:00Z,0,20,0,0,0,0,18,0,318661,0,0,0.0,0,-7505,6268,13773,78,False,0
0,0,0,0,0.0,141,181,0,0,0.0,0.0,2021-12-26T17:30:00Z,0,2,0,0,0,0,19,0,288976,3,1,0.0,0,-23437,1013,24450,78,False,0
0,0,0,0,0.0,141,193,0,0,0.0,0.0,2021-12-29T19:30:00Z,0,4,0,0,0,0,20,0,281048,1,1,0.0,0,-11862,45,11907,78,True,0
0,0,4,0,2.3,141,203,2,0,2.8,1.2,2022-01-02T16:30:00Z,78,11,0,0,0,0,21,0,276167,2,2,24.0,2,-6509,792,7301,78,True,0
0,0,0,0,0.0,141,215,0,0,0.0,0.0,2022-01-15T12:30:00Z,0,12,0,0,0,0,22,0,299586,0,1,0.0,0,11916,19426,7510,78,False,0
0,0,3,0,1.0,141,232,0,0,0.3,2.2,2022-01-18T20:00:00Z,10,4,0,0,0,0,22,0,299586,1,1,0.0,1,11916,19426,7510,78,False,0
0,0,0,0,0.0,141,223,0,0,0.0,0.0,2022-01-23T16:30:00Z,0,17,0,0,0,0,23,0,282334,0,2,0.0,0,-7989,2280,10269,78,True,0
0,0,-2,1,14.0,141,254,0,0,2.3,0.0,2022-02-19T15:00:00Z,90,7,0,0,0,0,26,0,273791,1,0,14.0,2,3719,7262,3543,78,False,1
0,1,37,1,4.1,141,272,0,2,14.8,67.4,2022-03-05T15:00:00Z,90,5,0,0,0,0,28,0,393209,4,0,76.0,14,87489,98750,11261,78,False,0
1,2,33,0,27.5,141,297,1,1,17.1,64.6,2022-03-10T19:30:00Z,90,15,0,0,0,0,28,0,393209,3,1,79.0,12,87489,98750,11261,78,False,0
0,0,20,1,14.9,141,284,0,1,11.2,40.2,2022-03-13T14:00:00Z,90,14,0,0,0,0,29,0,489302,0,1,57.0,7,116737,140281,23544,78,True,1
0,0,4,0,29.7,141,303,4,0,9.8,11.0,2022-04-02T14:00:00Z,90,3,0,0,0,0,31,0,758616,4,1,57.0,2,244600,256796,12196,79,True,0
0,0,24,0,24.0,141,319,0,1,10.0,40.4,2022-04-09T14:00:00Z,45,16,0,0,0,0,32,0,763058,6,0,36.0,6,7067,54791,47724,79,False,0
0,0,3,0,1.6,141,243,1,0,0.5,3.4,2022-04-20T18:45:00Z,30,1,0,0,0,0,33,0,706418,4,2,0.0,1,-40340,36434,76774,79,True,0
0,0,4,1,23.8,141,335,0,0,5.1,7.4,2022-04-24T13:00:00Z,75,19,0,0,0,0,34,0,918291,0,1,20.0,3,180102,226067,45965,79,True,0
1,0,9,0,46.0,141,364,1,0,13.7,21.0,2022-04-28T18:45:00Z,69,13,0,0,0,0,34,0,918291,1,1,70.0,5,180102,226067,45965,79,False,0
0,0,3,0,14.3,141,342,1,0,2.5,2.8,2022-05-01T13:00:00Z,90,8,0,0,0,0,35,0,855975,0,1,8.0,1,-48715,37008,85723,79,False,1
0,0,1,0,0.3,141,355,1,0,0.2,0.0,2022-05-07T14:00:00Z,1,20,0,0,0,0,36,0,782007,2,2,4.0,1,-67285,35054,102339,79,True,0
0,0,0,0,0.0,141,323,0,0,0.0,0.0,2022-05-11T18:30:00Z,0,10,0,0,0,0,36,0,782007,3,0,0.0,0,-67285,35054,102339,79,False,0
