assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,294,9,0,0,0.0,0.0,2021-08-15T13:00:00Z,0,19,0,0,0,0,1,0,53679,4,2,0.0,0,0,0,0,45,True,0
0,0,0,0,0.0,294,11,0,0,0.0,0.0,2021-08-21T14:00:00Z,0,2,0,0,0,0,2,0,45105,0,2,0.0,0,-8393,193,8586,45,False,0
0,0,0,0,0.0,294,25,0,0,0.0,0.0,2021-08-28T14:00:00Z,0,16,0,0,0,0,3,0,38518,2,2,0.0,0,-6844,77,6921,45,True,0
0,0,0,0,0.0,294,38,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,13,0,0,0,0,4,0,29210,1,4,0.0,0,-9355,206,9561,45,False,0
0,3,29,0,0.0,294,46,1,0,5.5,55.2,2021-09-17T19:00:00Z,90,10,0,0,0,0,5,9,28803,1,1,0.0,8,-1368,1541,2909,45,True,0
0,0,10,0,0.0,294,60,1,0,1.8,17.6,2021-09-25T14:00:00Z,90,18,0,0,0,0,6,3,36093,1,1,0.0,2,5605,7797,2192,45,False,1
0,0,9,0,0.0,294,70,2,0,0.6,6.4,2021-10-02T14:00:00Z,90,20,0,0,0,0,7,1,37131,1,2,0.0,1,670,3078,2408,45,False,0
0,0,12,0,0.0,294,77,3,0,0.8,7.8,2021-10-17T15:30:00Z,90,17,0,0,0,0,8,1,36576,3,2,0.0,1,-928,1665,2593,45,True,0
0,0,13,0,0.0,294,85,1,0,2.1,21.0,2021-10-23T14:00:00Z,90,7,0,0,0,0,9,2,37655,1,1,0.0,2,657,2751,2094,45,False,0
0,0,13,0,0.0,294,96,3,0,1.0,9.6,2021-10-30T14:00:00Z,90,6,0,0,0,0,10,3,35921,3,0,0.0,2,-2072,1224,3296,45,True,0
0,0,17,0,0.0,294,103,1,0,3.5,34.8,2021-11-06T17:30:00Z,90,4,0,0,0,0,11,4,35740,1,1,0.0,3,-518,910,1428,45,False,0
0,0,7,0,0.0,294,116,3,0,0.5,4.6,2021-11-20T15:00:00Z,90,3,0,0,0,0,12,1,43386,3,3,0.0,1,6670,9006,2336,45,True,0
0,0,0,0,0.0,294,121,0,0,0.0,0.0,2021-11-27T12:30:00Z,0,1,0,0,0,0,13,0,41888,0,2,0.0,0,-1378,2275,3653,45,False,0
0,0,0,0,0.0,294,138,0,0,0.0,0.0,2021-11-30T19:30:00Z,0,15,0,0,0,0,14,0,41919,1,1,0.0,0,-390,3338,3728,45,True,0
0,0,0,0,0.0,294,145,0,0,0.0,0.0,2021-12-04T15:00:00Z,0,5,0,0,0,0,15,0,39162,0,1,0.0,0,-2802,1400,4202,45,True,0
0,0,0,0,0.0,294,157,0,0,0.0,0.0,2021-12-12T14:00:00Z,0,9,0,0,0,0,16,0,36544,0,4,0.0,0,-2778,840,3618,45,False,0
0,0,0,0,0.0,294,169,0,0,0.0,0.0,2021-12-16T20:00:00Z,0,11,0,0,0,0,17,0,35320,1,3,0.0,0,-1326,312,1638,45,False,0
0,0,0,0,0.0,294,175,0,0,0.0,0.0,2021-12-19T14:00:00Z,0,12,0,0,0,0,18,0,39656,4,0,0.0,0,442,1933,1491,45,True,0
0,0,0,0,0.0,294,186,0,0,0.0,0.0,2021-12-27T20:00:00Z,0,13,0,0,0,0,19,0,34560,1,1,0.0,0,-1305,376,1681,45,True,0
0,0,0,0,0.0,294,216,0,0,0.0,0.0,2022-01-15T15:00:00Z,0,18,0,0,0,0,22,0,29151,1,1,0.0,0,-1996,138,2134,45,True,0
0,0,0,0,0.0,294,226,0,0,0.0,0.0,2022-01-22T15:00:00Z,0,10,0,0,0,0,23,0,29674,1,0,0.0,0,-321,366,687,45,False,0
0,0,0,0,0.0,294,239,0,0,0.0,0.0,2022-02-08T19:45:00Z,0,8,0,0,0,0,24,0,29421,1,3,0.0,0,-413,460,873,45,True,0
0,0,0,0,0.0,294,247,0,0,0.0,0.0,2022-02-13T14:00:00Z,0,2,0,0,0,0,25,0,28908,0,1,0.0,0,-543,213,756,45,True,0
0,0,0,0,0.0,294,259,0,0,0.0,0.0,2022-02-19T12:30:00Z,0,19,0,0,0,0,26,0,28586,1,1,0.0,0,-315,347,662,45,False,0
0,0,0,0,0.0,294,262,0,0,0.0,0.0,2022-02-26T15:00:00Z,0,3,0,0,0,0,27,0,29097,2,0,0.0,0,114,711,597,45,False,0
0,0,0,0,0.0,294,276,0,0,0.0,0.0,2022-03-05T15:00:00Z,0,4,0,0,0,0,28,0,30027,1,2,0.0,0,414,1642,1228,45,True,0
0,0,0,0,0.0,294,209,0,0,0.0,0.0,2022-03-10T19:30:00Z,0,16,0,0,0,0,28,0,30027,2,1,0.0,0,414,1642,1228,45,False,0
0,0,0,0,0.0,294,284,0,0,0.0,0.0,2022-03-13T14:00:00Z,0,6,0,0,0,0,29,0,29576,0,1,0.0,0,-215,934,1149,45,False,0
0,0,0,0,0.0,294,195,0,0,0.0,0.0,2022-03-17T19:45:00Z,0,8,0,0,0,0,29,0,29576,0,1,0.0,0,-215,934,1149,45,False,0
0,0,0,0,0.0,294,308,0,0,0.0,0.0,2022-04-03T15:30:00Z,0,17,0,0,0,0,31,0,28829,1,5,0.0,0,-266,405,671,45,False,0
0,0,0,0,0.0,294,317,0,0,0.0,0.0,2022-04-08T19:00:00Z,0,20,0,0,0,0,32,0,28919,0,1,0.0,0,42,370,328,45,True,0
0,0,0,0,0.0,294,325,0,0,0.0,0.0,2022-04-17T13:15:00Z,0,9,0,0,0,0,33,0,29133,1,2,0.0,0,-85,687,772,45,True,0
0,0,0,0,0.0,294,296,0,0,0.0,0.0,2022-04-20T18:45:00Z,0,7,0,0,0,0,33,0,29133,0,1,0.0,0,-85,687,772,45,True,0
0,0,0,0,0.0,294,340,0,0,0.0,0.0,2022-04-23T14:00:00Z,0,15,0,0,0,0,34,0,28683,3,0,0.0,0,-329,246,575,45,False,0
0,0,0,0,0.0,294,345,0,0,0.0,0.0,2022-04-30T11:30:00Z,0,11,0,0,0,0,35,0,28342,1,0,0.0,0,-371,118,489,45,True,0
0,0,0,0,0.0,294,359,0,0,0.0,0.0,2022-05-08T15:30:00Z,0,12,0,0,0,0,36,0,27795,0,5,0.0,0,-531,117,648,45,False,0
0,0,0,0,0.0,294,365,0,0,0.0,0.0,2022-05-16T19:00:00Z,0,1,0,0,0,0,37,0,27737,0,2,0.0,0,-163,147,310,45,True,0
0,0,0,0,0.0,294,374,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,5,0,0,0,0,38,0,28103,2,1,0.0,0,143,537,394,45,False,0
