assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,10,0,10.5,184,6,5,0,3.8,25.4,2021-08-14T11:30:00Z,90,13,0,0,0,0,1,0,21528,1,5,2.0,-1,0,0,0,45,False,1
1,0,21,0,11.1,184,14,2,0,5.0,32.4,2021-08-21T14:00:00Z,90,8,0,0,0,0,2,0,23580,2,2,6.0,3,-1458,1421,2879,45,True,1
0,0,14,0,3.9,184,29,1,0,2.3,12.8,2021-08-29T13:00:00Z,90,5,0,0,0,0,3,0,25267,1,1,6.0,2,19,2641,2622,45,False,0
0,0,14,0,0.3,184,36,3,0,3.4,33.6,2021-09-12T15:30:00Z,90,11,0,0,0,0,4,0,25455,3,0,0.0,0,-1279,2546,3825,45,True,1
0,0,19,0,10.5,184,46,1,0,4.3,32.4,2021-09-17T19:00:00Z,90,14,0,0,0,0,5,0,26944,1,1,0.0,2,536,3434,2898,45,False,0
0,0,16,0,0.6,184,56,2,0,3.1,30.8,2021-09-25T14:00:00Z,90,19,0,0,0,0,6,0,29458,2,1,0.0,1,1481,4883,3402,45,True,0
0,1,30,1,0.8,184,65,0,0,1.9,18.6,2021-10-02T14:00:00Z,90,18,0,0,0,0,7,0,37028,0,1,0.0,7,6339,10333,3994,45,True,0
0,0,14,0,0.3,184,79,1,0,1.8,18.0,2021-10-16T14:00:00Z,90,16,0,0,0,0,8,0,38925,0,1,0.0,2,1473,5907,4434,45,False,0
0,0,15,0,1.2,184,87,1,0,1.9,9.6,2021-10-23T14:00:00Z,90,20,0,0,0,0,9,0,38925,1,1,8.0,2,-211,2189,2400,45,True,0
0,0,9,0,0.0,184,97,1,0,1.3,12.8,2021-10-31T14:00:00Z,90,15,0,0,0,0,10,0,44139,2,1,0.0,2,3817,6688,2871,45,False,0
0,0,17,0,0.2,184,107,1,0,1.5,14.4,2021-11-07T14:00:00Z,90,9,0,0,0,0,11,0,40378,1,1,0.0,2,-3217,894,4111,45,True,0
0,0,11,0,0.4,184,118,2,0,1.6,15.8,2021-11-21T16:30:00Z,90,17,0,0,0,0,12,0,38210,1,2,0.0,0,-2508,703,3211,45,False,1
0,0,23,1,0.0,184,123,0,0,2.0,19.6,2021-11-27T17:30:00Z,90,4,0,0,0,0,13,0,36097,0,0,0.0,6,-2307,519,2826,45,False,0
1,3,36,1,0.7,184,133,0,0,5.2,32.8,2021-11-30T20:15:00Z,90,7,0,0,0,0,14,0,38241,0,1,18.0,12,1740,3012,1272,45,True,0
0,0,4,0,0.3,184,143,0,0,0.6,5.2,2021-12-05T14:00:00Z,14,3,0,0,0,0,15,0,53169,2,2,0.0,1,13258,16317,3059,45,True,0
0,0,0,0,0.0,184,155,0,0,0.0,0.0,2021-12-11T15:00:00Z,0,6,0,0,0,0,16,0,39047,2,3,0.0,0,-12412,966,13378,45,False,0
0,0,0,0,0.0,184,170,0,0,0.0,0.0,2021-12-14T20:00:00Z,0,12,0,0,0,0,17,0,31294,0,7,0.0,0,-8450,93,8543,45,False,0
0,0,0,0,0.0,184,173,0,0,0.0,0.0,2021-12-18T17:30:00Z,0,1,0,0,0,0,18,0,27930,4,1,0.0,0,-3234,108,3342,45,True,0
0,0,0,0,0.0,184,206,0,0,0.0,0.0,2022-01-02T14:00:00Z,0,5,0,0,0,0,21,0,23839,1,3,0.0,0,-1197,85,1282,44,True,0
0,0,0,0,0.0,184,219,0,0,0.0,0.0,2022-01-16T14:00:00Z,0,19,0,0,0,0,22,0,22390,3,2,0.0,0,-1387,55,1442,44,False,0
