assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,65,2,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,5,0,0,0,0,1,0,1410,2,1,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,65,12,0,0,0.0,0.0,2021-08-21T16:30:00Z,0,18,0,0,0,0,2,0,1164,0,2,0.0,0,-228,0,228,45,True,0
0,0,0,0,0.0,65,22,0,0,0.0,0.0,2021-08-28T14:00:00Z,0,8,0,0,0,0,3,0,1041,2,0,0.0,0,-134,0,134,45,True,0
0,0,0,0,0.0,65,32,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,3,0,0,0,0,4,0,874,1,0,0.0,0,-169,0,169,45,False,0
0,0,0,0,0.0,65,42,0,0,0.0,0.0,2021-09-19T13:00:00Z,0,9,0,0,0,0,5,0,808,1,2,0.0,0,-71,0,71,45,True,0
0,0,0,0,0.0,65,54,0,0,0.0,0.0,2021-09-27T19:00:00Z,0,7,0,0,0,0,6,0,770,1,1,0.0,0,-38,0,38,45,False,0
0,0,0,0,0.0,65,61,0,0,0.0,0.0,2021-10-02T16:30:00Z,0,1,0,0,0,0,7,0,749,0,0,0.0,0,-25,0,25,45,True,0
0,0,0,0,0.0,65,78,0,0,0.0,0.0,2021-10-16T14:00:00Z,0,15,0,0,0,0,8,0,723,0,0,0.0,0,-25,0,25,45,False,0
0,0,0,0,0.0,65,83,0,0,0.0,0.0,2021-10-23T16:30:00Z,0,12,0,0,0,0,9,0,706,4,1,0.0,0,-19,0,19,45,True,0
0,0,0,0,0.0,65,94,0,0,0.0,0.0,2021-10-30T14:00:00Z,0,11,0,0,0,0,10,0,697,2,2,0.0,0,-9,0,9,45,False,0
0,0,0,0,0.0,65,103,0,0,0.0,0.0,2021-11-06T17:30:00Z,0,14,0,0,0,0,11,0,686,1,1,0.0,0,-12,0,12,45,True,0
