assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,17,0,1.4,439,5,1,0,7.9,24.6,2021-08-14T14:00:00Z,90,9,0,0,0,0,1,0,11773,0,1,53.0,2,0,0,0,45,False,0
0,0,18,0,11.9,439,17,1,0,4.1,28.6,2021-08-22T13:00:00Z,90,17,0,0,0,0,2,0,14239,1,0,0.0,2,-184,1106,1290,45,True,0
0,0,15,0,0.7,439,30,1,0,1.0,9.2,2021-08-29T15:30:00Z,90,13,0,0,0,0,3,0,15234,1,0,0.0,2,150,2057,1907,45,True,0
0,0,21,1,1.6,439,40,0,0,2.0,18.2,2021-09-11T14:00:00Z,90,18,0,0,0,0,4,0,24963,2,0,0.0,5,7952,17206,9254,45,False,1
0,0,10,0,12.8,439,50,2,0,1.7,4.0,2021-09-18T11:30:00Z,90,3,0,0,0,0,5,0,31639,2,0,0.0,1,5708,9663,3955,45,True,0
0,0,20,1,1.5,439,59,0,0,1.4,10.4,2021-09-26T13:00:00Z,90,16,0,0,0,0,6,0,30487,1,0,2.0,6,-1276,1916,3192,45,False,0
0,0,19,0,1.2,439,70,1,0,2.3,22.0,2021-10-02T14:00:00Z,90,14,0,0,0,0,7,0,34208,1,2,0.0,2,2809,4872,2063,45,True,0
0,0,6,0,1.4,439,72,2,0,2.8,10.4,2021-10-16T14:00:00Z,90,2,0,0,0,0,8,0,33643,3,2,16.0,1,-777,2356,3133,45,False,0
0,0,8,0,0.3,439,87,1,0,3.0,22.4,2021-10-23T14:00:00Z,90,10,0,0,0,0,9,0,32015,1,1,7.0,1,-1793,709,2502,45,False,1
0,0,28,0,1.0,439,100,1,1,7.3,55.2,2021-11-01T20:00:00Z,90,8,0,0,0,0,10,0,30757,1,2,17.0,8,-1578,954,2532,45,True,0
0,0,12,0,0.6,439,105,2,0,1.8,17.0,2021-11-06T15:00:00Z,90,7,0,0,0,0,11,0,33825,0,2,0.0,1,2310,3626,1316,45,False,0
0,0,22,1,1.0,439,120,0,0,4.2,19.4,2021-11-20T15:00:00Z,90,19,0,0,0,0,12,0,32917,0,1,22.0,6,-987,1195,2182,45,True,0
0,0,25,1,2.1,439,130,0,0,1.7,12.8,2021-11-27T15:00:00Z,90,15,0,0,0,0,13,0,38203,0,0,2.0,6,4610,6376,1766,45,False,0
0,1,28,1,12.2,439,137,0,0,4.2,29.4,2021-12-01T19:30:00Z,90,5,0,0,0,0,14,0,40035,0,0,0.0,6,1561,3714,2153,45,True,1
0,0,16,0,0.1,439,150,1,0,2.3,22.8,2021-12-04T15:00:00Z,90,11,0,0,0,0,15,0,38684,1,0,0.0,2,-1361,2501,3862,45,True,0
0,0,16,0,0.2,439,159,1,0,6.5,30.2,2021-12-11T12:30:00Z,90,12,0,0,0,0,16,0,40894,0,1,35.0,2,1846,4313,2467,45,False,0
0,0,23,1,0.3,439,163,0,0,1.9,18.6,2021-12-15T19:30:00Z,90,4,0,0,0,0,17,0,48673,1,0,0.0,6,6690,8478,1788,45,False,0
0,0,26,1,1.6,439,180,0,0,1.0,8.0,2021-12-19T14:00:00Z,90,6,0,0,0,0,18,0,54283,0,0,0.0,6,2817,5535,2718,45,True,0
0,1,26,1,1.0,439,208,0,0,1.6,15.2,2022-01-03T17:30:00Z,90,13,0,0,0,0,21,0,57026,1,0,0.0,7,6085,9979,3894,45,False,0
1,0,21,0,0.6,439,220,1,0,3.3,26.0,2022-01-15T15:00:00Z,90,16,0,0,0,0,22,0,118134,1,3,6.0,5,47467,60623,13156,45,True,0
0,0,13,0,1.0,439,222,1,0,2.7,22.4,2022-01-22T15:00:00Z,90,3,0,0,0,0,23,0,157943,2,1,4.0,2,48592,55935,7343,45,False,0
0,0,14,0,3.4,439,236,1,0,2.8,24.8,2022-02-10T19:45:00Z,90,1,0,0,0,0,24,0,167549,1,0,0.0,2,11112,25516,14404,45,True,0
0,1,29,1,1.0,439,249,0,0,3.3,31.6,2022-02-13T14:00:00Z,90,17,0,0,0,0,25,0,180521,2,0,0.0,7,12475,23496,11021,45,False,0
0,0,14,0,0.4,439,260,1,0,4.8,12.8,2022-02-20T16:30:00Z,90,9,0,0,0,0,26,0,247603,1,2,35.0,2,46982,57188,10206,46,True,0
0,0,11,0,0.4,439,191,2,0,1.7,16.2,2022-02-24T19:45:00Z,90,1,0,0,0,0,26,0,247603,1,2,0.0,1,46982,57188,10206,46,False,0
0,0,15,0,2.4,439,270,1,0,1.7,10.8,2022-02-27T14:00:00Z,90,19,0,0,0,0,27,0,246228,0,1,4.0,2,23711,31444,7733,46,False,0
0,0,5,0,1.4,439,280,2,0,0.7,1.6,2022-03-05T15:00:00Z,78,7,0,0,0,0,28,0,376377,2,0,4.0,1,112242,136246,24004,46,True,0
0,0,0,0,0.0,439,190,0,0,0.0,0.0,2022-03-10T19:30:00Z,0,18,0,0,0,0,28,0,376377,0,4,0.0,0,112242,136246,24004,46,True,0
0,2,28,1,2.5,439,286,0,0,2.1,18.4,2022-03-13T14:00:00Z,90,8,0,0,0,0,29,0,330315,1,0,0.0,8,-27706,17793,45499,46,False,0
0,0,0,0,0.0,439,300,0,0,0.0,0.0,2022-03-18T20:00:00Z,0,10,0,0,0,0,30,0,413602,3,2,0.0,0,45441,50685,5244,46,True,0
0,0,14,0,1.2,439,310,1,0,2.6,25.0,2022-04-02T14:00:00Z,90,2,0,0,0,0,31,0,338293,1,2,0.0,2,-44023,4796,48819,46,True,0
0,0,16,0,1.6,439,317,1,0,2.1,19.8,2022-04-08T19:00:00Z,90,14,0,0,0,0,32,0,324341,0,1,0.0,2,-15016,6045,21061,46,False,0
0,0,0,0,0.0,439,334,0,0,0.0,0.0,2022-04-24T13:00:00Z,0,5,0,0,0,0,34,0,247301,0,1,0.0,0,-35427,4991,40418,45,False,0
0,0,0,0,0.0,439,350,0,0,0.0,0.0,2022-04-30T14:00:00Z,0,4,0,0,0,0,35,0,196148,3,0,0.0,0,-52220,91,52311,45,True,0
0,0,0,0,0.0,439,355,0,0,0.0,0.0,2022-05-07T14:00:00Z,0,6,0,0,0,0,36,0,139019,2,2,0.0,0,-50860,157,51017,45,False,0
0,0,0,0,0.0,439,330,0,0,0.0,0.0,2022-05-11T19:15:00Z,0,12,0,0,0,0,36,0,139019,5,1,0.0,0,-50860,157,51017,45,True,0
0,0,0,0,0.0,439,370,0,0,0.0,0.0,2022-05-15T13:00:00Z,0,15,0,0,0,0,37,0,123182,1,1,0.0,0,-18690,52,18742,45,True,0
0,0,0,0,0.0,439,378,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,11,0,0,0,0,38,0,113702,1,3,0.0,0,-12005,98,12103,45,False,0
