assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,265,10,0,0,0.0,0.0,2021-08-15T15:30:00Z,0,17,0,0,0,0,1,0,105611,0,1,0.0,0,0,0,0,80,False,0
0,0,0,0,0.0,265,16,0,0,0.0,0.0,2021-08-21T14:00:00Z,0,15,0,0,0,0,2,0,68816,0,5,0.0,0,-38785,899,39684,79,True,0
0,0,0,0,0.0,265,24,0,0,0.0,0.0,2021-08-28T11:30:00Z,0,1,0,0,0,0,3,0,56761,0,5,0.0,0,-14835,553,15388,79,True,0
0,0,0,0,0.0,265,37,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,9,0,0,0,0,4,0,50573,1,0,0.0,0,-7849,1601,9450,79,False,0
0,0,1,0,5.5,265,45,0,0,3.1,4.0,2021-09-18T14:00:00Z,18,16,0,0,0,0,5,0,57155,0,0,21.0,1,2470,6400,3930,79,True,0
0,0,12,1,58.3,265,53,0,0,7.2,10.0,2021-09-25T11:30:00Z,86,6,0,0,0,0,6,0,64912,1,0,4.0,3,4241,9040,4799,79,False,0
0,0,18,0,22.3,265,66,2,1,13.0,45.4,2021-10-03T15:30:00Z,90,11,0,0,0,0,7,0,75918,2,2,62.0,7,8102,13085,4983,79,False,0
1,0,16,1,10.1,265,76,0,0,6.7,8.6,2021-10-16T14:00:00Z,90,5,0,0,0,0,8,0,362595,0,2,48.0,6,267612,299262,31650,80,True,0
1,3,61,0,25.3,265,83,1,2,26.5,91.4,2021-10-23T16:30:00Z,90,4,0,0,0,0,9,0,470363,4,1,148.0,18,106204,134186,27982,80,False,0
0,0,3,0,33.4,265,95,2,0,4.4,6.2,2021-10-30T14:00:00Z,90,7,0,0,0,0,10,0,1206304,2,0,4.0,2,682002,697016,15014,82,True,0
0,0,9,1,34.7,265,108,0,0,5.6,6.8,2021-11-06T12:30:00Z,90,13,0,0,0,0,11,0,1247987,2,0,14.0,3,63744,133768,70024,82,False,0
0,0,13,0,21.4,265,115,0,0,3.3,3.2,2021-11-21T14:00:00Z,57,8,0,0,0,0,12,0,1214380,0,3,8.0,1,-42806,127517,170323,83,True,0
0,0,0,0,0.0,265,129,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,19,0,0,0,0,13,0,970034,1,2,0.0,0,-242218,30748,272966,83,True,0
0,0,0,0,0.0,265,131,0,0,0.0,0.0,2021-12-01T20:15:00Z,0,2,0,0,0,0,14,0,683178,2,1,0.0,0,-290465,2851,293316,82,False,0
1,2,35,0,58.8,265,148,1,0,12.1,32.8,2021-12-04T17:30:00Z,74,18,0,0,0,0,15,0,603285,3,1,29.0,7,-85100,28184,113284,81,False,0
0,0,5,0,17.7,265,159,0,0,6.0,6.8,2021-12-11T12:30:00Z,34,20,0,0,0,0,16,0,515766,0,1,35.0,1,-83217,25394,108611,81,True,0
1,1,46,1,66.3,265,170,0,1,18.0,62.2,2021-12-14T20:00:00Z,90,10,0,0,0,0,17,0,573382,0,7,51.0,12,41482,79990,38508,80,True,0
0,0,0,0,0.0,265,175,0,0,0.0,0.0,2021-12-19T14:00:00Z,0,14,0,0,0,0,18,0,1090002,4,0,0.0,0,397857,408916,11059,81,False,0
0,0,2,0,2.2,265,185,0,0,0.2,0.2,2021-12-26T15:00:00Z,19,9,0,0,0,0,19,0,881944,3,6,0.0,1,-58476,45541,104017,81,True,0
0,3,32,1,23.0,265,192,0,1,10.4,37.6,2021-12-29T20:15:00Z,90,3,0,0,0,0,20,0,833000,1,0,43.0,11,-67466,22953,90419,81,False,0
0,0,0,0,0.0,265,201,0,0,0.0,0.0,2022-01-01T12:30:00Z,0,1,0,0,0,0,21,0,806802,2,1,0.0,0,-34439,84126,118565,81,False,0
