assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,695,221,0,0,0.0,0.0,2022-01-23T14:00:00Z,0,5,0,0,0,0,23,0,0,0,0,0.0,0,0,0,0,40,True,0
0,0,0,0,0.0,695,236,0,0,0.0,0.0,2022-02-10T19:45:00Z,0,20,0,0,0,0,24,0,100,1,0,0.0,0,53,76,23,40,False,0
0,0,0,0,0.0,695,251,0,0,0.0,0.0,2022-02-19T15:00:00Z,0,3,0,0,0,0,26,0,70,1,2,0.0,0,-8,0,8,40,True,0
0,0,0,0,0.0,695,191,0,0,0.0,0.0,2022-02-24T19:45:00Z,0,20,0,0,0,0,26,0,70,1,2,0.0,0,-8,0,8,40,True,0
0,0,0,0,0.0,695,279,0,0,0.0,0.0,2022-03-06T14:00:00Z,0,18,0,0,0,0,28,0,67,3,2,0.0,0,0,0,0,40,False,0
0,0,0,0,0.0,695,281,0,0,0.0,0.0,2022-03-13T16:30:00Z,0,9,0,0,0,0,29,0,63,0,2,0.0,0,-4,0,4,40,True,0
0,0,0,0,0.0,695,261,0,0,0.0,0.0,2022-03-16T20:15:00Z,0,11,0,0,0,0,29,0,63,2,0,0.0,0,-4,0,4,40,True,0
0,0,0,0,0.0,695,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,2,0,0,0,0,30,0,64,1,0,0.0,0,0,0,0,40,False,0
0,0,0,0,0.0,695,304,0,0,0.0,0.0,2022-04-04T19:00:00Z,0,7,0,0,0,0,31,0,64,0,3,0.0,0,-1,0,1,40,False,0
0,0,0,0,0.0,695,311,0,0,0.0,0.0,2022-04-09T14:00:00Z,0,4,0,0,0,0,32,0,63,2,1,0.0,0,0,0,0,40,True,0
0,0,0,0,0.0,695,326,0,0,0.0,0.0,2022-04-16T14:00:00Z,0,16,0,0,0,0,33,0,63,0,1,0.0,0,-1,0,1,40,False,0
0,0,0,0,0.0,695,243,0,0,0.0,0.0,2022-04-20T18:45:00Z,0,6,0,0,0,0,33,0,63,4,2,0.0,0,-1,0,1,40,False,0
0,0,0,0,0.0,695,331,0,0,0.0,0.0,2022-04-23T11:30:00Z,0,13,0,0,0,0,34,0,63,1,3,0.0,0,0,0,0,40,True,0
0,0,0,0,0.0,695,349,0,0,0.0,0.0,2022-05-01T15:30:00Z,0,19,0,0,0,0,35,0,63,2,1,0.0,0,0,0,0,40,False,0
0,0,0,0,0.0,695,351,0,0,0.0,0.0,2022-05-08T13:00:00Z,0,10,0,0,0,0,36,0,62,1,2,0.0,0,-1,0,1,40,True,0
0,0,0,0,0.0,695,218,0,0,0.0,0.0,2022-05-12T18:45:00Z,0,17,0,0,0,0,36,0,62,0,3,0.0,0,-1,0,1,40,False,0
0,0,0,0,0.0,695,365,0,0,0.0,0.0,2022-05-16T19:00:00Z,0,14,0,0,0,0,37,0,61,0,2,0.0,0,0,0,0,40,False,0
0,0,0,0,0.0,695,371,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,8,0,0,0,0,38,0,62,1,5,0.0,0,0,0,0,40,True,0
