assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,209,5,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,20,0,0,0,0,1,0,83726,0,1,0.0,0,0,0,0,55,True,0
0,0,0,0,0.0,209,20,0,0,0.0,0.0,2021-08-23T19:00:00Z,0,19,0,0,0,0,2,0,65153,1,4,0.0,0,-18856,548,19404,54,False,0
0,0,9,0,1.8,209,26,1,0,0.9,7.0,2021-08-28T14:00:00Z,79,15,0,0,0,0,3,0,61318,2,1,0.0,2,-6115,2948,9063,54,False,0
0,0,6,0,1.2,209,37,1,0,1.2,10.6,2021-09-11T14:00:00Z,90,12,0,0,0,0,4,0,56576,1,0,0.0,2,-6183,3821,10004,54,True,0
0,0,4,0,2.5,209,42,0,0,1.0,5.4,2021-09-19T13:00:00Z,22,4,0,0,0,0,5,0,58886,1,2,2.0,1,926,8041,7115,54,False,0
0,0,7,0,16.1,209,57,0,0,3.2,11.8,2021-09-25T14:00:00Z,45,5,0,0,0,0,6,0,57710,2,2,4.0,1,-2028,3808,5836,54,True,0
0,0,12,0,0.6,209,64,2,0,2.8,27.8,2021-10-03T13:00:00Z,90,7,0,0,0,0,7,0,54727,2,2,0.0,1,-3315,2234,5549,53,False,0
0,0,10,0,13.6,209,75,2,0,4.4,10.2,2021-10-16T14:00:00Z,90,13,0,0,0,0,8,0,52423,2,4,20.0,1,-2649,1656,4305,53,True,0
0,0,9,0,4.6,209,82,1,0,1.8,11.0,2021-10-24T13:00:00Z,90,3,0,0,0,0,9,0,51923,2,1,2.0,2,-914,2156,3070,53,False,0
0,0,15,0,20.0,209,93,2,0,4.3,19.4,2021-10-30T11:30:00Z,90,1,0,0,0,0,10,0,50967,2,0,4.0,1,-1216,2862,4078,53,True,0
0,0,9,0,0.9,209,107,1,0,1.5,13.8,2021-11-07T14:00:00Z,90,10,0,0,0,0,11,0,50394,1,1,0.0,2,-1064,2029,3093,53,False,0
0,0,10,0,1.3,209,113,3,0,1.2,10.6,2021-11-20T12:30:00Z,90,6,0,0,0,0,12,0,49478,3,0,0.0,1,-1128,1628,2756,53,True,0
0,0,8,0,16.3,209,127,2,0,3.3,14.8,2021-11-28T14:00:00Z,90,18,0,0,0,0,13,0,51724,2,4,2.0,1,1775,4503,2728,53,True,0
0,0,8,0,1.6,209,139,2,0,1.7,15.8,2021-12-01T19:30:00Z,90,16,0,0,0,0,14,0,53117,2,2,0.0,1,1322,3443,2121,53,False,0
0,0,13,0,8.0,209,141,2,0,2.8,16.0,2021-12-05T16:30:00Z,90,2,0,0,0,0,15,0,50558,1,2,4.0,1,-2639,1208,3847,53,False,0
0,0,25,1,1.3,209,157,0,0,1.5,13.2,2021-12-12T14:00:00Z,90,14,0,0,0,0,16,0,51842,0,4,0.0,5,671,2692,2021,53,True,1
0,0,5,0,0.0,209,185,2,0,1.1,10.6,2021-12-26T15:00:00Z,45,12,0,0,0,0,19,0,47326,3,6,0.0,0,-2143,766,2909,53,False,0
