assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,18,0,23.9,418,9,2,0,5.0,20.4,2021-08-15T13:00:00Z,90,14,0,0,0,0,1,0,932002,4,2,6.0,1,0,0,0,50,False,0
1,0,28,0,18.4,418,20,1,0,5.0,32.0,2021-08-23T19:00:00Z,90,9,0,0,0,0,2,0,920647,1,4,0.0,5,-46368,26007,72375,50,True,0
0,0,11,0,24.7,418,28,2,0,4.6,19.6,2021-08-28T14:00:00Z,90,7,0,0,0,0,3,0,956620,2,2,2.0,1,17636,91910,74274,50,True,0
0,0,21,1,8.2,418,39,0,0,2.2,13.4,2021-09-11T14:00:00Z,90,16,0,0,0,0,4,0,822982,0,0,0.0,6,-138656,66260,204916,50,False,0
0,0,11,0,12.2,418,49,2,0,2.4,9.6,2021-09-19T13:00:00Z,90,13,0,0,0,0,5,0,732168,2,1,2.0,1,-95337,25062,120399,50,True,0
0,0,20,0,32.6,418,56,1,0,6.1,26.0,2021-09-25T14:00:00Z,90,10,0,0,0,0,6,0,712696,2,1,2.0,2,-26484,26324,52808,50,False,0
0,0,11,0,16.1,418,69,2,0,5.9,11.0,2021-10-03T13:00:00Z,90,3,0,0,0,0,7,0,623012,2,1,32.0,1,-88619,13523,102142,50,True,0
0,0,0,0,0.0,418,74,0,0,0.0,0.0,2021-10-17T13:00:00Z,0,8,0,0,0,0,8,0,522850,1,0,0.0,0,-100956,1673,102629,49,False,0
0,0,0,0,0.0,418,90,0,0,0.0,0.0,2021-10-24T13:00:00Z,0,17,0,0,0,0,9,0,458716,0,1,0.0,0,-64494,343,64837,49,True,0
0,0,3,0,0.6,418,91,0,0,0.1,0.0,2021-10-31T16:30:00Z,1,2,0,0,0,0,10,0,414723,4,1,0.0,1,-45713,2128,47841,48,False,0
0,0,3,0,0.0,418,110,0,0,0.0,0.0,2021-11-07T16:30:00Z,6,11,0,0,0,0,11,0,393419,2,3,0.0,1,-23156,1662,24818,48,True,0
0,0,0,0,0.0,418,120,0,0,0.0,0.0,2021-11-20T15:00:00Z,0,20,0,0,0,0,12,0,371780,0,1,0.0,0,-22555,2041,24596,48,False,0
0,0,6,0,11.0,418,129,1,0,1.7,5.8,2021-11-28T14:00:00Z,29,12,0,0,0,0,13,0,344122,1,2,0.0,1,-27859,797,28656,47,False,0
0,0,12,0,34.3,418,136,1,0,8.6,19.0,2021-12-01T19:30:00Z,90,4,0,0,0,0,14,0,333203,1,1,33.0,2,-11710,1297,13007,47,True,0
1,0,14,0,11.8,418,149,2,0,5.7,23.6,2021-12-04T12:30:00Z,90,6,0,0,0,0,15,0,324504,2,3,22.0,3,-8884,2130,11014,47,True,1
0,0,20,1,3.4,418,154,0,0,1.4,10.6,2021-12-12T14:00:00Z,90,5,0,0,0,0,16,0,349888,0,0,0.0,6,21535,28374,6839,47,False,0
0,0,-7,0,3.0,418,161,2,0,0.0,0.0,2021-12-15T20:00:00Z,66,1,0,0,0,1,17,0,351005,0,2,0.0,-2,4171,9936,5765,47,False,0
0,0,10,0,6.9,418,189,3,0,1.3,6.4,2021-12-26T15:00:00Z,90,16,0,0,0,0,19,0,347266,3,2,0.0,1,5441,16070,10629,47,True,0
