assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,347,4,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,8,0,0,0,0,1,0,880,1,3,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,347,19,0,0,0.0,0.0,2021-08-22T13:00:00Z,0,13,0,0,0,0,2,0,926,1,1,0.0,0,-63,135,198,45,True,0
0,0,0,0,0.0,347,25,0,0,0.0,0.0,2021-08-28T14:00:00Z,0,14,0,0,0,0,3,0,1028,2,2,0.0,0,34,195,161,45,False,0
0,0,0,0,0.0,347,39,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,19,0,0,0,0,4,0,1115,0,0,0.0,0,31,334,303,45,True,0
0,0,0,0,0.0,347,45,0,0,0.0,0.0,2021-09-18T14:00:00Z,0,12,0,0,0,0,5,0,1103,0,0,0.0,0,-19,186,205,45,False,0
0,0,0,0,0.0,347,59,0,0,0.0,0.0,2021-09-26T13:00:00Z,0,20,0,0,0,0,6,0,1112,1,0,0.0,0,-21,120,141,45,True,0
0,0,0,0,0.0,347,63,0,0,0.0,0.0,2021-10-02T14:00:00Z,0,6,0,0,0,0,7,0,1435,1,3,0.0,0,271,389,118,45,False,0
0,0,0,0,0.0,347,79,0,0,0.0,0.0,2021-10-16T14:00:00Z,0,10,0,0,0,0,8,0,1284,0,1,0.0,0,-182,95,277,45,True,0
0,0,0,0,0.0,347,89,0,0,0.0,0.0,2021-10-23T14:00:00Z,0,5,0,0,0,0,9,0,1331,2,2,0.0,0,-13,100,113,45,True,0
0,0,0,0,0.0,347,99,0,0,0.0,0.0,2021-10-30T14:00:00Z,0,18,0,0,0,0,10,0,1400,1,0,0.0,0,13,121,108,45,False,0
