goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,22,Sub,Crystal Palace,Manchester United,1,0,2022-05-22,16751,2021,537810,0,0,0,0,0,0,0
0,0,0,90,DC,Aston Villa,Crystal Palace,1,1,2022-05-15,16745,2021,536125,0,0,0,0,0,0.02123093791306019,0.02123093791306019
0,1,0.009808087721467018,62,DMC,Newcastle United,Crystal Palace,1,0,2022-04-20,16671,2021,527905,0,0,0,0,0.009808087721467018,0.009808087721467018,0
0,0,0,60,DMC,Leicester,Crystal Palace,2,1,2022-04-10,16691,2021,525200,0,0,0,0,0,0,0
0,0,0,81,MC,Crystal Palace,Arsenal,3,0,2022-04-04,16682,2021,523949,0,0,0,0,0,0,0
0,1,0.08900666236877441,90,DMC,Crystal Palace,Manchester City,0,0,2022-03-14,16660,2021,520645,0.1058751791715622,0,1,0,0.08900666236877441,0.14027701318264008,0.03440183028578758
0,0,0,73,MC,Wolverhampton Wanderers,Crystal Palace,0,2,2022-03-05,16655,2021,517624,0,0,0,0,0,0.1768369823694229,0.1768369823694229
0,0,0,5,Sub,Crystal Palace,Burnley,1,1,2022-02-26,16640,2021,516032,0,0,0,0,0,0,0
0,0,0,90,MC,Watford,Crystal Palace,1,4,2022-02-23,16553,2021,515387,0,0,0,0,0,0,0
0,1,0.011870256625115871,90,DMC,Crystal Palace,Chelsea,0,1,2022-02-19,16629,2021,514209,0.055234119296073914,0,1,0,0.011870256625115871,0.10137397050857544,0.089503712952137
0,0,0,90,MC,Crystal Palace,Norwich,3,0,2021-12-28,16570,2021,505263,0,0,0,0,0,0.13906040787696838,0.13906040787696838
0,0,0,90,MC,Tottenham,Crystal Palace,3,0,2021-12-26,16563,2021,505056,0,0,0,0,0,0,0
0,0,0,66,MC,Crystal Palace,Southampton,2,2,2021-12-15,16542,2021,503250,0,0,0,0,0,0.27142441272735596,0.27142441272735596
0,1,0.012271502055227757,90,MC,Crystal Palace,Everton,3,1,2021-12-12,16531,2021,502612,0,0,0,0,0.012271502055227757,0.1674802005290985,0.15520869195461273
0,1,0.017153706401586533,85,MC,Manchester United,Crystal Palace,1,0,2021-12-05,16519,2021,500526,0,0,0,0,0.017153706401586533,0,0
0,0,0,90,MC,Leeds,Crystal Palace,1,0,2021-11-30,16508,2021,498749,0,0,0,0,0,0.10398974269628525,0.10398974269628525
0,0,0,90,DMC,Crystal Palace,Aston Villa,1,2,2021-11-27,16501,2021,497434,0.5237277150154114,1,1,0,0,0.0616697333753109,0.0616697333753109
0,0,0,90,DMC,Burnley,Crystal Palace,3,3,2021-11-20,16487,2021,495721,0.018625976517796516,0,1,0,0,0.40481051802635193,0.3861845135688782
0,1,0.01588895358145237,90,MC,Crystal Palace,Wolverhampton Wanderers,2,0,2021-11-06,16480,2021,494026,0,0,0,0,0.01588895358145237,0.3262465000152588,0.31035754084587097
0,0,0,90,MC,Manchester City,Crystal Palace,0,2,2021-10-30,16470,2021,492257,0,0,0,0,0,0.12027565389871597,0.12027565389871597
0,0,0,20,Sub,Arsenal,Crystal Palace,2,2,2021-10-18,16446,2021,489384,0,0,0,0,0,0,0
0,0,0,16,Sub,Crystal Palace,Brighton,1,1,2021-09-27,16435,2021,485990,0,0,0,0,0,0,0
0,0,0,83,MC,Liverpool,Crystal Palace,3,0,2021-09-18,16420,2021,482105,0,0,0,0,0,0.09923852235078812,0.09923852235078812
0,1,0.06397439539432526,68,MC,Crystal Palace,Tottenham,3,0,2021-09-11,16406,2021,480025,0,0,0,0,0.06397439539432526,0.157596617937088,0.157596617937088
0,0,0,90,MC,West Ham,Crystal Palace,2,2,2021-08-28,16401,2021,478904,0,0,0,0,0,0.548084557056427,0.548084557056427
0,0,0,90,MC,Crystal Palace,Brentford,0,0,2021-08-21,16389,2021,476963,0,0,0,0,0,0,0
0,0,0,90,DC,Chelsea,Crystal Palace,3,0,2021-08-14,16379,2021,475487,0,0,0,0,0,0,0
0,0,0,90,MC,Liverpool,Crystal Palace,2,0,2021-05-23,14810,2020,473385,0,0,0,0,0,0,0
0,0,0,90,MC,Crystal Palace,Arsenal,1,3,2021-05-19,14798,2020,472522,0,0,0,0,0,0.11011092364788055,0.11011092364788055
0,0,0,90,DC,Crystal Palace,Aston Villa,3,2,2021-05-16,14794,2020,471327,0.024219829589128494,0,1,0,0,0.05244183540344238,0.05244183540344238
0,0,0,90,DC,Southampton,Crystal Palace,3,1,2021-05-11,14753,2020,469999,0,0,0,0,0,0,0
0,0,0,90,DC,Sheffield United,Crystal Palace,0,2,2021-05-08,14782,2020,468704,0,0,0,0,0,0.5044920444488525,0.5044920444488525
0,0,0,90,DC,Crystal Palace,Manchester City,0,2,2021-05-01,14768,2020,466827,0.04261377453804016,0,1,0,0,0,0
0,0,0,90,DC,Leicester,Crystal Palace,2,1,2021-04-26,14759,2020,466542,0,0,0,0,0,0,0
0,0,0,90,DC,Crystal Palace,Chelsea,1,4,2021-04-10,14737,2020,461394,0,0,0,0,0,0,0
0,0,0,90,DC,Everton,Crystal Palace,1,1,2021-04-05,14728,2020,460627,0.01993616484105587,0,1,0,0,0.08286434412002563,0.06292817741632462
0,0,0,90,DC,Crystal Palace,West Bromwich Albion,1,0,2021-03-13,14706,2020,456336,0,0,0,0,0,0,0
0,0,0,90,DC,Tottenham,Crystal Palace,4,1,2021-03-07,14702,2020,455411,0,0,0,0,0,0,0
0,0,0,90,DC,Crystal Palace,Manchester United,0,0,2021-03-03,14717,2020,454140,0,0,0,0,0,0,0
0,0,0,90,DC,Crystal Palace,Fulham,0,0,2021-02-28,14687,2020,452671,0,0,0,0,0,0,0
0,0,0,90,DC,Brighton,Crystal Palace,1,2,2021-02-22,14677,2020,451703,0,0,0,0,0,0.11963445693254471,0.11963445693254471
