goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.48475611209869385,16,Sub,Everton,Arsenal,2,1,2021-12-06,16517,2021,501164,0.26693758368492126,0,3,0,0.48475611209869385,0.7516936659812927,0.09415159374475479
0,0,0,7,Sub,Manchester United,Arsenal,3,2,2021-12-02,16512,2021,499490,0,0,0,0,0,0,0
0,2,0.12669233977794647,75,FW,Arsenal,Everton,0,1,2021-04-23,14755,2020,465043,0.12303298711776733,0,2,0,0.12669233977794647,0.2381722331047058,0.033139728009700775
1,3,0.9816384315490723,19,Sub,Arsenal,Fulham,1,1,2021-04-18,14745,2020,463327,0.0815904289484024,0,1,1,0.9816384315490723,0.2445654422044754,0
0,0,0,1,Sub,Sheffield United,Arsenal,0,3,2021-04-11,14741,2020,462230,0,0,0,0,0,0,0
0,0,0,1,Sub,Arsenal,Manchester United,0,0,2021-01-30,14635,2020,445866,0,0,0,0,0,0,0
0,1,0.04436748847365379,8,Sub,Arsenal,Crystal Palace,0,0,2021-01-14,14605,2020,441968,0,0,0,0,0.04436748847365379,0,0
0,2,0.09296191483736038,77,FW,Everton,Arsenal,2,1,2020-12-19,14569,2020,436203,0,0,0,0,0.09296191483736038,0.17625440657138824,0.08329249173402786
0,1,0.03890150785446167,67,FW,Arsenal,Southampton,1,1,2020-12-16,14555,2020,434828,0.3894970417022705,1,2,0,0.03890150785446167,0.4590221345424652,0.030623579397797585
0,0,0,6,Sub,Arsenal,Burnley,0,1,2020-12-13,14554,2020,434067,0,0,0,0,0,0.027046004310250282,0.027046004310250282
0,0,0,14,Sub,Tottenham,Arsenal,2,0,2020-12-06,14542,2020,432199,0.05252788960933685,0,1,0,0,0.05252788960933685,0
0,1,0.10663608461618423,22,Sub,Arsenal,Aston Villa,0,3,2020-11-08,14505,2020,427387,0.0957065299153328,0,2,0,0.10663608461618423,0.20234261453151703,0
0,0,0,14,Sub,Manchester United,Arsenal,0,1,2020-11-01,14500,2020,425386,0,0,0,0,0,0,0
0,0,0,7,Sub,Arsenal,Leicester,0,1,2020-10-25,14485,2020,423820,0,0,0,0,0,0,0
0,0,0,6,Sub,Manchester City,Arsenal,1,0,2020-10-17,14480,2020,421392,0,0,0,0,0,0,0
0,1,0.05548210069537163,59,FW,Arsenal,Sheffield United,2,1,2020-10-04,14465,2020,420293,0,0,0,0,0.05548210069537163,0.05548210069537163,0
0,0,0,15,Sub,Liverpool,Arsenal,3,1,2020-09-28,14115,2020,418718,0,0,0,0,0,0,0
1,1,0.5754188299179077,12,Sub,Arsenal,West Ham,2,1,2020-09-19,14099,2020,416062,0,0,0,1,0.5754188299179077,0.6218675374984741,0.046448688954114914
0,0,0,2,Sub,Fulham,Arsenal,0,3,2020-09-12,14086,2020,414526,0,0,0,0,0,0,0
0,0,0,28,Sub,Arsenal,Watford,3,2,2020-07-26,12014,2019,411215,0.39650723338127136,0,1,0,0,0.7330248355865479,0.3365176022052765
0,2,0.4952239394187927,90,FWR,Aston Villa,Arsenal,1,0,2020-07-21,12003,2019,410530,0,0,0,0,0.4952239394187927,0.142166867852211,0.035457540303468704
0,0,0,4,Sub,Arsenal,Leicester,1,1,2020-07-07,11973,2019,406377,0,0,0,0,0,0,0
0,3,0.18123561143875122,85,FW,Wolverhampton Wanderers,Arsenal,0,2,2020-07-04,11972,2019,405327,0,0,0,0,0.18123561143875122,0.12548083066940308,0
0,0,0,12,Sub,Arsenal,Norwich,4,0,2020-07-01,11953,2019,404419,0.055163104087114334,0,1,0,0,0.055163104087114334,0
1,2,0.9490118026733398,82,FW,Southampton,Arsenal,0,2,2020-06-25,11952,2019,402665,0,0,0,1,0.9490118026733398,0.9490118026733398,0
0,0,0,7,Sub,Brighton,Arsenal,2,1,2020-06-20,11941,2019,401296,0,0,0,0,0,0.02071155235171318,0.02071155235171318
0,1,0.10939304530620575,70,FW,Manchester City,Arsenal,3,0,2020-06-17,11917,2019,400561,0.015001966618001461,0,1,0,0.10939304530620575,0.12439501285552979,0.10939304530620575
0,1,0.35016900300979614,60,FW,Arsenal,West Ham,1,0,2020-03-07,11923,2019,387762,0.09922292828559875,0,1,0,0.35016900300979614,0.4493919312953949,0
1,3,0.6804041862487793,90,FW,Arsenal,Everton,3,2,2020-02-23,11903,2019,387355,0,0,0,1,0.6804041862487793,0.6804041862487793,0
