goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
1,4,2.213651418685913,90,AML,Arsenal,Everton,5,1,2022-05-22,16746,2021,537835,0.6175408363342285,1,3,0,1.4524825811386108,0.7298601865768433,0.1625165492296219
0,0,0,36,Sub,Newcastle United,Arsenal,2,0,2022-05-16,16741,2021,536742,0,0,0,0,0,0.08661673218011856,0.08661673218011856
0,0,0,66,AML,Tottenham,Arsenal,3,0,2022-05-12,16593,2021,535031,0.17185258865356445,0,2,0,0,0.25190284848213196,0.0800502747297287
0,4,0.7649497389793396,82,FWL,Arsenal,Leeds,2,1,2022-05-08,16735,2021,533462,0.5820642709732056,1,2,0,0.7649497389793396,1.4237112998962402,0.5283986330032349
0,1,0.019882408902049065,90,FWL,West Ham,Arsenal,1,2,2022-05-01,16717,2021,531344,0.36267757415771484,1,2,0,0.019882408902049065,0.2034139335155487,0.1835315227508545
0,0,0,21,Sub,Arsenal,Manchester United,3,1,2022-04-23,16715,2021,528380,0,0,0,0,0,0,0
0,0,0,18,Sub,Chelsea,Arsenal,2,4,2022-04-20,16618,2021,527938,0,0,0,0,0,0,0
0,5,0.24035465717315674,90,FWR,Southampton,Arsenal,1,0,2022-04-16,16700,2021,526418,0,0,0,0,0.24035465717315674,0.36169472336769104,0.1213400661945343
0,2,0.34029051661491394,79,FWL,Arsenal,Brighton,1,2,2022-04-09,16695,2021,524586,0,0,0,0,0.34029051661491394,0,0
0,0,0,43,Sub,Crystal Palace,Arsenal,3,0,2022-04-04,16682,2021,523971,0.057832956314086914,0,1,0,0,0.09218725562095642,0.09218725562095642
0,1,0.04090725630521774,90,AML,Arsenal,Liverpool,0,2,2022-03-16,16636,2021,520760,0.015741821378469467,0,1,0,0.04090725630521774,0.07249509543180466,0.015846021473407745
0,2,0.19256919622421265,79,AML,Arsenal,Leicester,2,0,2022-03-13,16656,2021,520340,0.22877095639705658,1,2,0,0.19256919622421265,0.3437099754810333,0
1,3,0.15442264080047607,75,AML,Watford,Arsenal,2,3,2022-03-06,16654,2021,518317,0.045188747346401215,0,1,1,0.15442264080047607,0.19961139559745789,0
0,4,0.5603858232498169,73,AML,Arsenal,Wolverhampton Wanderers,2,1,2022-02-24,16566,2021,515405,0.1335713416337967,0,2,0,0.5603858232498169,0.7700601816177368,0.10654006153345108
0,0,0,72,AML,Wolverhampton Wanderers,Arsenal,0,1,2022-02-10,16611,2021,512275,0,0,0,0,0,0.02841828018426895,0.02841828018426895
0,2,0.0910346731543541,90,ML,Arsenal,Burnley,0,0,2022-01-23,16596,2021,510327,0.08149347454309464,0,2,0,0.0910346731543541,0.24474678933620453,0.10968969017267227
0,5,0.6921780705451965,90,AML,Arsenal,Manchester City,1,2,2022-01-01,16576,2021,505462,0,0,0,0,0.6921780705451965,0.6382720470428467,0
