goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,GK,Wolverhampton Wanderers,Southampton,3,1,2022-01-15,16595,2021,508136,0,0,0,0,0,0.1088135614991188,0.1088135614991188
0,0,0,90,GK,Manchester United,Wolverhampton Wanderers,0,1,2022-01-03,16583,2021,505890,0,0,0,0,0,0.02500894106924534,0.02500894106924534
0,0,0,90,GK,Wolverhampton Wanderers,Chelsea,0,0,2021-12-19,16555,2021,503996,0,0,0,0,0,0,0
0,0,0,90,GK,Brighton,Wolverhampton Wanderers,0,1,2021-12-15,16538,2021,503287,0,0,0,0,0,0,0
0,0,0,90,GK,Manchester City,Wolverhampton Wanderers,1,0,2021-12-11,16534,2021,501383,0,0,0,0,0,0,0
0,0,0,90,GK,Wolverhampton Wanderers,Liverpool,0,1,2021-12-04,16525,2021,499914,0,0,0,0,0,0,0
0,0,0,90,GK,Wolverhampton Wanderers,Burnley,0,0,2021-12-01,16511,2021,498972,0,0,0,0,0,0.015162534080445766,0.015162534080445766
0,0,0,90,GK,Norwich,Wolverhampton Wanderers,0,0,2021-11-27,16505,2021,497387,0,0,0,0,0,0,0
0,0,0,90,GK,Wolverhampton Wanderers,West Ham,1,0,2021-11-20,16495,2021,495757,0,0,0,0,0,0.06116780266165733,0.06116780266165733
0,0,0,90,GK,Crystal Palace,Wolverhampton Wanderers,2,0,2021-11-06,16480,2021,494035,0,0,0,0,0,0,0
0,0,0,90,GK,Wolverhampton Wanderers,Everton,2,1,2021-11-01,16475,2021,493482,0,0,0,0,0,0.04656168818473816,0.04656168818473816
0,0,0,90,GK,Leeds,Wolverhampton Wanderers,1,1,2021-10-23,16462,2021,490006,0.06217397749423981,0,1,0,0,0.06217397749423981,0
0,0,0,90,GK,Aston Villa,Wolverhampton Wanderers,2,3,2021-10-16,16447,2021,488085,0,0,0,0,0,0,0
0,0,0,90,GK,Wolverhampton Wanderers,Newcastle United,2,1,2021-10-02,16445,2021,486518,0,0,0,0,0,0,0
0,0,0,90,GK,Southampton,Wolverhampton Wanderers,0,1,2021-09-26,16433,2021,485473,0.3328450620174408,1,1,0,0,0.3328450620174408,0
0,0,0,90,GK,Wolverhampton Wanderers,Brentford,0,2,2021-09-18,16417,2021,481814,0,0,0,0,0,0.05526266619563103,0.05526266619563103
0,0,0,90,GK,Watford,Wolverhampton Wanderers,0,2,2021-09-11,16412,2021,480306,0,0,0,0,0,0.040430329740047455,0.040430329740047455
0,0,0,90,GK,Wolverhampton Wanderers,Manchester United,0,1,2021-08-29,16405,2021,479682,0,0,0,0,0,0.11454975605010986,0.11454975605010986
0,0,0,90,GK,Wolverhampton Wanderers,Tottenham,0,1,2021-08-22,16393,2021,477558,0,0,0,0,0,0.045623503625392914,0.045623503625392914
0,0,0,90,GK,Leicester,Wolverhampton Wanderers,1,0,2021-08-14,16381,2021,475541,0,0,0,0,0,0.33841264247894287,0.33841264247894287
