goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,GK,Getafe,Elche,0,1,2021-09-13,17167,2021,481526,0,0,0,0,0,0.3702174723148346,0.3702174723148346
0,0,0,90,GK,Elche,Sevilla,1,1,2021-08-28,17160,2021,479207,0,0,0,0,0,0,0
0,0,0,90,GK,Atletico Madrid,Elche,1,0,2021-08-22,17152,2021,477993,0,0,0,0,0,0,0
0,0,0,90,GK,Elche,Athletic Club,0,0,2021-08-16,17145,2021,476540,0,0,0,0,0,0,0
0,0,0,90,GK,Leeds,West Bromwich Albion,3,1,2021-05-23,14808,2020,473308,0,0,0,0,0,0.08454515784978867,0.08454515784978867
0,0,0,90,GK,Southampton,Leeds,0,2,2021-05-18,14802,2020,472333,0,0,0,0,0,0.18502359092235565,0.18502359092235565
0,0,0,90,GK,Leeds,Brighton,0,1,2021-01-16,14618,2020,442299,0,0,0,0,0,0,0
0,0,0,90,GK,Sevilla,Real Madrid,3,2,2018-05-09,8215,2017,238800,0,0,0,0,0,0.394141286611557,0.394141286611557
0,0,0,90,GK,Real Madrid,Leganes,2,1,2018-04-28,8228,2017,235934,0,0,0,0,0,0,0
0,0,0,90,GK,Leganes,Real Madrid,1,3,2018-02-21,8037,2017,218834,0,0,0,0,0,0,0
0,0,0,90,GK,Real Madrid,Malaga,3,2,2017-11-25,8004,2017,190478,0,0,0,0,0,0,0
0,0,0,90,GK,Atletico Madrid,Real Madrid,0,0,2017-11-18,7994,2017,191565,0,0,0,0,0,0.017116917297244072,0.017116917297244072
0,0,0,90,GK,Real Madrid,Las Palmas,3,0,2017-11-05,7983,2017,191220,0,0,0,0,0,0,0
0,0,0,90,GK,Girona,Real Madrid,2,1,2017-10-29,7973,2017,190686,0,0,0,0,0,0.015533531084656715,0.015533531084656715
0,0,0,90,GK,Real Madrid,Eibar,3,0,2017-10-22,7961,2017,189953,0,0,0,0,0,0.9024256467819214,0.9024256467819214
