goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,ML,Chelsea,Leicester,1,1,2022-05-19,16639,2021,536852,0,0,0,0,0,0,0
0,0,0,90,DML,Tottenham,Leicester,3,1,2022-05-01,16719,2021,531034,0.03225630894303322,0,1,0,0,0.10310883074998856,0.07085251808166504
0,0,0,90,DL,Newcastle United,Leicester,2,1,2022-04-17,16701,2021,527017,0.017728591337800026,0,1,0,0,0.31726890802383423,0.29954031109809875
0,0,0,90,DL,Leicester,Crystal Palace,2,1,2022-04-10,16691,2021,525184,0.054013583809137344,0,1,0,0,0.19586864113807678,0.14185506105422974
0,0,0,90,DL,Arsenal,Leicester,2,0,2022-03-13,16656,2021,520349,0,0,0,0,0,0,0
0,0,0,90,DL,Leicester,Leeds,1,0,2022-03-05,16648,2021,517255,0.03548140823841095,0,1,0,0,0.05672862008213997,0.02124721184372902
0,1,0.037595998495817184,90,DL,Burnley,Leicester,0,2,2022-03-01,16588,2021,517084,0,0,0,0,0.037595998495817184,0.1394871026277542,0.10189110785722733
0,0,0,90,DL,Wolverhampton Wanderers,Leicester,2,1,2022-02-20,16635,2021,514973,0,0,0,0,0,0.20819510519504547,0.20819510519504547
0,0,0,60,Sub,Leicester,West Ham,2,2,2022-02-13,16620,2021,513494,0,0,0,0,0,0.16321852803230286,0.16321852803230286
0,0,0,90,DL,Liverpool,Leicester,2,0,2022-02-10,16614,2021,512298,0.019152555614709854,0,1,0,0,0.019152555614709854,0
0,1,0.036522384732961655,90,DL,Leicester,Brighton,1,1,2022-01-23,16602,2021,510206,0,0,0,0,0.036522384732961655,0.03266032040119171,0.03266032040119171
0,0,0,55,DML,Leicester,Tottenham,2,3,2022-01-19,16540,2021,509162,0,0,0,0,0,1.1142921447753906,1.1142921447753906
0,0,0,90,DL,Leicester,Liverpool,1,0,2021-12-28,16573,2021,505317,0.050582822412252426,0,1,0,0,0.2365022897720337,0.18591946363449097
0,0,0,90,DL,Manchester City,Leicester,6,3,2021-12-26,16560,2021,505109,0.3399251103401184,0,1,0,0,0.4090208113193512,0.4090208113193512
0,0,0,90,DL,Leicester,Newcastle United,4,0,2021-12-12,16532,2021,502249,0,0,0,0,0,0.4788660705089569,0.4788660705089569
