goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,1,Sub,Liverpool,Crystal Palace,2,0,2021-05-23,14810,2020,473391,0,0,0,0,0,0,0
0,0,0,65,DR,Crystal Palace,Southampton,0,2,2020-01-21,11882,2019,386308,0,0,0,0,0,0,0
0,0,0,90,DR,Manchester City,Crystal Palace,2,2,2020-01-18,11864,2019,386051,0,0,0,0,0,0,0
0,0,0,90,DR,Crystal Palace,Arsenal,1,1,2020-01-11,11859,2019,385769,0,0,0,0,0,0,0
0,0,0,84,DR,Norwich,Crystal Palace,1,1,2020-01-01,11850,2019,385645,0.06369267404079437,0,1,0,0,0.016875026747584343,0.016875026747584343
0,1,0.024735169485211372,90,DR,Southampton,Crystal Palace,1,1,2019-12-28,11840,2019,372741,0,0,0,0,0.024735169485211372,0.024735169485211372,0
0,0,0,90,DR,Crystal Palace,West Ham,2,1,2019-12-26,11826,2019,372478,0,0,0,0,0,1.0341572761535645,1.0341572761535645
0,0,0,90,DR,Newcastle United,Crystal Palace,1,0,2019-12-21,11818,2019,371495,0,0,0,0,0,0.23007924854755402,0.23007924854755402
0,1,0.036237236112356186,90,DR,Crystal Palace,Brighton,1,1,2019-12-16,11806,2019,370764,0.09621361643075943,0,3,0,0.036237236112356186,0.20908038318157196,0.1116306483745575
0,0,0,90,DR,Watford,Crystal Palace,0,0,2019-12-07,11801,2019,368397,0,0,0,0,0,0,0
0,0,0,90,DR,Crystal Palace,Bournemouth,1,0,2019-12-03,11791,2019,367416,0,0,0,0,0,0,0
0,0,0,90,DR,Burnley,Crystal Palace,0,2,2019-11-30,11773,2019,366165,0,0,0,0,0,0.6252888441085815,0.6252888441085815
0,0,0,18,Sub,Crystal Palace,Liverpool,1,2,2019-11-23,11767,2019,364777,0.07562479376792908,0,1,0,0,0.07562479376792908,0
0,0,0,47,Sub,Chelsea,Crystal Palace,2,0,2019-11-09,11754,2019,362913,0,0,0,0,0,0.0599130317568779,0.0599130317568779
0,0,0,90,DC,West Ham,Crystal Palace,1,2,2019-10-05,11720,2019,356403,0.5984230041503906,1,1,0,0,0,0
0,0,0,90,DC,Crystal Palace,Norwich,2,0,2019-09-28,11709,2019,354722,0,0,0,0,0,0.08644117414951324,0.08644117414951324
0,0,0,80,DC,Crystal Palace,Aston Villa,1,0,2019-08-31,11676,2019,347456,0,0,0,0,0,0,0
0,0,0,90,DC,Manchester United,Crystal Palace,1,2,2019-08-24,11669,2019,344109,0,0,0,0,0,0,0
