goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,61,MC,Sheffield United,Crystal Palace,0,2,2021-05-08,14782,2020,468694,0,0,0,0,0,0.05423903837800026,0.05423903837800026
0,0,0,41,Sub,Tottenham,Sheffield United,4,0,2021-05-02,14773,2020,467843,0.037914667278528214,0,1,0,0,0.19570676982402802,0.1577921062707901
0,0,0,11,MC,Sheffield United,Manchester United,2,3,2020-12-17,14560,2020,435625,0,0,0,0,0,0,0
0,2,0.14067977666854858,90,MC,Southampton,Sheffield United,3,0,2020-12-13,14551,2020,433451,0,0,0,0,0.14067977666854858,0.14067977666854858,0
0,0,0,90,MC,Sheffield United,Leicester,1,2,2020-12-06,14541,2020,432030,0.010452328249812126,0,1,0,0,0.09647392481565475,0.08602159470319748
0,1,0.035901233553886414,90,MC,West Bromwich Albion,Sheffield United,1,0,2020-11-28,14527,2020,429957,0.6590346097946167,0,2,0,0.035901233553886414,1.4776103496551514,1.441709041595459
0,0,0,90,MC,Sheffield United,West Ham,0,1,2020-11-22,14522,2020,428528,0.020536093041300774,0,1,0,0,0.19843317568302155,0.19843317568302155
0,1,0.05147629603743553,90,MC,Chelsea,Sheffield United,4,1,2020-11-07,14507,2020,426505,0.5657672882080078,1,1,0,0.05147629603743553,0.07809585332870483,0.07809585332870483
0,1,0.04887041449546814,90,MC,Sheffield United,Manchester City,0,1,2020-10-31,14502,2020,424227,0.24166730046272278,0,2,0,0.04887041449546814,0.2905377149581909,0
1,2,0.8443896770477295,90,MC,Liverpool,Sheffield United,2,1,2020-10-24,14490,2020,423230,0.06326749175786972,0,2,0,0.08322085440158844,0.2538358271121979,0.1284535825252533
0,1,0.020562997087836266,90,MC,Sheffield United,Fulham,1,1,2020-10-18,14482,2020,421667,0.026348892599344254,0,1,0,0.020562997087836266,0.7882151007652283,0.7413032054901123
0,0,0,90,MC,Arsenal,Sheffield United,2,1,2020-10-04,14465,2020,420304,0,0,0,0,0,0.009414717555046082,0.009414717555046082
0,0,0,90,MC,Sheffield United,Leeds,0,1,2020-09-27,14110,2020,417857,0.1047111377120018,0,2,0,0,0.22804619371891022,0.12333506345748901
0,2,0.07453618943691254,90,MC,Aston Villa,Sheffield United,1,0,2020-09-21,14104,2020,416909,0,0,0,0,0.07453618943691254,0.04783925414085388,0
0,0,0,13,Sub,Sheffield United,Wolverhampton Wanderers,0,2,2020-09-14,14094,2020,415312,0.047630708664655685,0,1,0,0,0.047630708664655685,0.047630708664655685
0,0,0,90,MC,Southampton,Sheffield United,3,1,2020-07-26,12015,2019,411433,0,0,0,0,0,0,0
0,0,0,90,MC,Sheffield United,Everton,0,1,2020-07-20,12009,2019,410369,0.09634491056203842,0,1,0,0,0.22941462695598602,0.22941462695598602
0,0,0,47,MC,Leicester,Sheffield United,2,0,2020-07-16,11998,2019,409132,0,0,0,0,0,0,0
0,0,0,65,MC,Sheffield United,Chelsea,3,0,2020-07-11,11989,2019,407509,0,0,0,0,0,0.057496920228004456,0.057496920228004456
0,0,0,90,MC,Sheffield United,Wolverhampton Wanderers,1,0,2020-07-08,11980,2019,406546,0,0,0,0,0,0,0
0,3,0.4548318684101105,90,MC,Burnley,Sheffield United,1,1,2020-07-05,11963,2019,405563,0,0,0,0,0.4548318684101105,0.5400625467300415,0.10129658877849579
1,1,0.09194900840520859,90,MC,Sheffield United,Tottenham,3,1,2020-07-02,11960,2019,404816,0.6180425882339478,1,1,1,0.09194900840520859,1.442540168762207,0.7325485944747925
0,0,0,41,Sub,Manchester United,Sheffield United,3,0,2020-06-24,11950,2019,402331,0,0,0,0,0,0,0
0,0,0,67,MC,Newcastle United,Sheffield United,3,0,2020-06-21,11938,2019,401623,0,0,0,0,0,0.07149442285299301,0.07149442285299301
0,0,0,70,MC,Aston Villa,Sheffield United,0,0,2020-06-17,11913,2019,400343,0,0,0,0,0,0,0
0,0,0,1,Sub,Sheffield United,Norwich,1,0,2020-03-07,11929,2019,387682,0,0,0,0,0,0,0
0,0,0,83,MC,Sheffield United,Brighton,1,1,2020-02-22,11909,2019,387158,0,0,0,0,0,0,0
0,1,0.0539725199341774,64,MC,Sheffield United,Bournemouth,2,1,2020-02-09,11900,2019,386911,0,0,0,0,0.0539725199341774,0,0
0,0,0,69,MC,Crystal Palace,Sheffield United,0,1,2020-02-01,11885,2019,386708,0,0,0,0,0,0.017906801775097847,0.017906801775097847
