goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,48,DMC,Brighton,Liverpool,0,2,2022-03-12,16658,2021,519090,0,0,0,0,0,0,0
0,0,0,82,MC,Newcastle United,Brighton,2,1,2022-03-05,16651,2021,517567,0,0,0,0,0,0,0
0,0,0,30,Sub,Manchester United,Brighton,2,0,2022-02-15,16549,2021,513781,0,0,0,0,0,0.3693178594112396,0.3693178594112396
0,0,0,64,DMC,Leicester,Brighton,1,1,2022-01-23,16602,2021,510221,0,0,0,0,0,0.1221652552485466,0.1221652552485466
0,0,0,90,DMC,Brighton,Chelsea,1,1,2022-01-18,16607,2021,508918,0,0,0,0,0,0.1996687799692154,0.1996687799692154
0,0,0,1,Sub,Chelsea,Brighton,1,1,2021-12-29,16568,2021,505366,0,0,0,0,0,0,0
0,1,0.0812435895204544,1,Sub,Brighton,Brentford,2,0,2021-12-26,16557,2021,505185,0,0,0,0,0.0812435895204544,0.0812435895204544,0.0812435895204544
0,0,0,19,Sub,Crystal Palace,Brighton,1,1,2021-09-27,16435,2021,486002,0,0,0,0,0,0,0
0,0,0,75,DMC,Burnley,Brighton,1,2,2021-08-14,16378,2021,475462,0.14678990840911865,0,2,0,0,0.14678990840911865,0.14678990840911865
0,0,0,24,Sub,Arsenal,Brighton,2,0,2021-05-23,14805,2020,473528,0,0,0,0,0,0,0
0,0,0,70,MC,Brighton,Manchester City,3,2,2021-05-18,14795,2020,472353,0,0,0,0,0,0.09719464927911758,0.09719464927911758
0,2,0.05936009809374809,68,MC,Brighton,West Ham,1,1,2021-05-15,14785,2020,471067,0.026703571900725365,0,1,0,0.05936009809374809,0.1825193613767624,0.123159259557724
0,0,0,22,Sub,Brighton,Leicester,1,2,2021-03-06,14696,2020,454911,0,0,0,0,0,0,0
0,1,0.05615488067269325,47,DML,Brighton,Crystal Palace,1,2,2021-02-22,14677,2020,451692,0,0,0,0,0.05615488067269325,0.14704260230064392,0.09088771790266037
0,0,0,63,ML,Brighton,Aston Villa,0,0,2021-02-13,14666,2020,449286,0.057390447705984116,0,1,0,0,0.25540289282798767,0.19801244139671326
1,1,0.5558169484138489,90,MC,Liverpool,Brighton,0,1,2021-02-03,14654,2020,447205,0.03179503604769707,0,1,1,0.5558169484138489,0.6190311908721924,0.0632142648100853
0,0,0,43,Sub,West Ham,Brighton,2,2,2020-12-27,14583,2020,438263,0,0,0,0,0,0.05137993022799492,0.05137993022799492
0,0,0,90,MC,Fulham,Brighton,0,0,2020-12-16,14557,2020,435412,0,0,0,0,0,0,0
0,0,0,31,Sub,Leicester,Brighton,3,0,2020-12-13,14553,2020,434107,0.010036604478955269,0,1,0,0,0.010036604478955269,0
0,0,0,10,Sub,Brighton,West Bromwich Albion,1,1,2020-10-26,14487,2020,423970,0,0,0,0,0,0,0
0,0,0,84,MC,Everton,Brighton,4,2,2020-10-03,14468,2020,419536,0.011203140020370483,0,1,0,0,0.08659472316503525,0.08659472316503525
0,1,0.08334333449602127,90,MC,Brighton,Manchester United,2,3,2020-09-26,14106,2020,417134,0.6207606792449951,0,3,0,0.08334333449602127,1.0546040534973145,0.8902791738510132
0,0,0,90,MC,Newcastle United,Brighton,0,3,2020-09-20,14101,2020,416339,0.07610355317592621,0,1,0,0,0.19972175359725952,0.12361820042133331
0,2,0.0793599784374237,83,MC,Brighton,Chelsea,1,3,2020-09-14,14095,2020,415363,0.08880852162837982,0,2,0,0.0793599784374237,0.8160308003425598,0.6623514890670776
0,0,0,6,Sub,Brighton,Crystal Palace,0,1,2020-02-29,11915,2019,387439,0,0,0,0,0,0,0
0,0,0,28,Sub,Brighton,Watford,1,1,2020-02-08,11895,2019,386889,0,0,0,0,0,0.39073657989501953,0.39073657989501953
0,0,0,90,DR,Bournemouth,Brighton,3,1,2020-01-21,11878,2019,386349,0.08475351333618164,0,2,0,0,0.1599394679069519,0.10925493389368057
0,0,0,90,DR,Brighton,Aston Villa,1,1,2020-01-18,11867,2019,386171,0,0,0,0,0,0.3298763036727905,0.3298763036727905
0,0,0,26,Sub,Everton,Brighton,1,0,2020-01-11,11860,2019,385901,0,0,0,0,0,0.07893558591604233,0.07893558591604233
0,3,0.16242876648902893,90,MC,Brighton,Chelsea,1,1,2020-01-01,11845,2019,385472,0,0,0,0,0.16242876648902893,0.13962464034557343,0
0,0,0,5,Sub,Brighton,Bournemouth,2,0,2019-12-28,11834,2019,372682,0.17732059955596924,0,2,0,0,0.13587164878845215,0
0,2,0.10087470710277557,90,MC,Tottenham,Brighton,2,1,2019-12-26,11831,2019,372414,0,0,0,0,0.10087470710277557,0.12916503846645355,0.028290335088968277
0,0,0,5,Sub,Crystal Palace,Brighton,1,1,2019-12-16,11806,2019,370789,0,0,0,0,0,0,0
0,1,0.10861138999462128,90,DR,Brighton,Wolverhampton Wanderers,2,2,2019-12-08,11795,2019,369215,0.10882987827062607,0,2,0,0.10861138999462128,0.21744126081466675,0.10882987827062607
0,0,0,89,DR,Arsenal,Brighton,1,2,2019-12-05,11783,2019,367845,0.14413394033908844,0,1,0,0,0.22718170285224915,0.0830477625131607
0,0,0,20,Sub,Liverpool,Brighton,2,1,2019-11-30,11776,2019,366232,0.042997248470783234,0,1,0,0,0.2992441952228546,0.256246954202652
0,0,0,90,MR,Manchester United,Brighton,3,1,2019-11-10,11761,2019,363812,0.08993158489465714,0,2,0,0,0.08993158489465714,0
0,3,0.44615456461906433,90,ML,Brighton,Norwich,2,0,2019-11-02,11746,2019,361504,0.08255663514137268,0,2,0,0.44615456461906433,0.5312374830245972,0.031176716089248657
0,3,0.18687541782855988,90,MC,Brighton,Everton,3,2,2019-10-26,11734,2019,359453,0,0,0,0,0.18687541782855988,0.20669113099575043,0.0198157150298357
0,0,0,6,Sub,Aston Villa,Brighton,2,1,2019-10-19,11723,2019,357778,0,0,0,0,0,0,0
0,0,0,90,MC,Brighton,Tottenham,3,0,2019-10-05,11713,2019,355975,0,0,0,0,0,0.29304519295692444,0.29304519295692444
0,1,0.05273857340216637,90,DML,Chelsea,Brighton,2,0,2019-09-28,11708,2019,354628,0,0,0,0,0.05273857340216637,0.11898884922266006,0.0662502720952034
0,0,0,90,DML,Newcastle United,Brighton,0,0,2019-09-21,11699,2019,352455,0.08473721146583557,0,2,0,0,0.14180569350719452,0.0725126564502716
