goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.49965333938598633,90,DC,Leicester,Southampton,4,1,2022-05-22,16752,2021,537856,0,0,0,0,0.49965333938598633,1.358895182609558,1.358895182609558
0,0,0,90,DC,Chelsea,Leicester,1,1,2022-05-19,16639,2021,536845,0,0,0,0,0,0.01338622160255909,0.01338622160255909
0,0,0,90,DC,Watford,Leicester,1,5,2022-05-15,16738,2021,536068,0,0,0,0,0,1.1569297313690186,1.1569297313690186
0,0,0,90,DC,Leicester,Everton,1,2,2022-05-08,16729,2021,533425,0.036049164831638336,0,2,0,0,0.2068844586610794,0.1876267045736313
0,0,0,90,DC,Leicester,Aston Villa,0,0,2022-04-23,16709,2021,528670,0,0,0,0,0,0,0
0,1,0.035901617258787155,90,DC,Everton,Leicester,1,1,2022-04-20,16547,2021,527873,0,0,0,0,0.035901617258787155,0.044134192168712616,0.044134192168712616
0,1,0.032455332577228546,90,DC,Manchester United,Leicester,1,1,2022-04-02,16679,2021,523028,0,0,0,0,0.032455332577228546,0.21952062845230103,0.21952062845230103
0,0,0,20,DC,Leicester,Tottenham,2,4,2021-05-23,14809,2020,473338,0,0,0,0,0,0.018925316631793976,0.018925316631793976
0,0,0,90,DC,Chelsea,Leicester,2,1,2021-05-18,14797,2020,472421,0,0,0,0,0,0.36169883608818054,0.36169883608818054
0,0,0,90,DC,Manchester United,Leicester,1,2,2021-05-11,14788,2020,469911,0,0,0,0,0,0.018384942784905434,0.018384942784905434
0,2,0.31892943382263184,90,DC,Leicester,Newcastle United,2,4,2021-05-07,14779,2020,468267,0.05186695232987404,0,1,0,0.31892943382263184,0.3323576748371124,0.2804907262325287
0,0,0,49,DC,Southampton,Leicester,1,1,2021-04-30,14772,2020,466693,0,0,0,0,0,0.08635792136192322,0.08635792136192322
0,0,0,90,DC,Leicester,Crystal Palace,2,1,2021-04-26,14759,2020,466528,0,0,0,0,0,0.5848240852355957,0.5848240852355957
0,0,0,64,DC,Leicester,West Bromwich Albion,3,0,2021-04-22,14750,2020,464854,0,0,0,0,0,0.9073562622070312,0.9073562622070312
0,2,0.10991986840963364,90,DC,West Ham,Leicester,3,2,2021-04-11,14744,2020,461886,0,0,0,0,0.10991986840963364,0.09692841023206711,0.09692841023206711
0,0,0,90,DC,Leicester,Manchester City,0,2,2021-04-03,14730,2020,459855,0,0,0,0,0,0,0
0,0,0,90,DC,Leicester,Sheffield United,5,0,2021-03-14,14710,2020,456862,0.01675090752542019,0,1,0,0,2.067344903945923,2.0505940914154053
0,0,0,90,DC,Brighton,Leicester,1,2,2021-03-06,14696,2020,454915,0.05108366534113884,0,1,0,0,0.07188212126493454,0.07188212126493454
0,0,0,23,Sub,Burnley,Leicester,1,1,2021-03-03,14716,2020,453779,0,0,0,0,0,0.059578292071819305,0.059578292071819305
0,1,0.13055987656116486,83,DC,Leicester,Leeds,1,3,2021-01-31,14643,2020,446113,0,0,0,0,0.13055987656116486,0.4397597312927246,0.4397597312927246
0,0,0,90,DC,Everton,Leicester,1,1,2021-01-27,14627,2020,445189,0.05579054728150368,0,1,0,0,0.13205289840698242,0.13205289840698242
0,0,0,90,DC,Leicester,Chelsea,2,0,2021-01-19,14609,2020,443273,0,0,0,0,0,0.022552398964762688,0.022552398964762688
0,0,0,55,DC,Leicester,Southampton,2,0,2021-01-16,14619,2020,442478,0,0,0,0,0,0.0342046394944191,0.0342046394944191
