h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.32714,0.668082,1.32714,0.668082,"{'att': 385, 'def': 19}","{'att': 253, 'def': 22}",7,6,0,1,1.9451,l,2021-08-14 14:00:00,0,0,1,0,0.659058
h,1.51127,1.72636,1.51127,0.965189,"{'att': 199, 'def': 27}","{'att': 234, 'def': 17}",9,6,0,1,1.1373000000000002,l,2021-08-22 13:00:00,0,0,1,0,0.5460809999999999
h,1.79575,0.944083,1.79575,0.944083,"{'att': 345, 'def': 14}","{'att': 238, 'def': 26}",6,8,0,1,2.0745,l,2021-08-29 15:30:00,0,0,1,0,0.851667
a,2.55922,0.185407,2.55922,0.185407,"{'att': 224, 'def': 31}","{'att': 295, 'def': 21}",7,3,2,0,2.9238,w,2021-09-11 14:00:00,1,0,0,3,2.3738129999999997
h,1.02316,2.32741,1.02316,1.56627,"{'att': 176, 'def': 14}","{'att': 248, 'def': 23}",4,3,0,2,0.40850000000000003,l,2021-09-18 11:30:00,0,0,1,0,-0.54311
a,0.909833,0.909342,0.909833,0.909342,"{'att': 259, 'def': 8}","{'att': 184, 'def': 22}",3,7,1,0,1.3647999999999998,w,2021-09-26 13:00:00,1,0,0,3,0.0004910000000000192
h,1.15849,0.865217,1.15849,0.865217,"{'att': 224, 'def': 21}","{'att': 276, 'def': 21}",3,1,2,1,1.6300000000000001,w,2021-10-02 14:00:00,1,0,0,3,0.293273
a,2.19633,1.21276,2.19633,1.21276,"{'att': 237, 'def': 26}","{'att': 203, 'def': 16}",10,7,3,2,2.1291,w,2021-10-16 14:00:00,1,0,0,3,0.98357
a,0.858644,1.71313,0.858644,0.951964,"{'att': 280, 'def': 18}","{'att': 144, 'def': 40}",2,4,1,1,0.6571,d,2021-10-23 14:00:00,0,1,0,1,-0.09332000000000007
h,1.69344,1.69767,1.69344,1.69767,"{'att': 187, 'def': 22}","{'att': 377, 'def': 28}",6,7,2,1,1.3435,w,2021-11-01 20:00:00,1,0,0,3,-0.004229999999999956
a,0.25416,2.65161,0.25416,2.65161,"{'att': 337, 'def': 21}","{'att': 199, 'def': 31}",2,10,0,2,0.07980000000000001,l,2021-11-06 15:00:00,0,0,1,0,-2.3974499999999996
h,1.31903,0.436331,1.31903,0.436331,"{'att': 282, 'def': 13}","{'att': 328, 'def': 28}",5,7,1,0,2.1129,w,2021-11-20 15:00:00,1,0,0,3,0.8826989999999999
a,0.297157,1.4047,0.297157,1.4047,"{'att': 240, 'def': 15}","{'att': 360, 'def': 27}",5,9,0,0,0.4192,d,2021-11-27 15:00:00,0,1,0,1,-1.1075430000000002
h,0.711691,0.195537,0.711691,0.195537,"{'att': 119, 'def': 17}","{'att': 280, 'def': 20}",5,6,0,0,1.8234,d,2021-12-01 19:30:00,0,1,0,1,0.516154
h,0.095167,2.42332,0.095167,2.42332,"{'att': 317, 'def': 8}","{'att': 176, 'def': 24}",1,16,0,1,0.0681,l,2021-12-04 15:00:00,0,0,1,0,-2.328153
a,0.0762839,2.99915,0.0762839,2.23799,"{'att': 332, 'def': 7}","{'att': 200, 'def': 32}",1,23,0,1,0.0325,l,2021-12-11 12:30:00,0,0,1,0,-2.1617061
a,1.11736,1.20118,1.11736,1.20118,"{'att': 269, 'def': 15}","{'att': 190, 'def': 30}",3,2,1,0,1.2184,w,2021-12-15 19:30:00,1,0,0,3,-0.08382
h,0.321371,0.793952,0.321371,0.793952,"{'att': 402, 'def': 12}","{'att': 250, 'def': 24}",4,11,0,0,0.7828,d,2021-12-19 14:00:00,0,1,0,1,-0.472581
a,0.840925,0.768752,0.840925,0.768752,"{'att': 254, 'def': 18}","{'att': 239, 'def': 17}",7,3,1,0,1.3995,w,2022-01-03 17:30:00,1,0,0,3,0.07217300000000004
