assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,289,0.00000,0.00000,0.00000,0.00000,4,0,0,0.0,0.0,2022-08-06T11:30:00Z,0,9,0,0,0,0,1,0,20766,0,2,2,0.0,0,0,0,0,40,False,0
0,0,0,0,0.0,289,0.00000,0.00000,0.00000,0.00000,16,0,0,0.0,0.0,2022-08-15T19:00:00Z,0,7,0,0,0,0,2,0,19636,0,1,1,0.0,0,-1858,367,2225,40,True,0
0,0,0,0,0.0,289,0.00000,0.00000,0.00000,0.00000,27,0,0,0.0,0.0,2022-08-22T19:00:00Z,0,14,0,0,0,0,3,0,18836,0,1,2,0.0,0,-1126,384,1510,40,False,0
0,0,0,0,0.0,289,0.00000,0.00000,0.00000,0.00000,36,0,0,0.0,0.0,2022-08-27T14:00:00Z,0,3,0,0,0,0,4,0,18305,0,0,9,0.0,0,-821,230,1051,40,True,0
0,0,0,0,0.0,289,0.00000,0.00000,0.00000,0.00000,48,0,0,0.0,0.0,2022-08-31T19:00:00Z,0,15,0,0,0,0,5,0,17555,0,1,2,0.0,0,-850,140,990,40,True,0
0,0,0,0,0.0,289,0.00000,0.00000,0.00000,0.00000,55,0,0,0.0,0.0,2022-09-03T11:30:00Z,0,8,0,0,0,0,6,0,16870,0,0,0,0.0,0,-783,216,999,40,False,0
0,0,0,0,0.0,289,0.00000,0.00000,0.00000,0.00000,87,0,0,0.0,0.0,2022-10-01T14:00:00Z,0,5,0,0,0,0,9,0,15953,0,3,3,0.0,0,-415,133,548,40,True,0
0,0,0,0,0.0,289,0.00000,0.00000,0.00000,0.00000,91,0,0,0.0,0.0,2022-10-09T15:30:00Z,0,1,0,0,0,0,10,0,16078,0,2,3,0.0,0,-67,365,432,40,False,0
0,0,0,0,0.0,289,0.00000,0.00000,0.00000,0.00000,106,0,0,0.0,0.0,2022-10-16T15:30:00Z,0,13,0,0,0,0,11,0,16510,0,0,1,0.0,0,177,475,298,40,True,0
0,0,0,0,0.0,289,0.00000,0.00000,0.00000,0.00000,118,0,0,0.0,0.0,2022-10-19T18:30:00Z,0,19,0,0,0,0,12,0,16108,0,0,1,0.0,0,-136,268,404,40,True,0
0,0,0,0,0.0,289,0.00000,0.00000,0.00000,0.00000,126,0,0,0.0,0.0,2022-10-22T11:30:00Z,0,16,0,0,0,0,13,0,16572,0,0,1,0.0,0,-5,320,325,40,False,0
0,0,0,0,0.0,289,0.00000,0.00000,0.00000,0.00000,138,0,0,0.0,0.0,2022-10-29T18:45:00Z,0,11,0,0,0,0,14,0,16644,0,2,1,0.0,0,-90,307,397,40,True,0
0,0,0,0,0.0,289,0.00000,0.00000,0.00000,0.00000,148,0,0,0.0,0.0,2022-11-06T16:30:00Z,0,18,0,0,0,0,15,0,16756,0,2,1,0.0,0,-54,301,355,40,False,0
0,0,0,0,0.0,289,0.00000,0.00000,0.00000,0.00000,154,0,0,0.0,0.0,2022-11-12T15:00:00Z,0,17,0,0,0,0,16,0,17234,0,1,3,0.0,0,319,762,443,40,True,0
0,0,0,0,0.0,289,0.00000,0.00000,0.00000,0.00000,162,0,0,0.0,0.0,2022-12-26T17:30:00Z,0,2,0,0,0,0,17,0,19983,0,3,1,0.0,0,2365,5130,2765,40,False,0
0,0,0,0,0.0,289,0.00000,0.00000,0.00000,0.00000,174,0,0,0.0,0.0,2022-12-30T20:00:00Z,0,10,0,0,0,0,18,0,20172,0,1,2,0.0,0,26,485,459,40,True,0
0,0,0,0,0.0,289,0.00000,0.00000,0.00000,0.00000,183,0,0,0.0,0.0,2023-01-02T17:30:00Z,0,4,0,0,0,0,19,0,20016,0,1,3,0.0,0,-228,245,473,40,False,0
0,0,0,0,0.0,289,0.00000,0.00000,0.00000,0.00000,193,0,0,0.0,0.0,2023-01-14T15:00:00Z,0,5,0,0,0,0,20,0,20101,0,0,3,0.0,0,-83,491,574,40,False,0
