assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,48,0.00000,0.00000,0.00000,0.00000,3,0,0,0.0,0.0,2022-08-06T16:30:00Z,0,8,0,0,0,0,1,0,55909,0,1,0,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,48,0.00000,0.00000,0.00000,0.00000,15,0,0,0.0,0.0,2022-08-14T15:30:00Z,0,18,0,0,0,0,2,0,55831,0,2,2,0.0,0,-4444,4000,8444,45,True,0
0,0,0,0,0.0,48,0.00000,0.00000,0.00000,0.00000,25,0,0,0.0,0.0,2022-08-21T13:00:00Z,0,11,0,0,0,0,3,0,50169,0,0,3,0.0,0,-6754,2954,9708,45,False,0
0,0,0,0,0.0,48,0.00000,0.00000,0.00000,0.00000,35,0,0,0.0,0.0,2022-08-27T14:00:00Z,0,10,0,0,0,0,4,0,57609,0,1,2,0.0,0,2927,14267,11340,44,True,0
0,0,0,0,0.0,48,0.00000,0.00000,0.00000,0.00000,50,0,0,0.0,0.0,2022-08-30T18:45:00Z,0,17,0,0,0,0,5,0,52516,0,1,2,0.0,0,-4897,2122,7019,44,False,0
0,0,0,0,0.0,48,0.00000,0.00000,0.00000,0.00000,54,0,0,0.0,0.0,2022-09-03T14:00:00Z,0,19,0,0,0,0,6,0,49489,0,1,2,0.0,0,-3762,2228,5990,44,True,0
0,0,0,0,0.0,48,0.00000,0.00000,0.00000,0.00000,83,0,0,0.0,0.0,2022-10-01T14:00:00Z,0,7,0,0,0,0,9,0,67365,0,2,1,0.0,0,2054,8938,6884,43,False,0
0,0,3,0,0.1,48,0.00106,0.00106,0.00000,0.07190,94,0,0,0.0,0.2,2022-10-08T14:00:00Z,4,20,0,0,0,0,10,0,61729,0,0,3,0.0,1,-5425,2559,7984,43,True,0
0,0,0,0,0.0,48,0.00000,0.00000,0.00000,0.00000,101,0,0,0.0,0.0,2022-10-16T13:00:00Z,0,2,0,0,0,0,11,0,62729,0,2,0,0.0,0,-6,4188,4194,43,False,0
0,0,3,0,11.9,48,0.00881,0.09611,0.08730,0.29270,113,0,0,4.1,5.6,2022-10-19T18:30:00Z,28,4,0,0,0,0,12,0,59213,0,0,0,23.0,1,-2361,1284,3645,43,False,0
0,0,3,0,0.3,48,0.00119,0.00119,0.00000,0.08900,122,1,0,0.2,1.6,2022-10-22T16:30:00Z,11,14,0,0,0,0,13,0,61226,0,1,1,0.0,1,397,2648,2251,43,True,0
0,0,0,0,0.0,48,0.00000,0.00000,0.00000,0.00000,134,0,0,0.0,0.0,2022-10-29T14:00:00Z,0,5,0,0,0,0,14,0,59399,0,1,4,0.0,0,-1924,1907,3831,43,False,0
0,0,0,0,0.0,48,0.00000,0.00000,0.00000,0.00000,142,0,0,0.0,0.0,2022-11-06T12:00:00Z,0,1,0,0,0,0,15,0,54521,0,1,0,0.0,0,-4799,367,5166,43,True,0
0,0,0,0,0.0,48,0.00000,0.00000,0.00000,0.00000,156,0,0,0.0,0.0,2022-11-12T17:30:00Z,0,15,0,0,0,0,16,0,50236,0,0,1,0.0,0,-4359,77,4436,43,False,0
0,0,0,0,0.0,48,0.00000,0.00000,0.00000,0.00000,164,0,0,0.0,0.0,2022-12-27T17:30:00Z,0,3,0,0,0,0,17,0,42550,0,0,2,0.0,0,-7833,429,8262,43,True,0
0,0,3,0,0.0,48,0.00007,0.00007,0.00000,0.00000,177,0,0,0.0,0.2,2023-01-01T16:30:00Z,3,16,0,0,0,0,18,0,41700,0,1,1,0.0,1,-897,168,1065,43,False,0
0,0,6,0,18.2,48,0.06612,0.22192,0.15580,2.08170,184,1,0,6.3,19.2,2023-01-05T20:00:00Z,68,13,0,0,0,0,19,0,41117,0,1,0,26.0,2,-608,125,733,43,True,0
0,0,4,0,11.3,48,0.01099,0.01099,0.00000,0.00000,64,0,0,1.7,3.6,2023-01-12T20:00:00Z,11,9,0,0,0,0,19,0,41117,0,1,2,2.0,1,-608,125,733,43,False,0
0,0,10,1,7.2,48,0.02930,0.05670,0.02740,0.46550,194,0,0,2.1,6.4,2023-01-15T14:00:00Z,62,7,0,0,0,0,20,0,41712,1,0,1,7.0,3,364,1564,1200,43,True,0
