assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,11,0,2.7,443,0.01,0.26,0.25,0.48,8,1,0,2.4,8.0,2022-08-06T14:00:00Z,90,17,0,0,0,0,1,0,200747,1,1,4,13.0,2,0,0,0,50,True,0
0,0,16,0,0.4,443,0.00,0.00,0.00,1.58,15,2,0,3.5,34.8,2022-08-14T15:30:00Z,90,6,0,0,0,0,2,0,227560,1,2,2,0.0,1,-15399,11663,27062,50,False,0
0,0,0,0,0.0,443,0.00,0.00,0.00,0.00,29,0,0,0.0,0.0,2022-08-20T11:30:00Z,0,20,0,0,0,0,3,0,192238,0,0,1,0.0,0,-47988,17726,65714,50,True,0
0,0,0,0,0.0,443,0.00,0.00,0.00,0.00,38,0,0,0.0,0.0,2022-08-28T15:30:00Z,0,16,0,0,0,0,4,0,135434,0,2,0,0.0,0,-59274,1171,60445,49,False,0
0,0,0,0,0.0,443,0.00,0.00,0.00,0.00,47,0,0,0.0,0.0,2022-08-31T18:45:00Z,0,19,0,0,0,0,5,0,118795,0,1,1,0.0,0,-19391,876,20267,49,False,0
0,0,13,0,1.7,443,0.01,0.38,0.37,0.73,59,1,0,6.2,26.2,2022-09-03T14:00:00Z,90,9,0,0,0,0,6,0,116225,1,1,2,34.0,1,-6258,5095,11353,49,True,1
0,0,5,0,0.3,443,0.00,0.00,0.00,0.20,79,0,0,0.6,5.4,2022-09-17T16:30:00Z,31,10,0,0,0,0,8,0,143257,0,2,6,0.0,1,8416,11460,3044,49,True,0
0,0,8,0,0.4,443,0.01,0.01,0.00,2.38,81,3,0,1.7,15.0,2022-10-01T11:30:00Z,90,1,0,0,0,0,9,0,137981,1,1,3,2.0,1,-2272,6042,8314,49,False,0
0,2,28,1,13.1,443,0.02,0.02,0.00,0.72,93,0,0,3.0,17.0,2022-10-08T16:30:00Z,90,5,0,0,0,0,10,0,147420,1,1,0,0.0,8,6222,12922,6700,49,False,0
0,0,22,1,16.3,443,0.33,0.36,0.03,0.43,109,0,0,3.2,12.2,2022-10-15T16:30:00Z,86,8,0,0,0,0,11,0,182492,1,0,2,3.0,6,30068,34435,4367,49,True,0
0,0,17,0,10.8,443,0.02,0.05,0.03,1.61,119,2,0,3.3,22.6,2022-10-19T19:15:00Z,90,14,0,0,0,0,12,0,204810,1,0,2,0.0,1,14988,21256,6268,49,False,0
0,0,0,0,0.0,443,0.00,0.00,0.00,0.00,128,0,0,0.0,0.0,2022-10-23T15:30:00Z,0,15,0,0,0,0,13,0,199442,0,2,1,0.0,0,833,9387,8554,49,True,0
0,0,0,0,0.0,443,0.00,0.00,0.00,0.00,132,0,0,0.0,0.0,2022-10-29T14:00:00Z,0,3,0,0,0,0,14,0,187747,0,3,2,0.0,0,-12775,7545,20320,49,False,0
0,0,0,0,0.0,443,0.00,0.00,0.00,0.00,148,0,0,0.0,0.0,2022-11-06T16:30:00Z,0,12,0,0,0,0,15,0,163482,0,2,1,0.0,0,-24597,2286,26883,49,True,0
0,0,0,0,0.0,443,0.00,0.00,0.00,0.00,158,0,0,0.0,0.0,2022-11-12T15:00:00Z,0,11,0,0,0,0,16,0,143669,0,3,4,0.0,0,-20337,132,20469,49,True,0
0,0,0,0,0.0,443,0.00,0.00,0.00,0.00,163,0,0,0.0,0.0,2022-12-26T12:30:00Z,0,4,0,0,0,0,17,0,135210,0,2,2,0.0,0,-10086,11787,21873,49,False,0
0,0,9,0,4.3,443,0.02,0.02,0.00,1.00,178,2,0,1.2,7.6,2023-01-01T14:00:00Z,90,2,0,0,0,0,18,0,131343,1,2,0,0.0,0,-4133,879,5012,49,True,1
0,0,23,1,1.4,443,0.01,0.01,0.00,0.79,185,0,0,1.8,16.6,2023-01-04T20:00:00Z,90,7,0,0,0,0,19,0,135092,1,4,0,0.0,6,2880,4475,1595,49,False,0
0,0,9,0,2.1,443,0.02,0.02,0.00,1.66,199,2,0,1.7,13.0,2023-01-15T16:30:00Z,90,1,0,0,0,0,20,0,144355,1,2,0,2.0,0,6864,10196,3332,49,True,1
0,0,9,0,1.0,443,0.00,0.04,0.04,2.45,68,4,0,1.7,15.4,2023-01-19T20:00:00Z,90,13,0,0,0,0,20,0,144355,1,2,4,1.0,-1,6864,10196,3332,49,False,1
0,0,17,1,0.7,443,0.01,0.01,0.00,1.18,204,0,0,1.6,14.8,2023-01-23T20:15:00Z,90,9,0,0,0,0,21,0,144958,1,1,0,0.0,5,266,4652,4386,49,False,1
0,0,15,1,0.6,443,0.00,0.00,0.00,0.70,219,0,0,1.8,17.8,2023-02-05T16:30:00Z,86,13,0,0,0,1,22,0,145244,1,0,1,0.0,3,-1381,4113,5494,49,True,0
