assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
1,2,20,0,34.9,103,0.44477,0.80577,0.36100,1.38320,9,1,0,11.2,24.8,2022-08-07T13:00:00Z,90,14,0,0,0,0,1,0,34057,1,2,1,52.0,7,0,0,0,65,False,0
0,0,6,1,12.5,103,0.01752,0.11002,0.09250,0.22180,14,0,0,3.9,2.4,2022-08-13T14:00:00Z,90,15,0,0,0,0,2,0,109278,1,0,0,24.0,2,40595,50818,10223,65,True,0
1,0,15,1,17.7,103,0.02740,0.02740,0.00000,0.88980,30,0,0,2.8,4.6,2022-08-21T13:00:00Z,90,19,0,0,0,0,3,0,132851,1,2,0,6.0,5,13282,44746,31464,65,False,0
0,0,7,1,26.3,103,0.25596,0.25596,0.00000,1.82290,34,0,0,3.5,6.8,2022-08-27T14:00:00Z,87,11,0,0,0,0,4,0,179230,1,0,1,2.0,2,34199,59110,24911,65,True,0
0,0,3,0,10.8,103,0.00375,0.25435,0.25060,0.17420,44,0,0,4.8,1.0,2022-08-30T18:30:00Z,27,9,0,0,0,0,5,0,176365,0,1,2,36.0,1,-7345,27242,34587,65,False,0
1,0,15,0,2.2,103,0.02606,0.40706,0.38100,1.44820,53,2,0,8.3,5.6,2022-09-04T13:00:00Z,90,10,0,0,0,0,6,0,140133,1,2,5,75.0,5,-38794,10066,48860,65,True,0
1,0,15,0,24.4,103,0.05173,0.55493,0.50320,1.47140,87,3,0,9.4,31.6,2022-10-01T14:00:00Z,90,12,0,0,0,0,9,0,108571,1,3,3,38.0,5,-10951,4056,15007,65,False,0
0,0,3,0,18.5,103,0.10399,0.24719,0.14320,0.79090,93,1,0,5.2,2.4,2022-10-08T16:30:00Z,90,18,0,0,0,0,10,0,151847,1,1,0,31.0,2,39183,51718,12535,65,True,0
0,0,0,0,3.4,103,0.02439,0.50889,0.48450,1.46570,102,2,0,5.1,0.6,2022-10-14T19:00:00Z,90,4,0,0,0,0,11,0,168372,1,0,2,47.0,2,15023,29381,14358,65,False,0
0,0,3,1,23.3,103,0.03694,0.58384,0.54690,0.12680,114,0,0,9.2,12.6,2022-10-18T18:30:00Z,90,16,0,0,0,0,12,0,218211,1,0,0,56.0,2,17450,32851,15401,65,True,0
0,0,4,0,1.5,103,0.03682,0.24372,0.20690,1.62690,125,3,0,1.2,2.6,2022-10-22T14:00:00Z,78,13,0,0,0,0,13,0,150076,1,1,3,8.0,2,-36581,2845,39426,65,False,0
0,0,0,0,0.0,103,0.00000,0.00000,0.00000,0.00000,134,0,0,0.0,0.0,2022-10-29T14:00:00Z,0,6,0,0,0,0,14,0,135899,0,1,4,0.0,0,-15799,5343,21142,65,True,0
0,0,0,0,0.5,103,0.11823,0.15123,0.03300,0.20020,150,0,0,1.5,3.0,2022-11-05T15:00:00Z,25,20,0,0,0,0,15,0,146038,0,3,2,11.0,1,7841,25041,17200,65,False,0
0,0,2,0,0.6,103,0.00182,0.00182,0.00000,1.45350,152,2,0,0.7,4.4,2022-11-13T14:00:00Z,58,2,0,0,0,0,16,0,145515,1,2,1,2.0,1,-793,18119,18912,65,True,0
0,0,0,0,0.0,103,0.00000,0.00000,0.00000,0.00000,170,0,0,0.0,0.0,2022-12-26T15:00:00Z,0,17,0,0,0,0,17,0,113008,0,3,1,0.0,0,-33120,5810,38930,65,False,0
0,0,0,0,0.0,103,0.00000,0.00000,0.00000,0.00000,172,0,0,0.0,0.0,2022-12-31T17:30:00Z,0,1,0,0,0,0,18,0,102304,0,4,2,0.0,0,-10940,75,11015,65,True,0
0,0,0,0,0.0,103,0.00000,0.00000,0.00000,0.00000,186,0,0,0.0,0.0,2023-01-03T19:45:00Z,0,8,0,0,0,0,19,0,97822,0,4,1,0.0,0,-4587,90,4677,65,False,0
0,0,29,0,1.8,103,0.01727,0.73287,0.71560,0.13240,193,0,1,7.8,38.6,2023-01-14T15:00:00Z,24,12,0,0,0,0,20,0,95001,0,0,3,38.0,5,-3046,1483,4529,65,True,0
