assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,571,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2022-08-07T15:30:00Z,0,13,0,0,0,0,1,0,0,0,2,0,0.0,0,0,0,0,40,True,0
0,0,0,0,0.0,571,0.00,0.00,0.00,0.00,18,0,0,0.0,0.0,2022-08-14T13:00:00Z,0,16,0,0,0,0,2,0,6235,0,0,1,0.0,0,1599,1792,193,40,False,0
0,0,0,0,0.0,571,0.00,0.00,0.00,0.00,30,0,0,0.0,0.0,2022-08-21T13:00:00Z,0,5,0,0,0,0,3,0,11553,0,2,0,0.0,0,1765,2814,1049,40,True,0
0,0,0,0,0.0,571,0.00,0.00,0.00,0.00,32,0,0,0.0,0.0,2022-08-28T13:00:00Z,0,2,0,0,0,0,4,0,13419,0,1,0,0.0,0,247,1497,1250,40,False,0
0,0,0,0,0.0,571,0.00,0.00,0.00,0.00,47,0,0,0.0,0.0,2022-08-31T18:45:00Z,0,18,0,0,0,0,5,0,13992,0,1,1,0.0,0,-208,746,954,40,True,0
0,0,0,0,0.0,571,0.00,0.00,0.00,0.00,54,0,0,0.0,0.0,2022-09-03T14:00:00Z,0,6,0,0,0,0,6,0,14951,0,1,2,0.0,0,95,1093,998,40,False,0
0,0,0,0,0.0,571,0.00,0.00,0.00,0.00,75,0,0,0.0,0.0,2022-09-18T13:15:00Z,0,8,0,0,0,0,8,0,16256,0,0,1,0.0,0,21,435,414,40,False,0
0,0,0,0,0.0,571,0.00,0.00,0.00,0.00,90,0,0,0.0,0.0,2022-10-01T16:30:00Z,0,20,0,0,0,0,9,0,16194,0,0,2,0.0,0,35,496,461,40,True,0
0,0,0,0,0.0,571,0.00,0.00,0.00,0.00,100,0,0,0.0,0.0,2022-10-09T13:00:00Z,0,9,0,0,0,0,10,0,16174,0,1,3,0.0,0,-188,302,490,40,True,0
0,0,0,0,0.0,571,0.00,0.00,0.00,0.00,108,0,0,0.0,0.0,2022-10-16T13:00:00Z,0,17,0,0,0,0,11,0,16194,0,1,1,0.0,0,-171,244,415,40,False,0
0,0,0,0,0.0,571,0.00,0.00,0.00,0.00,118,0,0,0.0,0.0,2022-10-19T18:30:00Z,0,12,0,0,0,0,12,0,16165,0,0,1,0.0,0,-173,125,298,40,False,0
0,0,0,0,0.0,571,0.00,0.00,0.00,0.00,129,0,0,0.0,0.0,2022-10-24T19:00:00Z,0,3,0,0,0,0,13,0,16066,0,0,2,0.0,0,-146,139,285,40,True,0
0,0,0,0,0.0,571,0.00,0.00,0.00,0.00,139,0,0,0.0,0.0,2022-10-30T16:15:00Z,0,14,0,0,0,0,14,0,16040,0,0,1,0.0,0,-143,155,298,40,False,0
0,0,0,0,0.0,571,0.00,0.00,0.00,0.00,149,0,0,0.0,0.0,2022-11-06T14:00:00Z,0,7,0,0,0,0,15,0,16039,0,2,1,0.0,0,-128,176,304,40,True,0
0,0,0,0,0.0,571,0.00,0.00,0.00,0.00,159,0,0,0.0,0.0,2022-11-12T15:00:00Z,0,10,0,0,0,0,16,0,16035,0,2,0,0.0,0,-99,175,274,40,True,0
0,0,0,0,0.0,571,0.00,0.00,0.00,0.00,161,0,0,0.0,0.0,2022-12-26T20:00:00Z,0,1,0,0,0,0,17,0,15919,0,1,3,0.0,0,-324,746,1070,40,False,0
0,0,0,0,0.0,571,0.00,0.00,0.00,0.00,179,0,0,0.0,0.0,2022-12-30T19:45:00Z,0,4,0,0,0,0,18,0,16072,0,2,0,0.0,0,43,244,201,40,True,0
0,0,0,0,0.0,571,0.00,0.00,0.00,0.00,187,0,0,0.0,0.0,2023-01-04T19:45:00Z,0,11,0,0,0,0,19,0,16024,0,2,2,0.0,0,-91,115,206,40,False,0
0,0,0,0,0.0,571,0.00,0.00,0.00,0.00,200,0,0,0.0,0.0,2023-01-14T15:00:00Z,0,20,0,0,0,0,20,0,16069,0,0,1,0.0,0,-90,169,259,40,False,0
0,0,0,0,0.0,571,0.00,0.00,0.00,0.00,210,0,0,0.0,0.0,2023-01-21T15:00:00Z,0,8,0,0,0,0,21,0,16091,0,0,2,0.0,0,-67,138,205,40,True,0
0,0,0,0,0.0,571,0.00,0.00,0.00,0.00,213,0,0,0.0,0.0,2023-02-04T15:00:00Z,0,5,0,0,0,0,22,0,16161,0,0,1,0.0,0,-75,222,297,40,False,0
0,0,0,0,0.0,571,0.00,0.00,0.00,0.00,222,0,0,0.0,0.0,2023-02-11T17:30:00Z,0,15,0,0,0,0,23,0,16174,0,1,1,0.0,0,-50,136,186,40,True,0
0,0,0,0,0.0,571,0.00,0.00,0.00,0.00,240,0,0,0.0,0.0,2023-02-18T15:00:00Z,0,20,0,0,0,0,24,0,16158,0,1,0,0.0,0,-54,105,159,40,False,0
0,0,0,0,0.0,571,0.00,0.00,0.00,0.00,241,0,0,0.0,0.0,2023-02-25T17:30:00Z,0,13,0,0,0,0,25,0,16270,0,4,1,0.0,0,-59,182,241,40,True,0
0,0,0,0,0.0,571,0.00,0.00,0.00,0.00,251,0,0,0.0,0.0,2023-03-04T15:00:00Z,0,1,0,0,0,0,26,0,16210,0,2,3,0.0,0,8,201,193,40,False,0
0,0,0,0,0.0,571,0.00,0.00,0.00,0.00,261,0,0,0.0,0.0,2023-03-11T12:30:00Z,0,12,0,0,0,0,27,0,16287,0,0,1,0.0,0,-5,181,186,40,True,0
0,0,0,0,0.0,571,0.00,0.00,0.00,0.00,272,0,0,0.0,0.0,2023-03-18T15:00:00Z,0,2,0,0,0,0,28,0,16281,0,0,3,0.0,0,-94,122,216,40,False,0
0,0,0,0,0.0,571,0.00,0.00,0.00,0.00,282,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,9,0,0,0,0,29,0,16187,0,1,2,0.0,0,-112,121,233,40,True,0
0,0,0,0,0.0,571,0.00,0.00,0.00,0.00,62,0,0,0.0,0.0,2023-04-04T18:45:00Z,0,5,0,0,0,0,29,0,16187,0,2,0,0.0,0,-112,121,233,40,True,0
