assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,1,26,1,0.0,307,0.00,0.00,0.00,0.49,10,0,0,1.4,14.4,2022-08-07T15:30:00Z,90,19,0,0,0,0,1,1,1240294,1,2,0,0.0,7,0,0,0,55,False,0
0,0,21,1,0.0,307,0.00,0.00,0.00,0.13,17,0,0,0.6,6.2,2022-08-13T14:00:00Z,90,3,0,0,0,0,2,1,1571574,1,0,4,0.0,6,77593,135102,57509,55,True,0
0,0,15,0,0.0,307,0.00,0.00,0.00,1.81,28,3,0,2.0,19.6,2022-08-21T15:30:00Z,90,15,0,0,0,0,3,2,1753816,1,3,3,0.0,1,71113,179995,108882,55,False,0
0,0,10,0,0.0,307,0.00,0.00,0.00,0.12,37,2,0,0.8,7.8,2022-08-27T14:00:00Z,90,7,0,0,0,0,4,1,1798035,1,2,4,0.0,1,-18322,102056,120378,55,True,0
0,0,26,1,0.0,307,0.00,0.00,0.00,0.66,49,0,0,1.0,9.6,2022-08-31T18:30:00Z,90,16,0,0,0,0,5,1,1751641,1,0,6,0.0,6,-80943,56152,137095,55,True,0
0,0,13,0,0.0,307,0.00,0.00,0.00,0.34,51,1,0,0.8,7.6,2022-09-03T16:30:00Z,90,2,0,0,0,0,6,0,1792932,1,1,1,0.0,2,-8185,99678,107863,55,False,0
0,0,22,1,0.0,307,0.00,0.00,0.00,0.41,80,0,0,1.5,15.4,2022-09-17T11:30:00Z,90,20,0,0,0,0,8,1,1693350,1,3,0,0.0,6,-42328,39788,82116,55,False,0
0,0,23,0,0.0,307,0.01,0.01,0.00,1.67,88,3,0,4.4,43.6,2022-10-02T13:00:00Z,90,14,0,0,0,0,9,5,1687525,1,3,6,0.0,2,-45827,40428,86255,55,True,0
0,0,25,1,0.0,307,0.00,0.00,0.00,0.16,97,0,0,0.5,5.2,2022-10-08T14:00:00Z,90,17,0,0,0,0,10,0,1640262,1,0,4,0.0,6,-64282,57960,122242,55,True,0
0,0,16,0,0.0,307,0.00,0.00,0.00,2.07,106,1,0,1.6,15.8,2022-10-16T15:30:00Z,90,12,0,0,0,0,11,1,1555297,1,0,1,0.0,2,-93535,23983,117518,55,False,0
1,0,23,0,13.0,307,0.21,0.21,0.00,0.48,125,1,0,4.0,26.8,2022-10-22T14:00:00Z,90,5,0,0,0,0,13,1,1475971,1,1,3,0.0,5,-30527,21516,52043,54,True,0
0,2,31,1,0.0,307,0.00,0.00,0.00,0.71,137,0,0,3.9,39.0,2022-10-29T11:30:00Z,90,10,0,0,0,0,14,5,1464104,1,1,0,0.0,9,-18718,28159,46877,54,False,0
0,0,13,0,0.0,307,0.00,0.00,0.00,0.95,145,1,0,1.0,10.2,2022-11-05T15:00:00Z,90,9,0,0,0,0,15,1,1517450,1,1,2,0.0,2,40635,75942,35307,54,True,0
0,0,19,0,0.0,307,0.00,0.00,0.00,1.29,155,2,0,4.1,40.8,2022-11-12T12:30:00Z,90,4,0,0,0,0,16,5,1531055,1,2,1,0.0,2,8889,46440,37551,54,True,0
0,0,12,0,0.0,307,0.00,0.00,0.00,0.59,167,1,0,0.8,8.2,2022-12-28T20:00:00Z,90,11,0,0,0,0,17,0,1491376,1,3,1,0.0,2,-48700,171988,220688,54,False,0
0,0,8,0,0.1,307,0.00,0.00,0.00,0.09,175,1,0,0.2,2.2,2022-12-31T15:00:00Z,90,8,0,0,0,0,18,0,1492039,1,1,1,0.0,2,-3883,17572,21455,54,True,0
0,2,24,1,0.0,307,0.00,0.00,0.00,0.41,184,0,0,1.9,19.0,2023-01-05T20:00:00Z,90,6,0,0,0,0,19,2,1471113,1,1,0,0.0,8,-21526,12873,34399,54,False,0
0,0,16,0,0.0,307,0.00,0.00,0.00,1.75,196,2,0,1.5,15.4,2023-01-14T12:30:00Z,90,14,0,0,0,0,20,1,1548650,1,1,2,0.0,1,61023,101411,40388,54,False,0
0,0,11,0,0.0,307,0.00,0.00,0.00,0.84,68,2,0,1.2,12.2,2023-01-19T20:00:00Z,90,18,0,0,0,0,20,1,1548650,1,2,4,0.0,1,61023,101411,40388,54,True,0
0,0,24,1,0.0,307,0.00,0.00,0.00,0.83,208,0,0,0.8,8.0,2023-01-22T14:00:00Z,90,20,0,0,0,0,21,1,1550202,1,0,3,0.0,6,6474,49422,42948,54,True,0
0,0,9,0,0.0,307,0.00,0.00,0.00,1.48,219,1,0,1.4,14.2,2023-02-05T16:30:00Z,90,18,0,0,0,0,22,2,1523968,1,0,1,0.0,1,-29297,34327,63624,54,False,1
0,0,11,0,0.0,307,0.00,0.00,0.00,0.28,228,1,0,0.9,9.2,2023-02-12T16:30:00Z,90,2,0,0,0,0,23,1,1612719,1,1,3,0.0,2,80793,106162,25369,54,True,0
0,0,1,0,0.0,307,0.00,0.00,0.00,1.62,111,1,0,0.0,0.0,2023-02-15T19:30:00Z,90,1,0,0,0,0,23,0,1612719,1,3,1,0.0,1,80793,106162,25369,54,False,1
0,0,7,0,0.0,307,0.00,0.00,0.00,0.98,238,1,0,0.5,4.6,2023-02-18T15:00:00Z,90,16,0,0,0,0,24,0,1619303,1,1,1,0.0,2,6531,35295,28764,54,False,0
0,0,11,0,0.0,307,0.00,0.00,0.00,1.35,241,1,0,1.0,10.0,2023-02-25T17:30:00Z,90,3,0,0,0,0,25,1,1615686,1,4,1,0.0,2,-2226,54498,56724,54,False,0
0,1,26,1,0.0,307,0.00,0.00,0.00,0.43,257,0,0,1.6,16.4,2023-03-04T12:30:00Z,90,15,0,0,0,0,26,2,1574986,1,0,2,0.0,7,-48047,19612,67659,54,True,0
0,0,19,1,0.0,307,0.00,0.00,0.00,0.17,262,0,0,0.4,4.0,2023-03-11T17:30:00Z,90,7,0,0,0,0,27,0,1541235,1,1,0,0.0,6,-35760,13440,49200,54,False,0
0,0,11,0,0.0,307,0.00,0.00,0.00,0.33,287,1,0,0.5,4.8,2023-04-01T11:30:00Z,90,12,0,0,0,0,29,0,1484628,1,1,4,0.0,2,-15425,26081,41506,54,True,0
