assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,670,0.00,0.00,0.00,0.00,162,0,0,0.0,0.0,2022-12-26T17:30:00Z,0,12,0,0,0,0,17,0,0,0,3,1,0.0,0,0,0,0,40,True,0
0,0,0,0,0.0,670,0.00,0.00,0.00,0.00,178,0,0,0.0,0.0,2023-01-01T14:00:00Z,0,18,0,0,0,0,18,0,305,0,2,0,0.0,0,220,268,48,40,False,0
0,0,0,0,0.0,670,0.00,0.00,0.00,0.00,182,0,0,0.0,0.0,2023-01-04T20:00:00Z,0,20,0,0,0,0,19,0,489,0,1,1,0.0,0,115,193,78,40,True,0
0,0,0,0,0.0,670,0.00,0.00,0.00,0.00,191,0,0,0.0,0.0,2023-01-13T20:00:00Z,0,11,0,0,0,0,20,0,837,0,1,2,0.0,0,209,334,125,40,True,0
0,0,0,0,0.0,670,0.00,0.00,0.00,0.00,209,0,0,0.0,0.0,2023-01-21T15:00:00Z,0,17,0,0,0,0,21,0,987,0,1,0,0.0,0,106,238,132,40,False,0
0,0,0,0,0.0,670,0.00,0.00,0.00,0.00,211,0,0,0.0,0.0,2023-02-04T15:00:00Z,0,10,0,0,0,0,22,0,934,0,4,2,0.0,0,-105,105,210,40,True,0
0,0,0,0,0.0,670,0.00,0.00,0.00,0.00,228,0,0,0.0,0.0,2023-02-12T16:30:00Z,0,13,0,0,0,0,23,0,831,0,1,3,0.0,0,-99,0,99,40,False,0
0,0,0,0,0.0,670,0.00,0.00,0.00,0.00,231,0,0,0.0,0.0,2023-02-18T12:30:00Z,0,1,0,0,0,0,24,0,770,0,4,2,0.0,0,-65,0,65,40,True,0
0,0,0,0,0.0,670,0.00,0.00,0.00,0.00,243,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,8,0,0,0,0,25,0,710,0,2,0,0.0,0,-51,0,51,40,False,0
0,0,0,0,0.0,670,0.00,0.00,0.00,0.00,252,0,0,0.0,0.0,2023-03-04T15:00:00Z,0,7,0,0,0,0,26,0,688,0,0,1,0.0,0,-34,0,34,40,True,0
0,0,0,0,0.0,670,0.00,0.00,0.00,0.00,270,0,0,0.0,0.0,2023-03-12T14:00:00Z,0,19,0,0,0,0,27,0,664,0,1,1,0.0,0,-26,0,26,40,False,0
0,0,0,0,0.0,670,0.00,0.00,0.00,0.00,272,0,0,0.0,0.0,2023-03-18T15:00:00Z,0,3,0,0,0,0,28,0,647,0,0,3,0.0,0,-17,0,17,40,True,0
0,0,0,0,0.0,670,0.00,0.00,0.00,0.00,284,0,0,0.0,0.0,2023-04-01T16:30:00Z,0,6,0,0,0,0,29,0,622,0,2,0,0.0,0,-24,0,24,40,False,0
0,0,0,0,0.0,670,0.00,0.00,0.00,0.00,66,0,0,0.0,0.0,2023-04-04T18:45:00Z,0,10,0,0,0,0,29,0,622,0,2,1,0.0,0,-24,0,24,40,False,0
0,0,0,0,0.0,670,0.00,0.00,0.00,0.00,291,0,0,0.0,0.0,2023-04-08T14:00:00Z,0,16,0,0,0,0,30,0,615,0,0,2,0.0,0,-9,0,9,40,True,0
0,0,0,0,0.0,670,0.00,0.00,0.00,0.00,301,0,0,0.0,0.0,2023-04-15T11:30:00Z,0,15,0,0,0,0,31,0,606,0,0,3,0.0,0,-9,0,9,40,True,0
0,0,0,0,0.0,670,0.00,0.00,0.00,0.00,313,0,0,0.0,0.0,2023-04-22T14:00:00Z,0,4,0,0,0,0,32,0,594,0,1,1,0.0,0,-11,0,11,40,False,0
0,0,0,0,0.0,670,0.00,0.00,0.00,0.00,321,0,0,0.0,0.0,2023-04-25T18:45:00Z,0,9,0,0,0,0,33,0,590,0,0,1,0.0,0,-4,0,4,40,True,0
0,0,0,0,0.0,670,0.00,0.00,0.00,0.00,339,0,0,0.0,0.0,2023-04-30T13:00:00Z,0,14,0,0,0,0,34,0,584,0,0,1,0.0,0,-6,0,6,40,False,0
0,0,0,0,0.0,670,0.00,0.00,0.00,0.00,350,0,0,0.0,0.0,2023-05-06T14:00:00Z,0,20,0,0,0,0,35,0,572,0,0,1,0.0,0,-13,0,13,40,False,0
0,0,0,0,0.0,670,0.00,0.00,0.00,0.00,352,0,0,0.0,0.0,2023-05-13T14:00:00Z,0,18,0,0,0,0,36,0,568,0,1,2,0.0,0,-4,0,4,40,True,0
0,0,0,0,0.0,670,0.00,0.00,0.00,0.00,364,0,0,0.0,0.0,2023-05-20T14:00:00Z,0,12,0,0,0,0,37,0,565,0,1,1,0.0,0,-3,0,3,40,False,0
