assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,1,0,0.3,296,0.00056,0.04836,0.04780,0.00000,4,0,0,0.2,0.0,2022-08-06T11:30:00Z,12,9,0,0,0,0,1,0,21632,0,2,2,4.0,1,0,0,0,55,False,0
0,0,0,0,0.6,296,0.04704,0.10054,0.05350,0.32910,16,0,0,0.4,0.0,2022-08-15T19:00:00Z,11,7,0,0,0,0,2,0,23607,0,1,1,5.0,1,-2293,2215,4508,55,True,0
1,0,12,0,1.2,296,0.00972,0.18832,0.17860,0.07360,27,0,0,4.5,4.8,2022-08-22T19:00:00Z,17,14,0,0,0,0,3,0,23232,0,1,2,39.0,4,-2159,2780,4939,55,False,0
0,0,23,0,2.8,296,0.00998,0.14128,0.13130,0.08570,36,0,1,6.3,37.4,2022-08-27T14:00:00Z,45,3,0,0,0,0,4,0,25414,0,0,9,23.0,6,408,4658,4250,54,True,0
0,0,25,0,4.8,296,0.01062,0.16412,0.15350,0.05640,48,0,1,7.8,33.8,2022-08-31T19:00:00Z,19,15,0,0,0,0,5,0,30663,0,1,2,39.0,6,3097,6715,3618,54,True,0
0,0,4,0,2.8,296,0.00785,0.00785,0.00000,0.85770,55,0,0,0.5,2.2,2022-09-03T11:30:00Z,45,8,0,0,0,0,6,0,78132,1,0,0,0.0,1,39668,47335,7667,54,False,0
0,0,2,0,2.3,296,0.08532,0.08532,0.00000,0.84760,87,2,0,1.6,1.2,2022-10-01T14:00:00Z,45,5,0,0,0,0,9,0,56348,1,3,3,12.0,1,429,6402,5973,54,True,0
0,0,0,0,0.0,296,0.00000,0.00000,0.00000,0.00000,91,0,0,0.0,0.0,2022-10-09T15:30:00Z,0,1,0,0,0,0,10,0,50757,0,2,3,0.0,0,-5874,2579,8453,54,False,0
0,0,2,0,0.0,296,0.00002,0.00002,0.00000,0.17200,106,0,0,0.1,0.6,2022-10-16T15:30:00Z,17,13,0,0,0,0,11,0,46963,0,0,1,0.0,1,-4277,1599,5876,54,True,0
0,0,6,0,17.8,296,0.06894,0.06894,0.00000,1.09470,118,0,0,2.9,7.4,2022-10-19T18:30:00Z,56,19,0,0,0,0,12,0,47592,1,0,1,4.0,1,814,3632,2818,54,True,0
0,0,-2,0,2.1,296,0.00245,0.54885,0.54640,1.36900,126,1,0,4.9,0.0,2022-10-22T11:30:00Z,61,16,0,0,0,0,13,0,52911,1,0,1,47.0,2,4280,7877,3597,54,False,0
0,0,0,0,0.0,296,0.00000,0.00000,0.00000,0.00000,138,0,0,0.0,0.0,2022-10-29T18:45:00Z,0,11,0,0,0,0,14,0,49121,0,2,1,0.0,0,-3963,2483,6446,54,True,0
0,0,0,0,0.0,296,0.00000,0.00000,0.00000,0.00000,148,0,0,0.0,0.0,2022-11-06T16:30:00Z,0,18,0,0,0,0,15,0,42943,0,2,1,0.0,0,-6289,550,6839,54,False,0
0,0,3,0,1.0,296,0.00268,0.00268,0.00000,0.00000,154,0,0,0.3,1.6,2022-11-12T15:00:00Z,3,17,0,0,0,0,16,0,39995,0,1,3,0.0,1,-3248,635,3883,54,True,0
0,0,0,0,0.0,296,0.00000,0.00000,0.00000,0.00000,162,0,0,0.0,0.0,2022-12-26T17:30:00Z,0,2,0,0,0,0,17,0,51486,0,3,1,0.0,0,10852,21985,11133,54,False,0
0,0,0,0,0.0,296,0.00000,0.00000,0.00000,0.00000,174,0,0,0.0,0.0,2022-12-30T20:00:00Z,0,10,0,0,0,0,18,0,47596,0,1,2,0.0,0,-4065,1488,5553,54,True,0
0,0,0,0,0.0,296,0.00000,0.00000,0.00000,0.00000,183,0,0,0.0,0.0,2023-01-02T17:30:00Z,0,4,0,0,0,0,19,0,42248,0,1,3,0.0,0,-5403,597,6000,53,False,0
0,0,0,0,0.0,296,0.00000,0.00000,0.00000,0.00000,193,0,0,0.0,0.0,2023-01-14T15:00:00Z,0,5,0,0,0,0,20,0,38277,0,0,3,0.0,0,-4053,284,4337,53,False,0
