assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,4,0,22.2,427,0.11,0.25,0.14,0.48,8,1,0,7.1,14.6,2022-08-06T14:00:00Z,90,17,0,0,0,0,1,0,2286082,1,1,4,34.0,2,0,0,0,115,True,0
0,2,32,0,33.1,427,0.05,0.55,0.50,1.58,15,2,1,11.7,39.6,2022-08-14T15:30:00Z,90,6,0,0,0,0,2,0,1541147,1,2,2,44.0,8,-847027,26852,873879,114,False,0
0,1,30,1,26.2,427,0.13,1.07,0.94,0.71,29,0,1,14.7,40.6,2022-08-20T11:30:00Z,90,20,0,0,0,0,3,0,1614483,1,0,1,80.0,6,-13241,151387,164628,114,True,1
0,3,45,1,39.8,427,0.10,1.51,1.41,0.95,38,0,2,21.4,90.6,2022-08-28T15:30:00Z,90,16,0,1,0,0,4,0,1710032,1,2,0,84.0,10,33207,145546,112339,114,False,1
1,0,14,0,7.3,427,0.02,0.25,0.23,1.24,47,1,0,7.8,6.0,2022-08-31T18:45:00Z,90,19,0,0,0,0,5,0,1775930,1,1,1,65.0,5,20503,177547,157044,114,False,0
0,3,37,1,32.6,427,0.28,1.32,1.04,0.48,59,0,1,14.3,46.0,2022-09-03T14:00:00Z,77,9,0,0,0,0,6,0,1679744,1,1,2,64.0,9,-127277,123599,250876,114,True,0
1,1,38,0,32.3,427,0.02,0.48,0.46,1.77,79,2,1,14.7,57.8,2022-09-17T16:30:00Z,90,10,0,0,0,0,8,0,2134886,1,2,6,57.0,10,238532,314312,75780,114,True,0
0,0,26,0,1.2,427,0.02,0.93,0.91,2.38,81,3,1,7.9,36.2,2022-10-01T11:30:00Z,90,1,0,0,0,0,9,0,2011573,1,1,3,42.0,6,29341,155072,125731,114,False,0
0,2,28,1,14.3,427,0.02,0.60,0.58,0.72,93,0,1,8.1,32.0,2022-10-08T16:30:00Z,89,5,0,0,0,0,10,0,2133858,1,1,0,35.0,7,102894,217273,114379,114,False,1
0,3,37,1,36.3,427,0.12,1.34,1.22,0.43,109,0,1,21.9,52.2,2022-10-15T16:30:00Z,90,8,0,0,0,0,11,0,2233708,1,0,2,130.0,9,88979,179945,90966,114,True,0
0,0,0,0,12.0,427,0.03,0.41,0.38,1.61,119,2,0,9.1,11.2,2022-10-19T19:15:00Z,90,14,0,0,0,0,12,0,3054404,1,0,2,68.0,2,290882,342176,51294,115,False,0
0,2,33,0,35.1,427,0.29,0.92,0.63,1.21,128,2,1,16.4,45.0,2022-10-23T15:30:00Z,90,15,0,0,0,0,13,0,2348999,1,2,1,84.0,8,-173160,72060,245220,115,True,0
0,0,-4,0,14.3,427,0.06,0.52,0.46,0.54,132,2,0,6.3,3.4,2022-10-29T14:00:00Z,90,3,0,0,0,0,14,0,2708926,1,3,2,45.0,1,331204,382231,51027,115,False,1
0,2,24,0,12.2,427,0.02,0.16,0.14,1.18,148,2,1,8.2,34.6,2022-11-06T16:30:00Z,90,12,0,0,0,0,15,0,2761012,1,2,1,35.0,8,43365,240646,197281,116,True,0
1,2,45,0,23.7,427,0.04,0.47,0.43,1.10,158,3,1,10.7,40.6,2022-11-12T15:00:00Z,90,11,0,0,0,0,16,0,2825707,1,3,4,43.0,11,54563,199648,145085,116,True,0
0,1,25,0,4.3,427,0.02,0.41,0.39,2.15,163,2,1,9.3,36.4,2022-12-26T12:30:00Z,90,4,0,0,0,0,17,0,3106845,1,2,2,52.0,7,260483,788060,527577,116,False,0
0,0,4,0,3.4,427,0.02,0.25,0.23,1.00,178,2,0,2.9,1.2,2023-01-01T14:00:00Z,90,2,0,0,0,0,18,0,3143973,1,2,0,24.0,2,29716,90952,61236,116,True,0
1,3,66,1,44.7,427,0.29,0.70,0.41,0.79,185,0,2,19.3,78.6,2023-01-04T20:00:00Z,90,7,0,0,0,0,19,0,3068339,1,4,0,70.0,16,-77118,74728,151846,116,False,0
0,0,7,0,46.1,427,0.16,0.57,0.41,1.66,199,2,0,12.9,26.8,2023-01-15T16:30:00Z,90,1,0,0,0,0,20,0,3862883,1,2,0,56.0,2,733275,769044,35769,116,True,0
1,0,12,0,2.0,427,0.04,0.17,0.13,2.45,68,4,0,2.3,2.8,2023-01-19T20:00:00Z,90,13,0,0,0,0,20,0,3862883,1,2,4,18.0,5,733275,769044,35769,116,False,0
0,0,24,1,3.0,427,0.02,0.65,0.63,1.18,204,0,1,9.3,36.0,2023-01-23T20:15:00Z,90,9,0,0,0,0,21,0,3972957,1,1,0,54.0,6,134961,197872,62911,117,False,0
0,2,27,1,20.6,427,0.02,1.06,1.04,0.97,219,0,1,11.6,38.6,2023-02-05T16:30:00Z,90,13,0,0,0,0,22,0,4009730,1,0,1,57.0,8,24454,195975,171521,117,True,0
0,0,4,0,22.3,427,0.02,0.09,0.07,1.54,226,4,0,5.0,8.4,2023-02-11T15:00:00Z,90,10,0,0,0,0,23,0,4242381,1,1,4,19.0,2,216295,249849,33554,118,False,0
1,0,15,1,26.4,427,0.09,0.27,0.18,0.48,239,0,0,5.7,18.0,2023-02-19T16:30:00Z,90,19,0,0,0,0,24,0,4266696,1,0,2,13.0,5,18788,100062,81274,118,True,0
0,0,27,1,3.5,427,0.03,0.45,0.42,0.41,249,0,1,8.3,41.0,2023-02-26T13:30:00Z,90,6,0,0,0,0,25,0,3851377,1,0,2,38.0,6,-237419,76597,314016,118,True,0
0,0,5,0,25.8,427,0.08,0.39,0.31,0.44,260,1,0,5.0,6.8,2023-03-04T15:00:00Z,90,20,0,0,0,0,26,0,4316628,1,0,1,17.0,2,267184,317236,50052,117,False,0
0,3,56,0,10.9,427,0.13,1.18,1.05,1.57,269,1,2,14.7,71.8,2023-03-11T15:00:00Z,90,16,0,0,0,0,27,0,4211196,1,1,3,64.0,13,-107021,97685,204706,117,True,0
0,0,27,0,2.8,427,0.07,0.84,0.77,2.40,279,3,1,8.1,32.2,2023-03-18T15:00:00Z,90,17,0,0,0,0,28,0,4868165,1,3,3,46.0,6,485899,507772,21873,118,False,0
0,2,22,0,1.3,427,0.01,1.29,1.28,0.88,286,1,1,6.5,33.6,2023-04-03T19:00:00Z,90,8,0,0,0,0,29,0,4491151,1,1,1,30.0,7,-184537,107205,291742,118,False,1
0,3,36,0,24.9,427,0.18,0.43,0.25,1.43,299,1,1,9.4,42.4,2023-04-08T14:00:00Z,90,5,0,0,0,0,30,0,4519676,1,1,2,27.0,9,-19207,111193,130400,117,True,0
0,0,0,0,23.2,427,0.07,0.68,0.61,0.94,308,3,0,7.0,5.6,2023-04-15T14:15:00Z,90,3,0,0,0,0,31,0,4531383,1,3,2,41.0,2,5465,90494,85029,117,True,0
0,0,29,0,2.5,427,0.01,0.38,0.37,3.64,320,6,1,7.8,37.2,2023-04-23T13:00:00Z,90,15,0,0,0,0,32,0,4186247,1,1,6,38.0,6,-176983,63120,240103,116,False,0
2,3,46,0,64.0,427,0.54,0.81,0.27,2.13,325,2,0,12.8,34.6,2023-04-27T19:15:00Z,90,14,0,0,0,0,33,0,3788882,1,2,2,29.0,11,-573380,8859,582239,115,True,0
0,2,31,0,30.1,427,0.48,0.85,0.37,2.33,338,4,1,8.7,40.2,2023-04-30T15:30:00Z,90,12,0,0,0,0,34,0,3266932,1,3,4,17.0,8,-460257,14071,474328,114,False,0
0,2,33,1,15.1,427,0.23,0.34,0.11,0.37,348,0,1,7.7,42.8,2023-05-06T14:00:00Z,90,7,0,0,0,0,35,0,3370027,1,0,1,19.0,8,26765,97943,71178,114,True,0
0,2,24,0,8.1,427,0.00,1.09,1.09,1.18,352,2,1,8.1,35.2,2023-05-13T14:00:00Z,90,2,0,0,0,0,36,0,3324419,1,1,2,38.0,7,-45684,42300,87984,114,False,1
0,1,34,0,17.2,427,0.17,0.32,0.15,1.29,368,3,1,8.3,36.0,2023-05-20T11:30:00Z,90,4,0,0,0,0,37,0,3274230,1,3,1,30.0,7,-43098,48029,91127,114,True,0
1,3,65,0,0.0,427,0.02,0.96,0.94,1.50,377,1,2,0.0,0.0,2023-05-28T15:30:00Z,90,11,0,0,0,0,38,0,3776952,1,4,1,0.0,16,451112,480820,29708,115,False,0
