assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,24,1,7.7,299,0.04,0.04,0.00,0.49,10,0,0,1.4,6.6,2022-08-07T15:30:00Z,90,19,0,0,0,0,1,0,733920,1,2,0,0.0,6,0,0,0,50,False,0
0,0,25,1,18.2,299,0.05,0.05,0.00,0.13,17,0,0,2.9,11.0,2022-08-13T14:00:00Z,81,3,0,0,0,0,2,0,1010716,1,0,4,0.0,6,136743,189051,52308,50,True,0
0,0,11,0,1.9,299,0.01,0.01,0.00,1.81,28,3,0,1.1,8.6,2022-08-21T15:30:00Z,90,15,0,0,0,0,3,0,1227445,1,3,3,0.0,1,158507,273138,114631,51,False,0
0,0,15,0,20.4,299,0.06,0.06,0.00,0.12,37,2,0,3.3,13.0,2022-08-27T14:00:00Z,90,7,0,0,0,0,4,0,1257914,1,2,4,0.0,1,-6799,125686,132485,51,True,0
0,0,30,1,4.3,299,0.03,0.03,0.00,0.66,49,0,0,2.7,20.4,2022-08-31T18:30:00Z,90,16,0,0,0,0,5,0,1272702,1,0,6,2.0,6,-10765,123092,133857,51,True,0
0,0,9,0,13.3,299,0.02,0.34,0.32,0.34,51,1,0,2.7,9.8,2022-09-03T16:30:00Z,79,2,0,0,0,0,6,0,1304096,1,1,1,4.0,2,6865,121217,114352,51,False,0
0,0,0,0,0.0,299,0.00,0.00,0.00,0.00,80,0,0,0.0,0.0,2022-09-17T11:30:00Z,0,20,0,0,0,0,8,0,816601,0,3,0,0.0,0,-232128,2517,234645,51,False,0
0,0,2,0,1.1,299,0.01,0.01,0.00,0.08,88,0,0,0.1,0.0,2022-10-02T13:00:00Z,40,14,0,0,0,0,9,0,832351,1,3,6,0.0,1,-62593,27827,90420,50,True,0
0,0,0,0,0.0,299,0.00,0.00,0.00,0.00,97,0,0,0.0,0.0,2022-10-08T14:00:00Z,0,17,0,0,0,0,10,0,581409,0,0,4,0.0,0,-249993,10015,260008,50,True,0
0,0,0,0,0.0,299,0.00,0.00,0.00,0.00,106,0,0,0.0,0.0,2022-10-16T15:30:00Z,0,12,0,0,0,0,11,0,458427,0,0,1,0.0,0,-126060,297,126357,49,False,0
0,0,0,0,0.0,299,0.00,0.00,0.00,0.00,125,0,0,0.0,0.0,2022-10-22T14:00:00Z,0,5,0,0,0,0,13,0,391879,0,1,3,0.0,0,-29235,102,29337,49,True,0
0,0,0,0,0.0,299,0.00,0.00,0.00,0.00,137,0,0,0.0,0.0,2022-10-29T11:30:00Z,0,10,0,0,0,0,14,0,367415,0,1,0,0.0,0,-24661,194,24855,49,False,0
0,0,0,0,0.0,299,0.00,0.00,0.00,0.00,145,0,0,0.0,0.0,2022-11-05T15:00:00Z,0,9,0,0,0,0,15,0,349631,0,1,2,0.0,0,-17957,112,18069,49,True,0
0,0,0,0,0.0,299,0.00,0.00,0.00,0.00,155,0,0,0.0,0.0,2022-11-12T12:30:00Z,0,4,0,0,0,0,16,0,339962,0,2,1,0.0,0,-10066,233,10299,48,True,0
