goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.03948987275362015,90,AMC,Everton,Bournemouth,1,0,2023-05-28,18577,2022,600979,0.04942058026790619,0,2,0,0.03948987275362015,0.12328608334064484,0.0343756265938282
0,4,0.07693973928689957,90,AMR,Wolverhampton Wanderers,Everton,1,1,2023-05-20,18571,2022,598194,0.05508579686284065,0,1,0,0.07693973928689957,0.7039470076560974,0.5846310257911682
0,0,0,90,AMR,Everton,Manchester City,0,3,2023-05-14,18557,2022,596930,0,0,0,0,0,0,0
0,0,0,90,AMR,Brighton,Everton,1,5,2023-05-08,18543,2022,595805,0.9798932671546936,1,1,0,0,1.8155711889266968,0.835677981376648
1,5,0.3464373052120209,90,AMR,Leicester,Everton,2,2,2023-05-01,18538,2022,593586,0.29791608452796936,0,3,1,0.3464373052120209,1.1026954650878906,0.5497655272483826
0,1,0.02657158672809601,90,FWR,Everton,Newcastle United,1,4,2023-04-27,18522,2022,591838,0.12533895671367645,0,2,0,0.02657158672809601,0.10429766029119492,0
0,2,0.042217738926410675,90,AMC,Crystal Palace,Everton,0,0,2023-04-22,18516,2022,590103,0.2798701822757721,0,4,0,0.042217738926410675,0.38434240221977234,0.075406014919281
0,1,0.018071599304676056,90,MR,Everton,Fulham,1,3,2023-04-15,18504,2022,588487,0.05462789908051491,0,2,0,0.018071599304676056,0.9606599807739258,0.9253029823303223
0,2,0.039834000170230865,90,MR,Manchester United,Everton,2,0,2023-04-08,18498,2022,586395,0.11011700332164764,0,2,0,0.039834000170230865,0.34064000844955444,0.20672400295734406
0,1,0.040366899222135544,90,MR,Everton,Tottenham,1,1,2023-04-03,18487,2022,585921,0.2767069935798645,0,2,0,0.040366899222135544,0.1725199967622757,0.08570259809494019
0,1,0.0201920997351408,90,MR,Chelsea,Everton,2,2,2023-03-18,18476,2022,583279,0.016518300399184227,0,1,0,0.0201920997351408,0.07011730223894119,0.03340689837932587
0,1,0.5802040100097656,90,MR,Everton,Brentford,1,0,2023-03-11,18464,2022,581202,0.11930099874734879,0,3,0,0.5802040100097656,0.1849920004606247,0.06569129973649979
0,1,0.05481259897351265,90,MR,Nottingham Forest,Everton,2,2,2023-03-05,18459,2022,580113,0.038541700690984726,0,1,0,0.05481259897351265,0.19360800087451935,0.19360800087451935
0,0,0,90,MR,Arsenal,Everton,4,0,2023-03-01,18269,2022,578956,0,0,0,0,0,0.09861019998788834,0.09861019998788834
0,2,0.1613979935646057,73,MR,Everton,Aston Villa,0,2,2023-02-25,18444,2022,577805,0.10317199677228928,0,2,0,0.1613979935646057,0.22788099944591522,0.10552100092172623
0,0,0,90,MR,Everton,Leeds,1,0,2023-02-18,18436,2022,576421,0.1205419972538948,1,3,0,0,0.20792299509048462,0.20792299509048462
0,1,0.02960130013525486,90,ML,Liverpool,Everton,2,0,2023-02-13,18428,2022,575880,0.2626200020313263,0,2,0,0.02960130013525486,0.27586498856544495,0
0,1,0.05401109904050827,90,ML,Everton,Arsenal,1,0,2023-02-04,18416,2022,572973,0.13331399857997894,0,3,0,0.05401109904050827,0.354977011680603,0.257546991109848
0,1,0.0442827008664608,90,AMC,West Ham,Everton,2,0,2023-01-21,18411,2022,570169,0,0,0,0,0.0442827008664608,0.017621999606490135,0.017621999606490135
0,1,0.03523879870772362,90,MC,Everton,Southampton,1,2,2023-01-14,18396,2022,568869,0.03045080043375492,0,1,0,0.03523879870772362,0.3445889949798584,0.27889999747276306
0,1,0.06146819889545441,90,MC,Everton,Brighton,1,4,2023-01-03,18387,2022,567048,0.01911020092666149,0,1,0,0.06146819889545441,0.1304360032081604,0.11132600158452988
0,0,0,90,MR,Manchester City,Everton,1,1,2022-12-31,18376,2022,566462,0,0,0,0,0,0,0
0,2,0.38177400827407837,90,MC,Everton,Wolverhampton Wanderers,1,2,2022-12-26,18367,2022,565540,0.02248240076005459,0,1,0,0.38177400827407837,0.0373321995139122,0
0,1,0.01753080077469349,90,MC,Bournemouth,Everton,3,0,2022-11-12,18352,2022,564585,0.2951529920101166,0,2,0,0.01753080077469349,0.4048219919204712,0.3523760139942169
0,3,0.4428919851779938,90,MC,Everton,Leicester,0,2,2022-11-05,18344,2022,562161,0.5464230179786682,0,3,0,0.4428919851779938,0.9893149733543396,0.4090760052204132
0,0,0,90,AMC,Fulham,Everton,0,0,2022-10-29,18337,2022,560369,0.04345719888806343,0,1,0,0,0.7293270230293274,0.6858699917793274
0,1,0.014412700198590755,90,AMC,Everton,Crystal Palace,3,0,2022-10-22,18324,2022,558270,0.9439089894294739,2,3,0,0.014412700198590755,1.022629976272583,0.07871679961681366
0,0,0,75,MC,Newcastle United,Everton,1,0,2022-10-19,18319,2022,557570,0,0,0,0,0,0,0
