goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
1,3,0.10079282522201538,90,DR,Arsenal,Everton,5,1,2022-05-22,16746,2021,537827,0.42062363028526306,1,1,1,0.10079282522201538,0.5278614163398743,0.5278614163398743
0,1,0.012986820191144943,52,Sub,Newcastle United,Arsenal,2,0,2022-05-16,16741,2021,536744,0,0,0,0,0.012986820191144943,0.07054527848958969,0.05755845457315445
0,0,0,90,DR,Tottenham,Arsenal,3,0,2022-05-12,16593,2021,535023,0.02619372121989727,0,2,0,0,0.14567001163959503,0.11947628855705261
0,1,0.04333367571234703,90,DR,Arsenal,Leeds,2,1,2022-05-08,16735,2021,533453,0.011810872703790665,0,1,0,0.04333367571234703,1.0476418733596802,1.0043081045150757
0,0,0,11,Sub,West Ham,Arsenal,1,2,2022-05-01,16717,2021,531346,0,0,0,0,0,0,0
0,0,0,90,DR,Arsenal,Manchester United,3,1,2022-04-23,16715,2021,528370,0,0,0,0,0,0.11396218836307526,0.11396218836307526
0,0,0,13,Sub,Chelsea,Arsenal,2,4,2022-04-20,16618,2021,527940,0.1508009433746338,0,2,0,0,0.16265489161014557,0.011853937059640884
0,1,0.06689509004354477,62,DR,Southampton,Arsenal,1,0,2022-04-16,16700,2021,526411,0.09041822701692581,0,1,0,0.06689509004354477,0.16381223499774933,0.07339400053024292
0,1,0.08952544629573822,90,DR,Arsenal,Brighton,1,2,2022-04-09,16695,2021,524577,0.3317222595214844,0,4,0,0.08952544629573822,0.12325683236122131,0.029843775555491447
0,0,0,67,DR,Crystal Palace,Arsenal,3,0,2022-04-04,16682,2021,523959,0,0,0,0,0,0.2042069137096405,0.2042069137096405
0,0,0,90,DR,Aston Villa,Arsenal,0,1,2022-03-19,16666,2021,521033,0.1200188472867012,0,2,0,0,0.9245108962059021,0.9245108962059021
0,1,0.015846021473407745,90,DR,Arsenal,Liverpool,0,2,2022-03-16,16636,2021,520752,0,0,0,0,0.015846021473407745,0.03235769271850586,0.016511669382452965
0,1,0.08919373154640198,90,DR,Arsenal,Leicester,2,0,2022-03-13,16656,2021,520332,0,0,0,0,0.08919373154640198,0.4012244641780853,0.31203073263168335
0,1,0.030564023181796074,90,DR,Watford,Arsenal,2,3,2022-03-06,16654,2021,518309,0.04000341519713402,0,1,0,0.030564023181796074,0.20537599921226501,0.20537599921226501
0,0,0,78,DR,Arsenal,Wolverhampton Wanderers,2,1,2022-02-24,16566,2021,515397,0,0,0,0,0,0.3850592374801636,0.3850592374801636
0,1,0.01579783856868744,90,DR,Arsenal,Brentford,2,1,2022-02-19,16626,2021,514150,0.13862735033035278,0,2,0,0.01579783856868744,0.15442520380020142,0.04531966522336006
0,0,0,90,DR,Wolverhampton Wanderers,Arsenal,0,1,2022-02-10,16611,2021,512267,0,0,0,0,0,0.22412212193012238,0.22412212193012238
0,0,0,23,Sub,Leeds,Arsenal,1,4,2021-12-18,16548,2021,503870,0,0,0,0,0,0,0
0,1,0.0247479360550642,7,Sub,Arsenal,Norwich,1,0,2021-09-11,16407,2021,480277,0.09951040148735046,0,1,0,0.0247479360550642,0.22201314568519592,0.12250274419784546
0,0,0,90,DR,Manchester City,Arsenal,5,0,2021-08-28,16396,2021,478695,0,0,0,0,0,0.11680477857589722,0.11680477857589722
0,0,0,90,DR,Arsenal,Chelsea,0,2,2021-08-22,16394,2021,477828,0.08961617946624756,0,1,0,0,0.12459070980548859,0.12459070980548859
0,1,0.026247849687933922,45,Sub,Arsenal,Liverpool,0,3,2021-04-03,14725,2020,459956,0,0,0,0,0.026247849687933922,0.026247849687933922,0
0,1,0.05147986486554146,90,DR,Arsenal,Tottenham,2,1,2021-03-14,14705,2020,457185,0,0,0,0,0.05147986486554146,0.22202782332897186,0.1705479621887207
0,0,0,90,DR,Leicester,Arsenal,1,3,2021-02-28,14690,2020,452710,0,0,0,0,0,0.1652274876832962,0.1652274876832962
0,2,0.03880033642053604,90,DL,Arsenal,Leeds,4,2,2021-02-14,14665,2020,449789,0.09611799567937851,0,1,0,0.03880033642053604,0.13491833209991455,0
0,0,0,68,DL,Aston Villa,Arsenal,1,0,2021-02-06,14655,2020,447377,0.029542386531829834,0,1,0,0,0.05896123871207237,0.05896123871207237
