goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
2,3,0.8718252778053284,90,FW,Leeds,Tottenham,1,4,2023-05-28,18578,2022,601021,0.07396261394023895,0,1,2,0.8718252778053284,1.1925140619277954,0.2467261254787445
1,4,0.14458134770393372,90,FW,Tottenham,Brentford,1,3,2023-05-20,18569,2022,597818,0.3036142885684967,0,1,1,0.14458134770393372,0.7719889283180237,0.34711191058158875
1,2,1.0528756380081177,90,FW,Aston Villa,Tottenham,2,1,2023-05-13,18553,2022,596358,0,0,0,0,0.29170680046081543,0.29170680046081543,0
1,1,0.3393673300743103,90,FW,Tottenham,Crystal Palace,1,0,2023-05-06,18549,2022,594807,0.12081689387559891,0,1,1,0.3393673300743103,0.4601842164993286,0
1,1,0.2949172258377075,90,FW,Liverpool,Tottenham,4,3,2023-04-30,18539,2022,593278,0.36383870244026184,0,2,1,0.2949172258377075,0.6587559580802917,0
0,4,0.19939137995243073,90,FW,Tottenham,Manchester United,2,2,2023-04-27,18525,2022,591901,1.3862489461898804,1,5,0,0.19939137995243073,2.15837025642395,0.8321021795272827
1,3,0.5128812789916992,90,FW,Newcastle United,Tottenham,6,1,2023-04-23,18521,2022,590910,0,0,0,1,0.5128812789916992,0.5929437279701233,0.08006246387958527
0,6,0.5901190042495728,90,FW,Tottenham,Bournemouth,2,3,2023-04-15,18509,2022,588521,0.1264999955892563,0,2,0,0.5901190042495728,0.7166190147399902,0.055247899144887924
1,3,0.2372480034828186,90,FW,Tottenham,Brighton,2,1,2023-04-08,18500,2022,586729,0.1037679985165596,0,2,1,0.2372480034828186,0.5505020022392273,0.2094859927892685
1,3,1.1955100297927856,90,FW,Everton,Tottenham,1,1,2023-04-03,18487,2022,585940,0,0,0,0,0.43433699011802673,0.5653539896011353,0.13101699948310852
1,4,0.783814013004303,90,FW,Southampton,Tottenham,3,3,2023-03-18,18480,2022,583099,0,0,0,1,0.783814013004303,0.892624020576477,0.10881000012159348
2,4,0.9474909901618958,90,FW,Tottenham,Nottingham Forest,3,1,2023-03-11,18470,2022,581237,0,0,0,1,0.18632300198078156,0.14356300234794617,0.036447200924158096
0,4,0.28576600551605225,90,FW,Wolverhampton Wanderers,Tottenham,1,0,2023-03-04,18461,2022,579537,0.12645800411701202,0,2,0,0.28576600551605225,0.2961060106754303,0.014317699708044529
1,2,0.621845006942749,90,FW,Tottenham,Chelsea,2,0,2023-02-26,18450,2022,578329,0,0,0,1,0.621845006942749,0.08867619931697845,0.06470280140638351
