goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,1,Sub,Brentford,Manchester City,1,0,2023-05-28,18574,2022,600890,0,0,0,0,0,0,0
0,0,0,1,Sub,Tottenham,Brentford,1,3,2023-05-20,18569,2022,597834,0,0,0,0,0,0,0
0,0,0,1,Sub,Brentford,West Ham,2,0,2023-05-14,18554,2022,596903,0.4067241847515106,0,1,0,0,0.4401286244392395,0.4401286244392395
0,0,0,90,DR,Chelsea,Brentford,0,2,2023-04-26,18529,2022,591662,0,0,0,0,0,0,0
0,0,0,77,DR,Manchester United,Brentford,1,0,2023-04-05,18448,2022,586139,0,0,0,0,0,0,0
0,0,0,1,Sub,Brentford,Fulham,3,2,2023-03-06,18454,2022,580711,0,0,0,0,0,0,0
0,0,0,90,DMR,Arsenal,Brentford,1,1,2023-02-11,18422,2022,574800,0,0,0,0,0,0.030776100233197212,0.030776100233197212
0,1,0.2721869945526123,26,Sub,Brentford,Southampton,3,0,2023-02-04,18413,2022,573225,0,0,0,0,0.2721869945526123,0.2721869945526123,0
0,1,0.06597349792718887,90,DMR,Leeds,Brentford,0,0,2023-01-22,18406,2022,570616,0,0,0,0,0.06597349792718887,0.06597349792718887,0
0,0,0,15,Sub,Brentford,Bournemouth,2,0,2023-01-14,18393,2022,569030,0.11400900036096573,0,1,0,0,0,0
0,0,0,90,DMR,Brentford,Liverpool,3,1,2023-01-02,18384,2022,566902,0,0,0,0,0,0.06079750135540962,0.06079750135540962
0,0,0,90,DMR,West Ham,Brentford,0,2,2022-12-30,18380,2022,566246,0.1352899968624115,0,1,0,0,0.1352899968624115,0
0,0,0,90,DMR,Brentford,Tottenham,2,2,2022-12-26,18364,2022,565450,0.5649129748344421,0,1,0,0,0.5649129748344421,0
0,0,0,90,DMR,Manchester City,Brentford,1,2,2022-11-12,18356,2022,564215,0.033232901245355606,0,1,0,0,0.033232901245355606,0
0,0,0,90,DR,Nottingham Forest,Brentford,2,2,2022-11-05,18347,2022,561926,0,0,0,0,0,0.3502039909362793,0.3502039909362793
0,0,0,1,Sub,Brentford,Wolverhampton Wanderers,1,1,2022-10-29,18334,2022,560114,0,0,0,0,0,0,0
0,0,0,49,DMR,Aston Villa,Brentford,4,0,2022-10-23,18322,2022,558799,0,0,0,0,0,0.03872400149703026,0.03872400149703026
0,0,0,90,DMR,Brentford,Chelsea,0,0,2022-10-19,18314,2022,557582,0.5917569994926453,0,3,0,0,0.5917569994926453,0.532010018825531
0,1,0.0553302988409996,17,Sub,Brentford,Brighton,2,0,2022-10-14,18303,2022,555545,0,0,0,0,0.0553302988409996,0.0553302988409996,0
0,0,0,90,DC,Brentford,Manchester United,4,0,2022-08-13,18218,2022,540795,0,0,0,0,0,0,0
0,0,0,10,Sub,Everton,Brentford,2,3,2022-05-15,16744,2021,536249,0,0,0,0,0,0,0
0,0,0,90,DR,Manchester United,Brentford,3,0,2022-05-02,16722,2021,531704,0.036318499594926834,0,2,0,0,0.023137200623750687,0
0,0,0,90,DC,Brentford,Tottenham,0,0,2022-04-23,16714,2021,528876,0.3008739948272705,0,1,0,0,0.08247470110654831,0.08247470110654831
0,0,0,4,Sub,Brentford,West Ham,2,0,2022-04-10,16693,2021,525131,0,0,0,0,0,0,0
0,0,0,90,DR,Chelsea,Brentford,1,4,2022-04-02,16683,2021,522790,0,0,0,0,0,0,0
0,0,0,23,Sub,Leicester,Brentford,2,1,2022-03-20,16668,2021,521743,0,0,0,0,0,0.04718739911913872,0.04718739911913872
0,0,0,13,Sub,Norwich,Brentford,1,3,2022-03-05,16652,2021,517601,0,0,0,0,0,0,0
