goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,MC,Newcastle United,Leicester,0,0,2023-05-22,18567,2022,599391,0,0,0,0,0,0,0
0,0,0,65,DMC,Leicester,Liverpool,0,3,2023-05-15,18559,2022,597566,0,0,0,0,0,0,0
0,0,0,29,Sub,Fulham,Leicester,5,3,2023-05-08,18544,2022,595682,0,0,0,0,0,0,0
0,1,0.015780199319124222,69,MC,Leicester,Everton,2,2,2023-05-01,18538,2022,593572,0,0,0,0,0.015780199319124222,0.015780199319124222,0
0,0,0,19,Sub,Leicester,Wolverhampton Wanderers,2,1,2023-04-22,18518,2022,590151,0,0,0,0,0,0.08819782733917236,0.08819782733917236
0,0,0,89,MC,Manchester City,Leicester,3,1,2023-04-15,18506,2022,588689,0,0,0,0,0,0.20382100343704224,0.20382100343704224
0,0,0,82,DMC,Leicester,Bournemouth,0,1,2023-04-08,18496,2022,586811,0.02186720073223114,0,1,0,0,0.34477499127388,0.3229080140590668
0,1,0.028086800128221512,90,MC,Leicester,Aston Villa,1,2,2023-04-04,18263,2022,585979,0,0,0,0,0.028086800128221512,0.061841998249292374,0.03375520184636116
0,0,0,90,DMC,Crystal Palace,Leicester,2,1,2023-04-01,18486,2022,584723,0,0,0,0,0,0.10214100033044815,0.10214100033044815
0,0,0,77,DMC,Brentford,Leicester,1,1,2023-03-18,18474,2022,583033,0,0,0,0,0,0.09889540076255798,0.09889540076255798
0,0,0,18,Sub,Southampton,Leicester,1,0,2023-03-04,18460,2022,579781,0,0,0,0,0,0,0
0,0,0,79,MC,Leicester,Arsenal,0,1,2023-02-25,18447,2022,577862,0.020346300676465034,0,1,0,0,0.020346300676465034,0
0,0,0,17,Sub,Leicester,Tottenham,4,1,2023-02-11,18427,2022,574944,0,0,0,0,0,0.15035299956798553,0.15035299956798553
0,0,0,90,DMC,Nottingham Forest,Leicester,2,0,2023-01-14,18399,2022,568795,0,0,0,0,0,0.35253798961639404,0.35253798961639404
0,1,0.017021799460053444,76,DMC,Leicester,Fulham,0,1,2023-01-03,18389,2022,566995,0,0,0,0,0.017021799460053444,0.017021799460053444,0
0,1,0.033883899450302124,62,DMC,Liverpool,Leicester,2,1,2022-12-30,18375,2022,566278,0,0,0,0,0.033883899450302124,0,0
0,1,0.014179100282490253,15,Sub,Leicester,Newcastle United,0,3,2022-12-26,18369,2022,565516,0.010866199620068073,0,1,0,0.014179100282490253,0.07712440192699432,0.0629454031586647
0,0,0,31,Sub,West Ham,Leicester,0,2,2022-11-12,18360,2022,564468,0,0,0,0,0,0,0
0,0,0,18,Sub,Everton,Leicester,0,2,2022-11-05,18344,2022,562182,0,0,0,0,0,0,0
0,0,0,47,DMC,Leicester,Nottingham Forest,4,0,2022-10-03,18287,2022,553604,0,0,0,0,0,0.13879799842834473,0.13879799842834473
0,2,0.0426097996532917,87,DMC,Tottenham,Leicester,6,2,2022-09-17,18278,2022,550907,0,0,0,0,0.0426097996532917,0.127252995967865,0.11524000018835068
0,0,0,90,DC,Brighton,Leicester,5,2,2022-09-04,18259,2022,547891,0,0,0,0,0,0.07732149958610535,0.07732149958610535
0,0,0,90,DC,Leicester,Manchester United,0,1,2022-09-01,18251,2022,546672,0,0,0,0,0,0.33472898602485657,0.33472898602485657
0,0,0,1,Sub,Chelsea,Leicester,2,1,2022-08-27,18235,2022,544517,0,0,0,0,0,0,0
0,0,0,90,DMC,Leicester,Southampton,1,2,2022-08-20,18226,2022,542373,0,0,0,0,0,0.021375300362706184,0.021375300362706184
0,0,0,90,MC,Arsenal,Leicester,4,2,2022-08-13,18217,2022,540666,0,0,0,0,0,0.12948699295520782,0.12948699295520782
0,0,0,90,MC,Leicester,Brentford,2,2,2022-08-07,18210,2022,539830,0,0,0,0,0,0.09875909984111786,0.09875909984111786
0,0,0,28,Sub,Arsenal,Leicester,2,0,2022-03-13,16656,2021,520356,0.029973700642585754,0,1,0,0,0.029973700642585754,0
0,1,0.09397760033607483,77,MC,Leicester,Leeds,1,0,2022-03-05,16648,2021,517257,0,0,0,0,0.09397760033607483,0,0
