goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.49656620621681213,11,Sub,Manchester United,Fulham,2,1,2023-05-28,18580,2022,601072,0,0,0,0,0.49656620621681213,0.555550754070282,0.058984510600566864
0,1,0.10441220551729202,32,Sub,Bournemouth,Manchester United,0,1,2023-05-20,18562,2022,598112,0.040010422468185425,0,1,0,0.10441220551729202,0.23948746919631958,0.09506484121084213
0,1,0.48677197098731995,19,Sub,Manchester United,Wolverhampton Wanderers,2,0,2023-05-13,18560,2022,596435,0.11586005985736847,0,1,0,0.48677197098731995,0.2190455198287964,0.10318546742200851
0,1,0.04463005065917969,58,AMC,West Ham,Manchester United,1,0,2023-05-07,18550,2022,595588,0.07342027127742767,0,1,0,0.04463005065917969,0.3011092245578766,0.18305890262126923
0,0,0,2,Sub,Brighton,Manchester United,1,0,2023-05-04,18475,2022,594359,0,0,0,0,0,0,0
0,0,0,17,Sub,Tottenham,Manchester United,2,2,2023-04-27,18525,2022,591920,0.04461640492081642,0,1,0,0,0.04461640492081642,0
0,0,0,16,Sub,Nottingham Forest,Manchester United,0,2,2023-04-16,18507,2022,589310,0,0,0,0,0,0.104823999106884,0.104823999106884
0,0,0,8,Sub,Manchester United,Everton,2,0,2023-04-08,18498,2022,586389,0.09478220343589783,0,2,0,0,0.09478220343589783,0
0,1,0.07488539814949036,63,FW,Newcastle United,Manchester United,2,0,2023-04-02,18489,2022,585627,0,0,0,0,0.07488539814949036,0.07488539814949036,0
0,1,0.06483619660139084,43,FW,Manchester United,Southampton,0,0,2023-03-12,18468,2022,581786,0,0,0,0,0.06483619660139084,0.06483619660139084,0
0,0,0,59,AMC,Liverpool,Manchester United,7,0,2023-03-05,18457,2022,580387,0,0,0,0,0,0.045403800904750824,0.045403800904750824
0,6,0.8198279738426208,90,AMC,Manchester United,Leicester,3,0,2023-02-19,18437,2022,576942,0.15494099259376526,0,1,0,0.8198279738426208,1.5587600469589233,0.6675620079040527
0,0,0,90,FW,Leeds,Manchester United,0,2,2023-02-12,18426,2022,575419,0.25185900926589966,1,2,0,0,0.5628899931907654,0.3110310137271881
0,0,0,67,FW,Manchester United,Leeds,2,2,2023-02-08,18279,2022,574395,0.009121670387685299,0,1,0,0,0.6390770077705383,0.629954993724823
0,1,0.05609609931707382,61,FW,Manchester United,Crystal Palace,2,1,2023-02-04,18417,2022,573287,0.3254680037498474,0,3,0,0.05609609931707382,0.14131100475788116,0
0,0,0,90,FW,Arsenal,Manchester United,3,2,2023-01-22,18402,2022,570744,0,0,0,0,0,0.037067901343107224,0.037067901343107224
0,1,0.07331430166959763,72,FW,Crystal Palace,Manchester United,1,1,2023-01-18,18270,2022,569810,0.018528200685977936,0,1,0,0.07331430166959763,0.19583000242710114,0.10398700088262558
0,2,0.6802579760551453,39,Sub,Burnley,Newcastle United,1,2,2022-05-22,16749,2021,537754,0,0,0,0,0.6802579760551453,0.6103140115737915,0.03265000134706497
0,1,0.5317320227622986,18,Sub,Aston Villa,Burnley,1,1,2022-05-19,16546,2021,536827,0,0,0,0,0.5317320227622986,0.6581329703330994,0.12640200555324554
0,0,0,4,Sub,Tottenham,Burnley,1,0,2022-05-15,16739,2021,536023,0.07969679683446884,0,1,0,0,0,0
0,3,0.17189699411392212,90,FW,Burnley,Aston Villa,1,3,2022-05-07,16732,2021,534236,0.055517300963401794,0,2,0,0.17189699411392212,0.1953269988298416,0.02991490066051483
0,1,0.060207899659872055,61,FW,Watford,Burnley,1,2,2022-04-30,16718,2021,530521,0,0,0,0,0.060207899659872055,0.10883200168609619,0.04862440004944801
0,5,0.293971985578537,90,FW,Burnley,Wolverhampton Wanderers,1,0,2022-04-24,16712,2021,529303,0.7051100134849548,1,3,0,0.293971985578537,1.0918200016021729,0.15138599276542664
0,2,0.8884980082511902,80,FW,Burnley,Southampton,2,0,2022-04-21,16667,2021,528256,0.10690899938344955,0,1,0,0.8884980082511902,0.4501990079879761,0
1,1,0.6914100050926208,90,FW,West Ham,Burnley,1,1,2022-04-17,16697,2021,526994,0.09967389702796936,0,1,1,0.6914100050926208,0.09967389702796936,0
0,1,0.0647640973329544,58,FW,Norwich,Burnley,2,0,2022-04-10,16688,2021,525263,0,0,0,0,0.0647640973329544,0.0647640973329544,0
0,1,0.017808500677347183,83,FW,Burnley,Everton,3,2,2022-04-06,16558,2021,524137,0.051898300647735596,0,1,0,0.017808500677347183,0.08875440061092377,0.019047599285840988
0,0,0,82,FW,Burnley,Manchester City,0,2,2022-04-02,16684,2021,522758,0,0,0,0,0,0.011780300177633762,0.011780300177633762
0,0,0,68,FW,Brentford,Burnley,2,0,2022-03-12,16657,2021,519349,0,0,0,0,0,0.27289798855781555,0.27289798855781555
0,1,0.1329600065946579,79,FW,Burnley,Chelsea,0,4,2022-03-05,16647,2021,517530,0,0,0,0,0.1329600065946579,0.1329600065946579,0
0,1,0.5763059854507446,90,FW,Burnley,Leicester,0,2,2022-03-01,16588,2021,517075,0,0,0,0,0.5763059854507446,0.028286200016736984,0.028286200016736984
0,1,0.12150400131940842,90,FW,Crystal Palace,Burnley,1,1,2022-02-26,16640,2021,516042,0,0,0,0,0.12150400131940842,0,0
0,1,0.023363500833511353,90,FW,Burnley,Tottenham,1,0,2022-02-23,16499,2021,515324,0,0,0,0,0.023363500833511353,0,0
1,1,0.10103899985551834,90,FW,Brighton,Burnley,0,3,2022-02-19,16628,2021,514199,0.20202000439167023,1,2,1,0.10103899985551834,0.6965169906616211,0.3934580087661743
0,3,0.503508985042572,77,FW,Burnley,Liverpool,0,1,2022-02-13,16617,2021,513134,0.030928999185562134,0,2,0,0.503508985042572,0.5344380140304565,0.030928999185562134
0,3,0.15719099342823029,90,FW,Burnley,Manchester United,1,1,2022-02-08,16608,2021,512125,0.5201489925384521,1,1,0,0.15719099342823029,0.6773399710655212,0
0,2,0.38188400864601135,90,FW,Burnley,Watford,0,0,2022-02-05,16539,2021,511311,0,0,0,0,0.38188400864601135,0.41528400778770447,0.03340030089020729
0,0,0,90,FW,RasenBallsport Leipzig,Wolfsburg,2,0,2022-01-23,17695,2021,510485,0,0,0,0,0,0.015625400468707085,0.015625400468707085
0,1,0.35560598969459534,90,FW,Wolfsburg,Hertha Berlin,0,0,2022-01-15,17685,2021,507942,0.3943910002708435,0,1,0,0.35560598969459534,0.7499970197677612,0
0,0,0,90,FW,Bochum,Wolfsburg,1,0,2022-01-09,17670,2021,507400,0,0,0,0,0,0.07509960234165192,0.07509960234165192
