code,event,finished,finished_provisional,id,kickoff_time,minutes,provisional_start_time,started,team_a,team_a_score,team_h,team_h_score,stats,team_h_difficulty,team_a_difficulty,pulse_id
2367818,,False,False,281,,0,True,,7,,1,,[],3,5,93601
2367819,,False,False,282,,0,True,,13,,5,,[],5,3,93602
2367792,,False,False,255,,0,True,,18,,7,,[],3,3,93575
2367821,,False,False,284,,0,True,,15,,8,,[],3,2,93604
2367822,,False,False,285,,0,True,,11,,9,,[],4,2,93605
2367825,,False,False,288,,0,True,,17,,14,,[],2,4,93608
2367827,,False,False,290,,0,True,,3,,20,,[],2,2,93610
2367538,1.0,True,True,1,2023-08-11T19:00:00Z,90,False,True,13,3.0,6,0.0,"[{'identifier': 'goals_scored', 'a': [{'value': 2, 'element': 355}, {'value': 1, 'element': 365}], 'h': []}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 343}, {'value': 1, 'element': 365}], 'h': []}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [], 'h': []}, {'identifier': 'red_cards', 'a': [], 'h': [{'value': 1, 'element': 184}]}, {'identifier': 'saves', 'a': [{'value': 1, 'element': 352}], 'h': [{'value': 5, 'element': 596}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 355}, {'value': 2, 'element': 365}, {'value': 1, 'element': 342}], 'h': []}, {'identifier': 'bps', 'a': [{'value': 56, 'element': 355}, {'value': 42, 'element': 365}, {'value': 32, 'element': 342}, {'value': 27, 'element': 352}, {'value': 26, 'element': 369}, {'value': 25, 'element': 343}, {'value': 25, 'element': 358}, {'value': 23, 'element': 341}, {'value': 18, 'element': 356}, {'value': 11, 'element': 344}, {'value': 7, 'element': 616}, {'value': 6, 'element': 353}, {'value': 4, 'element': 349}, {'value': 4, 'element': 357}, {'value': 3, 'element': 360}, {'value': 1, 'element': 362}], 'h': [{'value': 22, 'element': 596}, {'value': 18, 'element': 160}, {'value': 12, 'element': 157}, {'value': 12, 'element': 165}, {'value': 12, 'element': 173}, {'value': 10, 'element': 176}, {'value': 8, 'element': 594}, {'value': 6, 'element': 182}, {'value': 5, 'element': 168}, {'value': 5, 'element': 475}, {'value': 4, 'element': 605}, {'value': 3, 'element': 161}, {'value': 3, 'element': 600}, {'value': -1, 'element': 159}, {'value': -6, 'element': 184}]}]",5,2,93321
2367540,1.0,True,True,2,2023-08-12T12:00:00Z,90,False,True,16,1.0,1,2.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 437}], 'h': [{'value': 1, 'element': 13}, {'value': 1, 'element': 19}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 378}], 'h': [{'value': 1, 'element': 12}, {'value': 1, 'element': 20}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 453}, {'value': 1, 'element': 604}], 'h': [{'value': 1, 'element': 29}, {'value': 1, 'element': 585}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 5, 'element': 28}], 'h': [{'value': 1, 'element': 17}]}, {'identifier': 'bonus', 'a': [{'value': 2, 'element': 437}], 'h': [{'value': 3, 'element': 19}, {'value': 2, 'element': 13}]}, {'identifier': 'bps', 'a': [{'value': 26, 'element': 437}, {'value': 20, 'element': 28}, {'value': 17, 'element': 378}, {'value': 14, 'element': 439}, {'value': 10, 'element': 436}, {'value': 10, 'element': 469}, {'value': 9, 'element': 604}, {'value': 8, 'element': 442}, {'value': 8, 'element': 447}, {'value': 8, 'element': 455}, {'value': 4, 'element': 467}, {'value': 3, 'element': 468}, {'value': 2, 'element': 451}, {'value': 2, 'element': 470}, {'value': -2, 'element': 453}], 'h': [{'value': 37, 'element': 19}, {'value': 26, 'element': 13}, {'value': 23, 'element': 12}, {'value': 22, 'element': 20}, {'value': 18, 'element': 15}, {'value': 18, 'element': 540}, {'value': 11, 'element': 6}, {'value': 11, 'element': 14}, {'value': 10, 'element': 17}, {'value': 9, 'element': 25}, {'value': 8, 'element': 26}, {'value': 8, 'element': 29}, {'value': 3, 'element': 585}, {'value': 2, 'element': 5}]}]",2,5,93322
2367539,1.0,True,True,3,2023-08-12T14:00:00Z,90,False,True,19,1.0,3,1.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 526}], 'h': [{'value': 1, 'element': 85}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 542}], 'h': [{'value': 1, 'element': 82}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 523}, {'value': 1, 'element': 526}, {'value': 1, 'element': 532}, {'value': 1, 'element': 539}], 'h': [{'value': 1, 'element': 75}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 4, 'element': 524}], 'h': [{'value': 1, 'element': 77}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 526}, {'value': 2, 'element': 542}], 'h': [{'value': 1, 'element': 85}]}, {'identifier': 'bps', 'a': [{'value': 29, 'element': 526}, {'value': 24, 'element': 542}, {'value': 16, 'element': 524}, {'value': 12, 'element': 528}, {'value': 11, 'element': 539}, {'value': 10, 'element': 544}, {'value': 8, 'element': 522}, {'value': 8, 'element': 532}, {'value': 8, 'element': 534}, {'value': 7, 'element': 525}, {'value': 5, 'element': 523}, {'value': 3, 'element': 537}, {'value': 2, 'element': 527}, {'value': 1, 'element': 535}], 'h': [{'value': 22, 'element': 85}, {'value': 17, 'element': 643}, {'value': 13, 'element': 63}, {'value': 13, 'element': 81}, {'value': 11, 'element': 77}, {'value': 11, 'element': 82}, {'value': 11, 'element': 89}, {'value': 11, 'element': 595}, {'value': 9, 'element': 83}, {'value': 8, 'element': 65}, {'value': 4, 'element': 64}, {'value': 2, 'element': 72}, {'value': 2, 'element': 75}, {'value': 2, 'element': 76}, {'value': 1, 'element': 62}, {'value': 1, 'element': 69}]}]",2,2,93323
