assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,10,0,0.0,17,0.00,0.00,0.00,1.18,2,1,0,1.3,12.6,2023-08-12T12:00:00Z,90,16,0,0,0,0,1,1,1510016,1,1,2,0.0,2,0,0,0,50,True,0
0,0,25,1,0.0,17,0.01,0.01,0.00,1.06,12,0,0,1.5,15.4,2023-08-21T19:00:00Z,90,8,0,0,0,0,2,2,1625661,1,1,0,0.0,6,-46452,45504,91956,50,False,0
0,0,10,0,0.0,17,0.00,0.00,0.00,0.53,21,2,0,1.2,12.2,2023-08-26T14:00:00Z,90,10,0,0,0,0,3,1,1657162,1,2,2,0.0,1,-23232,53491,76723,50,True,0
0,0,10,0,0.0,17,0.00,0.00,0.00,0.96,31,1,0,1.1,10.8,2023-09-03T15:30:00Z,90,14,0,0,0,0,4,1,1577658,1,1,3,0.0,2,-97431,26035,123466,50,True,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,43,0,0,0.0,0.0,2023-09-17T15:30:00Z,0,9,0,0,0,0,5,0,1601633,0,1,0,0.0,0,-18218,54121,72339,50,False,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,51,0,0,0.0,0.0,2023-09-24T13:00:00Z,0,18,0,0,0,0,6,0,1419521,0,2,2,0.0,0,-186065,12952,199017,50,True,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,62,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,3,0,0,0,0,7,0,1224482,0,4,0,0.0,0,-196865,7214,204079,49,False,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,71,0,0,0.0,0.0,2023-10-08T15:30:00Z,0,13,0,0,0,0,8,0,1071936,0,0,1,0.0,0,-156638,3542,160180,49,True,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,84,0,0,0.0,0.0,2023-10-21T16:30:00Z,0,7,0,0,0,0,9,0,979927,0,2,2,0.0,0,-103107,3625,106732,48,False,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,91,0,0,0.0,0.0,2023-10-28T14:00:00Z,0,17,0,0,0,0,10,0,900682,0,0,5,0.0,0,-82149,3711,85860,48,True,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,107,0,0,0.0,0.0,2023-11-04T17:30:00Z,0,15,0,0,0,0,11,0,831615,0,0,1,0.0,0,-71078,1663,72741,47,False,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,111,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,6,0,0,0,0,12,0,793804,0,1,3,0.0,0,-39293,1732,41025,47,True,0
0,0,22,1,0.0,17,0.00,0.00,0.00,1.11,121,0,0,0.5,4.8,2023-11-25T17:30:00Z,90,4,0,0,0,0,13,1,789227,1,1,0,0.0,6,-10715,23633,34348,47,False,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,131,0,0,0.0,0.0,2023-12-02T15:00:00Z,0,20,0,0,0,0,14,0,776393,0,1,2,0.0,0,-12949,12249,25198,47,True,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,146,0,0,0.0,0.0,2023-12-05T20:15:00Z,0,12,0,0,0,0,15,0,744140,0,4,3,0.0,0,-32742,4710,37452,47,False,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,151,0,0,0.0,0.0,2023-12-09T17:30:00Z,0,2,0,0,0,0,16,0,714477,0,0,1,0.0,0,-30401,2178,32579,46,False,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,161,0,0,0.0,0.0,2023-12-17T14:00:00Z,0,5,0,0,0,0,17,0,693690,0,0,2,0.0,0,-21247,1795,23042,46,True,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,174,0,0,0.0,0.0,2023-12-23T17:30:00Z,0,11,0,0,0,0,18,0,680772,0,1,1,0.0,0,-14000,1201,15201,46,False,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,181,0,0,0.0,0.0,2023-12-28T20:15:00Z,0,19,0,0,0,0,19,0,672825,0,2,0,0.0,0,-9307,907,10214,46,True,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,193,0,0,0.0,0.0,2023-12-31T14:00:00Z,0,10,0,0,0,0,20,0,661656,0,1,2,0.0,0,-11790,942,12732,46,False,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,201,0,0,0.0,0.0,2024-01-20T12:30:00Z,0,8,0,0,0,0,21,0,647121,0,0,5,0.0,0,-15479,2255,17734,46,True,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,215,0,0,0.0,0.0,2024-01-30T19:30:00Z,0,16,0,0,0,0,22,0,641209,0,2,1,0.0,0,-7683,1428,9111,45,False,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,221,0,0,0.0,0.0,2024-02-04T16:30:00Z,0,11,0,0,0,0,23,0,637677,0,1,3,0.0,0,-4070,303,4373,45,True,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,239,0,0,0.0,0.0,2024-02-11T14:00:00Z,0,19,0,0,0,0,24,0,631407,0,6,0,0.0,0,-6787,647,7434,45,False,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,242,0,0,0.0,0.0,2024-02-17T15:00:00Z,0,6,0,0,0,0,25,0,623027,0,5,0,0.0,0,-8278,1075,9353,45,False,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,251,0,0,0.0,0.0,2024-02-24T20:00:00Z,0,15,0,0,0,0,26,0,616325,0,1,4,0.0,0,-7304,886,8190,45,True,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,269,0,0,0.0,0.0,2024-03-04T20:00:00Z,0,17,0,0,0,0,27,0,612609,0,6,0,0.0,0,-5089,660,5749,45,False,0
0,0,13,0,0.0,17,0.00,0.00,0.00,0.97,271,1,0,1.7,17.4,2024-03-09T17:30:00Z,90,4,0,0,0,0,28,3,619287,1,1,2,0.0,3,5156,11280,6124,45,True,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,296,0,0,0.0,0.0,2024-03-31T15:30:00Z,0,13,0,0,0,0,30,0,611688,0,0,0,0.0,0,-4155,612,4767,45,False,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,301,0,0,0.0,0.0,2024-04-03T18:30:00Z,0,12,0,0,0,0,31,0,608852,0,0,2,0.0,0,-3154,823,3977,45,True,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,312,0,0,0.0,0.0,2024-04-06T16:30:00Z,0,5,0,0,0,0,32,0,604939,0,3,0,0.0,0,-4301,1099,5400,45,False,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,321,0,0,0.0,0.0,2024-04-14T15:30:00Z,0,2,0,0,0,0,33,0,600992,0,2,0,0.0,0,-4389,634,5023,45,True,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,340,0,0,0.0,0.0,2024-04-20T18:30:00Z,0,20,0,0,0,0,34,0,596451,0,2,0,0.0,0,-4539,574,5113,45,False,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,281,0,0,0.0,0.0,2024-04-23T19:00:00Z,0,7,0,0,0,0,34,0,596451,0,0,5,0.0,0,-4539,574,5113,45,True,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,348,0,0,0.0,0.0,2024-04-28T13:00:00Z,0,18,0,0,0,0,35,0,593826,0,3,2,0.0,0,-3357,242,3599,45,False,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,351,0,0,0.0,0.0,2024-05-04T11:30:00Z,0,3,0,0,0,0,36,0,591606,0,0,3,0.0,0,-2638,297,2935,45,True,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,365,0,0,0.0,0.0,2024-05-12T15:30:00Z,0,14,0,0,0,0,37,0,588564,0,1,0,0.0,0,-3268,405,3673,45,False,0
0,0,0,0,0.0,17,0.00,0.00,0.00,0.00,371,0,0,0.0,0.0,2024-05-19T15:00:00Z,0,9,0,0,0,0,38,0,586467,0,1,2,0.0,0,-2387,617,3004,45,True,0
