assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,191,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2023-08-13T15:30:00Z,0,11,0,0,0,0,1,0,5644,0,1,1,0.0,0,0,0,0,45,True,0
0,0,0,0,0.0,191,0.00,0.00,0.00,0.00,19,0,0,0.0,0.0,2023-08-20T15:30:00Z,0,19,0,0,0,0,2,0,4036,0,1,3,0.0,0,-1674,110,1784,45,False,0
0,0,0,0,0.0,191,0.00,0.00,0.00,0.00,26,0,0,0.0,0.0,2023-08-25T19:00:00Z,0,12,0,0,0,0,3,0,3478,0,0,3,0.0,0,-675,90,765,44,True,0
0,0,0,0,0.0,191,0.00,0.00,0.00,0.00,35,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,16,0,0,0,0,4,0,3123,0,1,0,0.0,0,-399,39,438,44,True,0
0,0,0,0,0.0,191,0.00,0.00,0.00,0.00,42,0,0,0.0,0.0,2023-09-17T13:00:00Z,0,3,0,0,0,0,5,0,2899,0,0,0,0.0,0,-275,92,367,44,False,0
0,0,0,0,0.0,191,0.00,0.00,0.00,0.00,55,0,0,0.0,0.0,2023-09-24T13:00:00Z,0,2,0,0,0,0,6,0,2808,0,1,0,0.0,0,-103,44,147,44,True,0
0,0,0,0,0.0,191,0.00,0.00,0.00,0.00,64,0,0,0.0,0.0,2023-10-02T19:00:00Z,0,10,0,0,0,0,7,0,2695,0,2,0,0.0,0,-113,38,151,44,False,0
0,0,0,0,0.0,191,0.00,0.00,0.00,0.00,73,0,0,0.0,0.0,2023-10-07T14:00:00Z,0,6,0,0,0,0,8,0,2673,0,4,1,0.0,0,-34,76,110,44,False,0
0,0,0,0,0.0,191,0.00,0.00,0.00,0.00,84,0,0,0.0,0.0,2023-10-21T16:30:00Z,0,1,0,0,0,0,9,0,2670,0,2,2,0.0,0,-19,86,105,44,True,0
0,0,0,0,0.0,191,0.00,0.00,0.00,0.00,95,0,0,0.0,0.0,2023-10-28T11:30:00Z,0,4,0,0,0,0,10,0,3034,0,2,0,0.0,0,303,421,118,44,True,0
0,0,0,0,0.0,191,0.00,0.00,0.00,0.00,110,0,0,0.0,0.0,2023-11-06T20:00:00Z,0,18,0,0,0,0,11,0,3735,0,4,1,0.0,0,605,786,181,44,False,0
0,0,0,0,0.0,191,0.00,0.00,0.00,0.00,115,0,0,0.0,0.0,2023-11-12T16:30:00Z,0,13,0,0,0,0,12,0,4090,0,4,4,0.0,0,275,586,311,44,True,0
0,0,10,0,0.1,191,0.00,0.10,0.10,2.28,127,4,0,4.0,23.2,2023-11-25T15:00:00Z,90,15,0,0,0,0,13,0,4307,1,1,4,17.0,0,139,515,376,44,False,0
1,2,28,0,20.7,191,0.56,0.56,0.00,1.02,135,2,0,6.3,40.0,2023-12-03T14:00:00Z,90,5,0,0,0,0,14,0,4898,1,2,3,2.0,5,511,769,258,44,True,1
0,0,0,0,0.0,191,0.00,0.00,0.00,0.00,150,0,0,0.0,0.0,2023-12-06T20:15:00Z,0,14,0,0,0,0,15,0,6990,0,1,2,0.0,0,1982,2211,229,44,False,0
0,0,15,0,1.1,191,0.01,0.02,0.01,1.08,154,2,0,2.6,19.2,2023-12-10T14:00:00Z,90,9,0,0,0,0,16,0,7688,1,0,2,6.0,1,641,1253,612,44,False,0
