assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,574,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2023-08-14T19:00:00Z,0,14,0,0,0,0,1,0,43843,0,0,1,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,574,0.00,0.00,0.00,0.00,20,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,5,0,0,0,0,2,0,48123,0,4,1,0.0,0,-2840,3149,5989,45,True,0
0,0,0,0,0.0,574,0.00,0.00,0.00,0.00,27,0,0,0.0,0.0,2023-08-26T14:00:00Z,0,9,0,0,0,0,3,0,42834,0,1,0,0.0,0,-6400,1094,7494,45,False,0
0,0,2,0,2.1,574,0.01,0.01,0.00,0.83,36,2,0,0.6,1.4,2023-09-03T13:00:00Z,16,8,0,0,0,0,4,0,40947,0,2,3,2.0,1,-3428,1877,5305,44,False,0
0,0,2,0,0.4,574,0.00,0.00,0.00,0.69,50,2,0,0.2,1.6,2023-09-16T11:30:00Z,12,11,0,0,0,0,5,0,44649,0,3,1,0.0,1,997,5332,4335,44,True,0
0,0,0,0,0.2,574,0.00,0.00,0.00,0.39,58,0,0,0.4,3.4,2023-09-23T14:00:00Z,19,12,0,0,0,0,6,0,46212,0,1,1,0.0,1,734,3663,2929,44,False,0
0,0,2,0,0.3,574,0.00,0.00,0.00,0.14,70,0,0,0.4,3.2,2023-09-30T14:00:00Z,23,13,0,0,0,0,7,0,47704,0,1,2,0.0,1,601,4805,4204,44,True,0
0,0,6,0,10.8,574,0.01,0.01,0.00,0.64,80,0,0,1.5,4.4,2023-10-08T13:00:00Z,21,2,0,0,0,0,8,0,48527,0,1,1,0.0,1,140,4298,4158,44,True,0
0,0,12,0,4.4,574,0.09,0.10,0.01,0.61,82,1,0,2.1,12.4,2023-10-21T14:00:00Z,90,3,0,0,0,0,9,0,47642,1,2,1,4.0,1,-909,2132,3041,44,False,1
0,0,8,0,2.5,574,0.00,0.03,0.03,1.95,100,2,0,0.7,1.2,2023-10-28T16:30:00Z,53,15,0,0,0,0,10,0,47099,1,2,2,3.0,1,-725,2307,3032,44,True,0
0,0,7,0,4.6,574,0.03,0.03,0.00,0.94,109,2,0,1.0,5.6,2023-11-04T15:00:00Z,20,17,0,0,0,0,11,0,47979,0,1,2,0.0,1,672,2878,2206,44,False,0
0,0,0,0,0.0,574,0.00,0.00,0.00,0.00,120,0,0,0.0,0.0,2023-11-11T12:30:00Z,0,18,0,0,0,0,12,0,46054,0,1,2,0.0,0,-1806,754,2560,44,True,0
0,0,0,0,0.0,574,0.00,0.00,0.00,0.00,124,0,0,0.0,0.0,2023-11-27T20:00:00Z,0,10,0,0,0,0,13,0,44791,0,2,3,0.0,0,-1327,735,2062,44,False,0
0,0,12,0,4.3,574,0.02,0.02,0.00,2.89,131,2,0,1.2,7.4,2023-12-02T15:00:00Z,90,1,0,0,0,0,14,0,44080,1,1,2,0.0,2,-856,466,1322,44,False,0
0,0,3,0,0.3,574,0.00,0.00,0.00,0.00,149,0,0,0.0,0.0,2023-12-05T19:30:00Z,3,6,0,0,0,0,15,0,44075,0,0,1,0.0,1,-99,812,911,44,True,0
0,0,3,0,16.8,574,0.07,0.10,0.03,0.48,160,0,0,2.1,3.4,2023-12-09T15:00:00Z,29,16,0,0,0,0,16,0,43377,0,1,1,1.0,1,-734,526,1260,44,True,0
0,0,0,0,0.0,574,0.00,0.00,0.00,0.00,170,0,0,0.0,0.0,2023-12-17T14:00:00Z,0,19,0,0,0,0,17,0,41982,0,0,3,0.0,0,-1342,383,1725,44,False,0
0,0,0,0,0.0,574,0.00,0.00,0.00,0.00,180,0,0,0.0,0.0,2023-12-24T13:00:00Z,0,7,0,0,0,0,18,0,41424,0,1,2,0.0,0,-755,800,1555,43,True,0
0,0,0,0,0.0,574,0.00,0.00,0.00,0.00,183,0,0,0.0,0.0,2023-12-27T19:30:00Z,0,4,0,0,0,0,19,0,41934,0,4,1,0.0,0,248,1410,1162,43,False,0
0,0,5,0,10.3,574,0.01,0.01,0.00,0.06,200,0,0,1.5,4.4,2023-12-30T15:00:00Z,5,9,0,0,0,0,20,0,39706,0,0,3,0.0,1,-2059,122,2181,43,True,0
0,0,0,0,0.0,574,0.00,0.00,0.00,0.00,204,0,0,0.0,0.0,2024-01-22T19:45:00Z,0,5,0,0,0,0,21,0,37096,0,0,0,0.0,0,-2633,779,3412,43,False,0
0,0,0,0,0.0,574,0.00,0.00,0.00,0.00,218,0,0,0.0,0.0,2024-02-01T20:15:00Z,0,14,0,0,0,0,22,0,35634,0,4,3,0.0,0,-1593,31,1624,43,True,0
0,0,0,0,0.0,574,0.00,0.00,0.00,0.00,226,0,0,0.0,0.0,2024-02-04T14:00:00Z,0,7,0,0,0,0,23,0,35161,0,4,2,0.0,0,-527,24,551,43,False,0
0,0,0,0,0.0,574,0.00,0.00,0.00,0.00,240,0,0,0.0,0.0,2024-02-10T15:00:00Z,0,4,0,0,0,0,24,0,34668,0,2,0,0.0,0,-504,198,702,43,True,0
0,0,3,0,0.1,574,0.00,0.00,0.00,0.66,250,0,0,0.0,0.0,2024-02-17T15:00:00Z,2,18,0,0,0,0,25,0,35900,0,2,1,0.0,1,626,1342,716,43,False,0
0,0,0,0,0.0,574,0.00,0.00,0.00,0.00,260,0,0,0.0,0.0,2024-02-25T13:30:00Z,0,17,0,0,0,0,26,0,36556,0,0,1,0.0,0,635,1594,959,43,True,0
0,0,2,0,0.1,574,0.00,0.00,0.00,0.19,267,1,0,0.0,0.0,2024-03-02T15:00:00Z,9,15,0,0,0,0,27,0,35943,0,0,3,0.0,1,-213,562,775,43,False,0
0,0,0,0,0.0,574,0.00,0.00,0.00,0.00,280,0,0,0.0,0.0,2024-03-09T15:00:00Z,0,10,0,0,0,0,28,0,35642,0,1,2,0.0,0,-324,280,604,43,True,0
0,0,6,0,0.7,574,0.00,0.00,0.00,0.02,291,0,0,1.0,8.8,2024-03-30T17:30:00Z,6,2,0,0,0,0,30,0,35213,0,0,2,0.0,1,-145,212,357,43,False,0
0,0,-1,0,0.0,574,0.00,0.00,0.00,0.16,304,0,0,0.0,0.0,2024-04-02T18:45:00Z,7,6,0,0,0,0,31,0,35171,0,1,1,0.0,1,-59,215,274,43,False,0
0,0,-2,0,0.8,574,0.01,0.04,0.03,0.10,320,1,0,1.3,3.8,2024-04-06T14:00:00Z,15,19,0,0,0,0,32,0,34886,0,2,1,8.0,0,-286,131,417,43,True,1
0,0,2,0,0.3,574,0.00,0.00,0.00,0.23,329,0,0,0.2,1.6,2024-04-13T14:00:00Z,14,16,0,0,0,0,33,0,34718,0,2,2,0.0,1,-191,168,359,43,False,0
0,0,13,0,2.2,574,0.00,0.02,0.02,1.21,340,2,0,1.6,12.6,2024-04-20T18:30:00Z,90,1,0,0,0,0,34,0,34696,1,2,0,1.0,2,-83,325,408,43,True,0
0,0,8,0,1.6,574,0.03,0.06,0.03,0.00,290,0,0,0.8,5.4,2024-04-24T18:45:00Z,26,3,0,0,0,0,34,0,34696,0,1,0,1.0,1,-83,325,408,43,True,0
0,0,7,0,23.3,574,0.00,0.13,0.13,0.59,350,1,0,4.6,17.2,2024-04-27T14:00:00Z,90,12,0,0,0,0,35,0,34353,1,1,2,5.0,2,-312,155,467,43,True,0
0,0,9,0,2.3,574,0.01,0.01,0.00,3.57,359,5,0,1.1,8.2,2024-05-04T16:30:00Z,90,13,0,0,0,0,36,0,34352,1,1,5,0.0,1,-33,221,254,43,False,1
0,0,9,0,16.3,574,0.03,0.03,0.00,1.62,370,2,0,2.4,5.6,2024-05-11T14:00:00Z,45,8,0,0,0,0,37,0,34876,1,3,1,2.0,0,409,862,453,43,True,1
