assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,498,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2023-08-13T13:00:00Z,0,4,0,0,0,0,1,0,373566,0,2,2,0.0,0,0,0,0,40,False,0
0,0,0,0,0.0,498,0.00,0.00,0.00,0.00,18,0,0,0.0,0.0,2023-08-19T16:30:00Z,0,14,0,0,0,0,2,0,324113,0,0,2,0.0,0,-47492,298,47790,40,True,0
0,0,0,0,0.0,498,0.00,0.00,0.00,0.00,22,0,0,0.0,0.0,2023-08-26T11:30:00Z,0,3,0,0,0,0,3,0,308085,0,2,0,0.0,0,-20380,1683,22063,40,False,0
0,0,0,0,0.0,498,0.00,0.00,0.00,0.00,34,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,6,0,0,0,0,4,0,289441,0,5,2,0.0,0,-19895,1833,21728,40,False,0
0,0,0,0,0.0,498,0.00,0.00,0.00,0.00,48,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,17,0,0,0,0,5,0,274897,0,1,2,0.0,0,-16640,1851,18491,40,True,0
0,0,0,0,0.0,498,0.00,0.00,0.00,0.00,51,0,0,0.0,0.0,2023-09-24T13:00:00Z,0,1,0,0,0,0,6,0,264384,0,2,2,0.0,0,-11535,899,12434,40,False,0
0,0,0,0,0.0,498,0.00,0.00,0.00,0.00,68,0,0,0.0,0.0,2023-09-30T16:30:00Z,0,11,0,0,0,0,7,0,253929,0,1,2,0.0,0,-10516,1092,11608,40,True,0
0,0,0,0,0.0,498,0.00,0.00,0.00,0.00,77,0,0,0.0,0.0,2023-10-07T11:30:00Z,0,12,0,0,0,0,8,0,236041,0,1,0,0.0,0,-16928,932,17860,40,False,0
0,0,0,0,0.0,498,0.00,0.00,0.00,0.00,90,0,0,0.0,0.0,2023-10-23T19:00:00Z,0,10,0,0,0,0,9,0,233732,0,0,2,0.0,0,-5452,5043,10495,39,True,0
0,0,0,0,0.0,498,0.00,0.00,0.00,0.00,96,0,0,0.0,0.0,2023-10-27T19:00:00Z,0,8,0,0,0,0,10,0,231343,0,2,1,0.0,0,-3508,6922,10430,39,False,0
0,0,0,0,0.0,498,0.00,0.00,0.00,0.00,110,0,0,0.0,0.0,2023-11-06T20:00:00Z,0,7,0,0,0,0,11,0,228274,0,4,1,0.0,0,-3500,3806,7306,39,True,0
0,0,0,0,0.0,498,0.00,0.00,0.00,0.00,120,0,0,0.0,0.0,2023-11-11T12:30:00Z,0,20,0,0,0,0,12,0,226923,0,1,2,0.0,0,-1502,2793,4295,39,False,0
0,0,0,0,0.0,498,0.00,0.00,0.00,0.00,130,0,0,0.0,0.0,2023-11-26T14:00:00Z,0,2,0,0,0,0,13,0,225629,0,2,1,0.0,0,-1640,3201,4841,39,True,0
0,0,0,0,0.0,498,0.00,0.00,0.00,0.00,137,0,0,0.0,0.0,2023-12-03T16:30:00Z,0,13,0,0,0,0,14,0,224028,0,3,3,0.0,0,-2028,2429,4457,39,False,0
0,0,0,0,0.0,498,0.00,0.00,0.00,0.00,148,0,0,0.0,0.0,2023-12-07T20:15:00Z,0,19,0,0,0,0,15,0,221327,0,2,1,0.0,0,-2777,1589,4366,39,True,0
0,0,0,0,0.0,498,0.00,0.00,0.00,0.00,159,0,0,0.0,0.0,2023-12-10T16:30:00Z,0,15,0,0,0,0,16,0,219414,0,1,4,0.0,0,-2168,1699,3867,39,True,0
0,0,0,0,0.0,498,0.00,0.00,0.00,0.00,169,0,0,0.0,0.0,2023-12-15T20:00:00Z,0,16,0,0,0,0,17,0,214668,0,2,0,0.0,0,-4140,1044,5184,39,False,0
0,0,0,0,0.0,498,0.00,0.00,0.00,0.00,178,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,9,0,0,0,0,18,0,210238,0,1,2,0.0,0,-4350,390,4740,39,True,0
0,0,0,0,0.0,498,0.00,0.00,0.00,0.00,184,0,0,0.0,0.0,2023-12-28T19:30:00Z,0,5,0,0,0,0,19,0,208561,0,2,4,0.0,0,-2527,256,2783,39,False,0
0,0,0,0,0.0,498,0.00,0.00,0.00,0.00,198,0,0,0.0,0.0,2023-12-31T14:00:00Z,0,3,0,0,0,0,20,0,205364,0,1,3,0.0,0,-3296,308,3604,39,True,0
0,0,0,0,0.0,498,0.00,0.00,0.00,0.00,208,0,0,0.0,0.0,2024-01-14T16:30:00Z,0,14,0,0,0,0,21,0,198516,0,2,2,0.0,0,-6680,558,7238,39,False,0
0,0,0,0,0.0,498,0.00,0.00,0.00,0.00,216,0,0,0.0,0.0,2024-01-31T19:30:00Z,0,4,0,0,0,0,22,0,198752,0,2,3,0.0,0,-571,2652,3223,38,True,0
0,0,0,0,0.0,498,0.00,0.00,0.00,0.00,227,0,0,0.0,0.0,2024-02-03T12:30:00Z,0,9,0,0,0,0,23,0,200518,0,2,2,0.0,0,1419,3146,1727,38,False,0
0,0,0,0,0.0,498,0.00,0.00,0.00,0.00,238,0,0,0.0,0.0,2024-02-10T15:00:00Z,0,5,0,0,0,0,24,0,206945,0,1,2,0.0,0,5413,8916,3503,38,True,0
0,0,0,0,0.0,498,0.00,0.00,0.00,0.00,250,0,0,0.0,0.0,2024-02-17T15:00:00Z,0,20,0,0,0,0,25,0,275133,0,2,1,0.0,0,14949,24152,9203,38,True,0
