assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,3,0,0,0,0,1,0,6973,0,1,1,0.0,0,0,0,0,60,False,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,19,0,0,0.0,0.0,2023-08-20T15:30:00Z,0,7,0,0,0,0,2,0,3729,0,1,3,0.0,0,-3124,0,3124,60,True,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,24,0,0,0.0,0.0,2023-08-26T16:30:00Z,0,5,0,0,0,0,3,0,3057,0,3,1,0.0,0,-825,0,825,60,False,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,38,0,0,0.0,0.0,2023-09-01T19:00:00Z,0,12,0,0,0,0,4,0,2693,0,2,1,0.0,0,-380,0,380,60,False,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,49,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,13,0,0,0,0,5,0,2431,0,3,1,0.0,0,-264,0,264,60,True,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,57,0,0,0.0,0.0,2023-09-24T13:00:00Z,0,11,0,0,0,0,6,0,2363,0,1,3,0.0,0,-80,0,80,60,False,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,69,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,17,0,0,0,0,7,0,2299,0,0,2,0.0,0,-62,0,62,60,True,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,79,0,0,0.0,0.0,2023-10-08T13:00:00Z,0,15,0,0,0,0,8,0,2247,0,2,2,0.0,0,-57,0,57,60,True,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,81,0,0,0.0,0.0,2023-10-22T15:30:00Z,0,2,0,0,0,0,9,0,2206,0,1,4,0.0,0,-41,0,41,60,False,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2023-10-29T13:00:00Z,0,9,0,0,0,0,10,0,2183,0,1,0,0.0,0,-24,0,24,60,True,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,101,0,0,0.0,0.0,2023-11-04T15:00:00Z,0,4,0,0,0,0,11,0,2160,0,2,3,0.0,0,-22,0,22,60,False,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,119,0,0,0.0,0.0,2023-11-12T14:00:00Z,0,16,0,0,0,0,12,0,2141,0,2,3,0.0,0,-19,0,19,60,True,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,122,0,0,0.0,0.0,2023-11-25T15:00:00Z,0,6,0,0,0,0,13,0,2129,0,2,1,0.0,0,-13,0,13,60,False,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,140,0,0,0.0,0.0,2023-12-03T14:00:00Z,0,8,0,0,0,0,14,0,2121,0,1,1,0.0,0,-7,0,7,60,True,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,148,0,0,0.0,0.0,2023-12-07T20:15:00Z,0,18,0,0,0,0,15,0,2120,0,2,1,0.0,0,-1,0,1,60,False,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,155,0,0,0.0,0.0,2023-12-10T14:00:00Z,0,10,0,0,0,0,16,0,2115,0,0,5,0.0,0,-6,0,6,60,False,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,170,0,0,0.0,0.0,2023-12-17T14:00:00Z,0,20,0,0,0,0,17,0,2103,0,0,3,0.0,0,-11,0,11,60,True,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,179,0,0,0.0,0.0,2023-12-23T12:30:00Z,0,14,0,0,0,0,18,0,2097,0,0,2,0.0,0,-6,0,6,60,True,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,181,0,0,0.0,0.0,2023-12-28T20:15:00Z,0,1,0,0,0,0,19,0,2093,0,2,0,0.0,0,-5,0,5,60,False,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,199,0,0,0.0,0.0,2024-01-02T19:30:00Z,0,5,0,0,0,0,20,0,2087,0,0,0,0.0,0,-6,0,6,60,True,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,210,0,0,0.0,0.0,2024-01-21T14:00:00Z,0,17,0,0,0,0,21,0,2074,0,2,2,0.0,0,-13,0,13,60,False,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,217,0,0,0.0,0.0,2024-02-01T19:30:00Z,0,3,0,0,0,0,22,0,2066,0,1,1,0.0,0,-8,0,8,60,True,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,228,0,0,0.0,0.0,2024-02-04T14:00:00Z,0,14,0,0,0,0,23,0,2054,0,0,3,0.0,0,-12,0,12,60,False,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,239,0,0,0.0,0.0,2024-02-11T14:00:00Z,0,1,0,0,0,0,24,0,2050,0,6,0,0.0,0,-3,0,3,60,True,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,248,0,0,0.0,0.0,2024-02-17T15:00:00Z,0,16,0,0,0,0,25,0,2043,0,0,2,0.0,0,-7,0,7,60,False,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,259,0,0,0.0,0.0,2024-02-26T20:00:00Z,0,4,0,0,0,0,26,0,2042,0,2,4,0.0,0,-2,0,2,60,True,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,263,0,0,0.0,0.0,2024-03-02T15:00:00Z,0,9,0,0,0,0,27,0,2039,0,3,1,0.0,0,-3,0,3,60,False,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,279,0,0,0.0,0.0,2024-03-10T14:00:00Z,0,6,0,0,0,0,28,0,2036,0,2,2,0.0,0,-2,0,2,60,True,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,289,0,0,0.0,0.0,2024-03-17T14:00:00Z,0,2,0,0,0,0,29,0,2031,0,1,1,0.0,0,-6,0,6,60,True,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,297,0,0,0.0,0.0,2024-03-30T12:30:00Z,0,15,0,0,0,0,30,0,2028,0,3,4,0.0,0,-3,0,3,60,False,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,306,0,0,0.0,0.0,2024-04-02T19:15:00Z,0,18,0,0,0,0,31,0,2026,0,1,1,0.0,0,-2,0,2,60,True,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,320,0,0,0.0,0.0,2024-04-06T14:00:00Z,0,20,0,0,0,0,32,0,2025,0,2,1,0.0,0,-1,0,1,60,False,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,330,0,0,0.0,0.0,2024-04-14T13:00:00Z,0,10,0,0,0,0,33,0,2024,0,2,0,0.0,0,0,0,0,60,True,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,333,0,0,0.0,0.0,2024-04-21T14:00:00Z,0,8,0,0,0,0,34,0,2022,0,2,5,0.0,0,-3,0,3,60,False,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,349,0,0,0.0,0.0,2024-04-27T11:30:00Z,0,11,0,0,0,0,35,0,2021,0,2,2,0.0,0,-1,0,1,60,True,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,355,0,0,0.0,0.0,2024-05-05T13:00:00Z,0,7,0,0,0,0,36,0,2017,0,0,5,0.0,0,-4,0,4,60,False,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,369,0,0,0.0,0.0,2024-05-11T14:00:00Z,0,12,0,0,0,0,37,0,2013,0,1,3,0.0,0,-4,0,4,60,True,0
0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,379,0,0,0.0,0.0,2024-05-19T15:00:00Z,0,13,0,0,0,0,38,0,2012,0,1,3,0.0,0,-1,0,1,60,False,0
