assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,15,0,15.4,254,0.03,0.09,0.06,1.50,5,1,0,3.9,17.8,2023-08-12T14:00:00Z,90,10,0,0,0,0,1,0,4099,1,1,0,6.0,2,0,0,0,50,True,0
0,0,1,0,1.5,254,0.00,0.00,0.00,2.12,11,2,0,0.2,0.8,2023-08-20T13:00:00Z,45,2,0,0,0,0,2,0,4717,1,0,4,0.0,0,-423,271,694,50,False,1
0,0,19,0,4.4,254,0.04,0.04,0.00,0.88,27,1,0,1.9,14.4,2023-08-26T14:00:00Z,90,20,0,0,0,0,3,0,4309,1,1,0,0.0,2,-647,136,783,50,True,0
0,0,16,0,5.0,254,0.02,0.02,0.00,1.24,40,2,0,1.6,11.2,2023-09-02T11:30:00Z,90,17,0,0,0,0,4,0,4228,1,2,2,0.0,2,-299,217,516,49,False,0
0,0,6,0,14.7,254,0.01,0.08,0.07,1.02,43,1,0,3.7,11.4,2023-09-17T15:30:00Z,90,1,0,0,0,0,5,0,4147,1,1,0,11.0,2,-286,130,416,49,True,0
0,0,16,0,38.8,254,0.26,0.28,0.02,1.04,52,1,0,4.9,6.8,2023-09-23T16:30:00Z,90,4,0,0,0,0,6,0,4262,1,3,1,3.0,2,20,246,226,49,False,0
0,0,13,0,3.1,254,0.02,0.11,0.09,0.80,63,2,0,1.5,6.6,2023-09-30T14:00:00Z,45,12,0,0,0,0,7,0,4448,1,2,1,5.0,1,93,395,302,49,True,0
0,0,0,0,0.0,254,0.00,0.00,0.00,0.00,75,0,0,0.0,0.0,2023-10-07T14:00:00Z,0,3,0,0,0,0,8,0,4347,0,0,3,0.0,0,-158,166,324,49,True,0
0,0,0,0,0.0,254,0.00,0.00,0.00,0.00,85,0,0,0.0,0.0,2023-10-21T11:30:00Z,0,11,0,0,0,0,9,0,4014,0,0,2,0.0,0,-346,77,423,48,False,0
0,0,0,0,0.0,254,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2023-10-29T13:00:00Z,0,19,0,0,0,0,10,0,3908,0,1,0,0.0,0,-135,87,222,48,False,0
0,0,3,0,0.7,254,0.00,0.00,0.00,0.53,103,1,0,0.7,5.8,2023-11-04T15:00:00Z,90,5,0,0,0,0,11,0,3880,1,1,1,0.0,1,-68,112,180,48,True,1
0,2,30,0,10.7,254,0.03,0.16,0.13,1.24,116,1,1,7.3,43.6,2023-11-11T15:00:00Z,45,8,0,0,0,0,12,0,3872,0,3,2,19.0,8,-36,100,136,48,False,0
0,0,7,0,16.8,254,0.05,0.39,0.34,2.18,123,3,0,4.8,11.6,2023-11-26T16:30:00Z,90,14,0,0,0,0,13,0,4386,1,3,0,20.0,1,373,514,141,48,True,1
0,0,9,1,12.6,254,0.03,0.06,0.03,0.71,139,0,0,3.7,16.2,2023-12-02T17:30:00Z,90,16,0,0,0,0,14,0,4612,1,1,0,8.0,3,201,371,170,48,False,0
0,0,11,1,14.2,254,0.05,0.23,0.18,1.58,144,0,0,3.2,6.2,2023-12-07T19:30:00Z,90,15,0,0,0,0,15,0,4623,1,0,3,12.0,2,-10,159,169,48,True,1
0,0,-3,0,0.6,254,0.00,0.00,0.00,0.20,154,0,0,0.7,6.0,2023-12-10T14:00:00Z,45,7,0,0,0,0,16,0,4645,1,0,2,0.0,0,-11,176,187,48,True,1
0,0,0,0,0.0,254,0.00,0.00,0.00,0.00,164,0,0,0.0,0.0,2023-12-16T17:30:00Z,0,6,0,0,0,0,17,0,4185,0,2,0,0.0,0,-451,50,501,48,False,0
0,0,2,0,0.8,254,0.00,0.00,0.00,0.86,178,2,0,0.1,0.2,2023-12-23T15:00:00Z,23,18,0,0,0,0,18,0,4150,1,1,2,0.0,0,-75,71,146,48,False,1
