assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,388,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2023-08-14T19:00:00Z,0,20,0,0,0,0,1,0,2770,0,0,1,0.0,0,0,0,0,45,True,0
0,0,0,0,0.0,388,0.00,0.00,0.00,0.00,18,0,0,0.0,0.0,2023-08-19T16:30:00Z,0,18,0,0,0,0,2,0,2279,0,0,2,0.0,0,-572,95,667,45,False,0
0,0,0,0,0.0,388,0.00,0.00,0.00,0.00,28,0,0,0.0,0.0,2023-08-26T14:00:00Z,0,16,0,0,0,0,3,0,1952,0,2,3,0.0,0,-390,48,438,45,True,0
0,0,0,0,0.0,388,0.00,0.00,0.00,0.00,31,0,0,0.0,0.0,2023-09-03T15:30:00Z,0,1,0,0,0,0,4,0,1747,0,1,3,0.0,0,-225,51,276,44,False,0
0,0,0,0,0.0,388,0.00,0.00,0.00,0.00,45,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,5,0,0,0,0,5,0,1669,0,3,1,0.0,0,-110,134,244,44,True,0
0,0,0,0,0.0,388,0.00,0.00,0.00,0.00,54,0,0,0.0,0.0,2023-09-23T19:00:00Z,0,6,0,0,0,0,6,0,1651,0,1,0,0.0,0,-34,100,134,44,False,0
0,0,0,0,0.0,388,0.00,0.00,0.00,0.00,65,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,8,0,0,0,0,7,0,1619,0,1,0,0.0,0,-37,107,144,44,True,0
0,0,0,0,0.0,388,0.00,0.00,0.00,0.00,78,0,0,0.0,0.0,2023-10-07T14:00:00Z,0,4,0,0,0,0,8,0,1669,0,1,2,0.0,0,40,167,127,44,True,0
0,0,0,0,0.0,388,0.00,0.00,0.00,0.00,89,0,0,0.0,0.0,2023-10-21T19:00:00Z,0,17,0,0,0,0,9,0,1859,0,2,1,0.0,0,170,293,123,44,False,0
0,0,0,0,0.0,388,0.00,0.00,0.00,0.00,98,0,0,0.0,0.0,2023-10-29T15:30:00Z,0,13,0,0,0,0,10,0,2099,0,3,0,0.0,0,235,398,163,44,True,0
0,0,0,0,0.0,388,0.00,0.00,0.00,0.00,104,0,0,0.0,0.0,2023-11-04T12:30:00Z,0,10,0,0,0,0,11,0,3359,0,1,0,0.0,0,1115,1277,162,44,False,0
0,0,0,0,0.0,388,0.00,0.00,0.00,0.00,118,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,12,0,0,0,0,12,0,3323,0,0,1,0.0,0,13,357,344,44,True,0
0,0,15,1,4.3,388,0.01,0.01,0.00,1.58,123,0,0,2.4,17.2,2023-11-26T16:30:00Z,71,9,0,0,0,0,13,0,3471,1,3,0,2.0,3,88,396,308,44,False,0
0,0,13,0,4.0,388,0.02,0.02,0.00,2.65,138,1,0,1.2,7.6,2023-12-02T20:00:00Z,79,15,0,0,0,0,14,0,12445,1,0,1,0.0,2,8305,8840,535,44,False,0
0,0,0,0,0.0,388,0.00,0.00,0.00,0.00,150,0,0,0.0,0.0,2023-12-06T20:15:00Z,0,7,0,0,0,0,15,0,16804,0,1,2,0.0,0,4259,5202,943,44,True,0
0,0,0,0,0.0,388,0.00,0.00,0.00,0.00,157,0,0,0.0,0.0,2023-12-09T15:00:00Z,0,3,0,0,0,0,16,0,16416,0,3,0,0.0,0,-264,2377,2641,44,True,0
0,0,5,1,0.8,388,0.10,0.10,0.00,2.06,166,0,0,2.2,19.4,2023-12-17T16:30:00Z,81,11,0,0,0,0,17,0,14889,1,0,0,2.0,2,-1500,1393,2893,44,False,1
0,0,13,0,17.6,388,0.03,0.06,0.03,1.36,179,2,0,4.7,18.4,2023-12-23T12:30:00Z,90,19,0,0,0,0,18,0,15177,1,0,2,11.0,2,44,1695,1651,44,False,0
0,0,11,0,2.5,388,0.02,0.02,0.00,1.68,188,2,0,1.3,10.4,2023-12-26T20:00:00Z,80,2,0,0,0,0,19,0,16613,1,2,3,0.0,2,1104,2277,1173,44,True,0
0,0,0,0,1.6,388,0.01,0.01,0.00,0.37,197,0,0,1.2,10.8,2023-12-30T17:30:00Z,45,16,0,0,0,0,20,0,17422,1,1,2,0.0,1,655,2858,2203,44,False,0
0,0,9,0,2.5,388,0.01,0.01,0.00,1.36,208,2,0,1.2,9.0,2024-01-14T16:30:00Z,90,18,0,0,0,0,21,0,16814,1,2,2,0.0,2,-875,3031,3906,44,True,0
0,3,36,0,2.9,388,0.01,0.08,0.07,2.10,218,3,1,7.6,51.6,2024-02-01T20:15:00Z,90,20,0,0,0,0,22,0,17979,1,4,3,21.0,10,612,2844,2232,44,False,0
0,0,9,1,1.4,388,0.01,0.01,0.00,1.19,228,0,0,0.7,5.6,2024-02-04T14:00:00Z,63,19,0,0,0,0,23,0,36489,1,0,3,0.0,3,17874,18949,1075,44,True,0
