assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,284,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,9,0,0,0,0,1,0,36955,0,1,0,0.0,0,0,0,0,40,False,0
0,0,0,0,0.0,284,0.00,0.00,0.00,0.00,13,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,4,0,0,0,0,2,0,39143,0,3,0,0.0,0,-1029,970,1999,40,True,0
0,0,-3,0,0.0,284,0.00,0.00,0.00,0.00,21,0,0,0.0,0.0,2023-08-26T14:00:00Z,0,1,0,0,0,0,3,0,37768,0,2,2,0.0,-1,-1954,457,2411,40,False,1
0,0,0,0,0.0,284,0.00,0.00,0.00,0.00,39,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,13,0,0,0,0,4,0,36437,0,1,5,0.0,0,-1995,498,2493,40,False,0
0,0,0,0,0.0,284,0.00,0.00,0.00,0.00,44,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,12,0,0,0,0,5,0,36225,0,0,1,0.0,0,-1045,760,1805,40,True,0
0,0,0,0,0.0,284,0.00,0.00,0.00,0.00,56,0,0,0.0,0.0,2023-09-23T14:00:00Z,0,8,0,0,0,0,6,0,35226,0,0,0,0.0,0,-1186,383,1569,40,False,0
0,0,0,0,0.0,284,0.00,0.00,0.00,0.00,64,0,0,0.0,0.0,2023-10-02T19:00:00Z,0,7,0,0,0,0,7,0,34342,0,2,0,0.0,0,-1017,447,1464,40,True,0
0,0,0,0,0.0,284,0.00,0.00,0.00,0.00,76,0,0,0.0,0.0,2023-10-07T14:00:00Z,0,17,0,0,0,0,8,0,33088,0,1,3,0.0,0,-1451,450,1901,40,True,0
0,0,0,0,0.0,284,0.00,0.00,0.00,0.00,90,0,0,0.0,0.0,2023-10-23T19:00:00Z,0,18,0,0,0,0,9,0,32247,0,0,2,0.0,0,-931,248,1179,40,False,0
0,0,0,0,0.0,284,0.00,0.00,0.00,0.00,94,0,0,0.0,0.0,2023-10-29T14:00:00Z,0,5,0,0,0,0,10,0,34331,0,1,1,0.0,0,1409,2455,1046,39,False,0
0,0,0,0,0.0,284,0.00,0.00,0.00,0.00,104,0,0,0.0,0.0,2023-11-04T12:30:00Z,0,14,0,0,0,0,11,0,37045,0,1,0,0.0,0,2010,2680,670,39,True,0
0,0,0,0,0.0,284,0.00,0.00,0.00,0.00,112,0,0,0.0,0.0,2023-11-12T14:00:00Z,0,2,0,0,0,0,12,0,37997,0,1,3,0.0,0,831,1663,832,39,False,0
0,0,0,0,0.0,284,0.00,0.00,0.00,0.00,124,0,0,0.0,0.0,2023-11-27T20:00:00Z,0,20,0,0,0,0,13,0,39382,0,2,3,0.0,0,904,1827,923,39,True,0
0,0,0,0,0.0,284,0.00,0.00,0.00,0.00,136,0,0,0.0,0.0,2023-12-03T14:00:00Z,0,11,0,0,0,0,14,0,40239,0,3,4,0.0,0,720,1620,900,39,False,0
