assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,272,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,9,0,0,0,0,1,0,2671,0,1,0,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,272,0.00,0.00,0.00,0.00,13,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,4,0,0,0,0,2,0,2930,0,3,0,0.0,0,-248,153,401,45,True,0
0,0,0,0,0.0,272,0.00,0.00,0.00,0.00,21,0,0,0.0,0.0,2023-08-26T14:00:00Z,0,1,0,0,0,0,3,0,2711,0,2,2,0.0,0,-322,87,409,45,False,0
0,0,0,0,0.0,272,0.00,0.00,0.00,0.00,39,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,13,0,0,0,0,4,0,2630,0,1,5,0.0,0,-215,127,342,44,False,0
0,0,0,0,0.0,272,0.00,0.00,0.00,0.00,44,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,12,0,0,0,0,5,0,2957,0,0,1,0.0,0,100,369,269,44,True,0
0,0,0,0,0.0,272,0.00,0.00,0.00,0.00,56,0,0,0.0,0.0,2023-09-23T14:00:00Z,0,8,0,0,0,0,6,0,3022,0,0,0,0.0,0,13,209,196,44,False,0
0,0,0,0,0.0,272,0.00,0.00,0.00,0.00,64,0,0,0.0,0.0,2023-10-02T19:00:00Z,0,7,0,0,0,0,7,0,3055,0,2,0,0.0,0,-32,227,259,44,True,0
0,0,0,0,0.0,272,0.00,0.00,0.00,0.00,76,0,0,0.0,0.0,2023-10-07T14:00:00Z,0,17,0,0,0,0,8,0,3075,0,1,3,0.0,0,-13,212,225,44,True,0
0,0,0,0,0.0,272,0.00,0.00,0.00,0.00,90,0,0,0.0,0.0,2023-10-23T19:00:00Z,0,18,0,0,0,0,9,0,3060,0,0,2,0.0,0,-66,111,177,44,False,0
0,0,0,0,0.0,272,0.00,0.00,0.00,0.00,94,0,0,0.0,0.0,2023-10-29T14:00:00Z,0,5,0,0,0,0,10,0,3077,0,1,1,0.0,0,-6,153,159,44,False,0
0,0,0,0,0.0,272,0.00,0.00,0.00,0.00,104,0,0,0.0,0.0,2023-11-04T12:30:00Z,0,14,0,0,0,0,11,0,3142,0,1,0,0.0,0,38,188,150,44,True,0
0,0,0,0,0.0,272,0.00,0.00,0.00,0.00,112,0,0,0.0,0.0,2023-11-12T14:00:00Z,0,2,0,0,0,0,12,0,3067,0,1,3,0.0,0,-88,75,163,44,False,0
0,0,0,0,0.0,272,0.00,0.00,0.00,0.00,124,0,0,0.0,0.0,2023-11-27T20:00:00Z,0,20,0,0,0,0,13,0,3047,0,2,3,0.0,0,-70,110,180,44,True,0
0,0,0,0,0.0,272,0.00,0.00,0.00,0.00,136,0,0,0.0,0.0,2023-12-03T14:00:00Z,0,11,0,0,0,0,14,0,2881,0,3,4,0.0,0,-161,23,184,44,False,0
0,0,0,0,0.0,272,0.00,0.00,0.00,0.00,145,0,0,0.0,0.0,2023-12-06T19:30:00Z,0,16,0,0,0,0,15,0,2793,0,0,5,0.0,0,-86,13,99,44,True,0
0,0,0,0,0.0,272,0.00,0.00,0.00,0.00,155,0,0,0.0,0.0,2023-12-10T14:00:00Z,0,19,0,0,0,0,16,0,2705,0,0,5,0.0,0,-92,13,105,44,True,0
0,0,0,0,0.0,272,0.00,0.00,0.00,0.00,168,0,0,0.0,0.0,2023-12-16T15:00:00Z,0,15,0,0,0,0,17,0,2635,0,0,3,0.0,0,-73,24,97,44,False,0
0,0,0,0,0.0,272,0.00,0.00,0.00,0.00,173,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,6,0,0,0,0,18,0,2607,0,2,0,0.0,0,-37,40,77,44,True,0
0,0,0,0,0.0,272,0.00,0.00,0.00,0.00,182,0,0,0.0,0.0,2023-12-26T15:00:00Z,0,3,0,0,0,0,19,0,2634,0,0,3,0.0,0,6,44,38,44,False,0
0,0,0,0,0.0,272,0.00,0.00,0.00,0.00,193,0,0,0.0,0.0,2023-12-31T14:00:00Z,0,1,0,0,0,0,20,0,2596,0,1,2,0.0,0,-47,35,82,44,True,0
0,0,0,0,0.0,272,0.00,0.00,0.00,0.00,206,0,0,0.0,0.0,2024-01-13T12:30:00Z,0,7,0,0,0,0,21,0,2568,0,0,1,0.0,0,-62,51,113,44,False,0
