assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,17,0,0,0,0,1,0,80223,0,1,0,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,12,0,0,0.0,0.0,2023-08-21T19:00:00Z,0,1,0,0,0,0,2,0,74486,0,1,0,0.0,0,-10691,890,11581,45,True,0
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,23,0,0,0.0,0.0,2023-08-26T14:00:00Z,0,4,0,0,0,0,3,0,68815,0,1,1,0.0,0,-7273,968,8241,45,False,0
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,36,0,0,0.0,0.0,2023-09-03T13:00:00Z,0,20,0,0,0,0,4,0,61542,0,2,3,0.0,0,-7875,660,8535,44,True,0
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,41,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,2,0,0,0,0,5,0,46808,0,1,3,0.0,0,-14708,10,14718,44,False,0
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,56,0,0,0.0,0.0,2023-09-23T14:00:00Z,0,10,0,0,0,0,6,0,40211,0,0,0,0.0,0,-6816,0,6816,44,True,0
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,65,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,14,0,0,0,0,7,0,35616,0,1,0,0.0,0,-4521,0,4521,44,False,0
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,74,0,0,0.0,0.0,2023-10-07T16:30:00Z,0,16,0,0,0,0,8,0,32332,0,0,0,0.0,0,-3332,0,3332,44,True,0
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,87,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,15,0,0,0,0,9,0,30016,0,0,4,0.0,0,-2457,0,2457,44,False,0
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,96,0,0,0.0,0.0,2023-10-27T19:00:00Z,0,18,0,0,0,0,10,0,27908,0,2,1,0.0,0,-2129,0,2129,44,True,0
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,102,0,0,0.0,0.0,2023-11-04T15:00:00Z,0,6,0,0,0,0,11,0,26533,0,2,0,0.0,0,-1402,0,1402,44,False,0
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,116,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,9,0,0,0,0,12,0,25596,0,3,2,0.0,0,-932,0,932,44,True,0
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,125,0,0,0.0,0.0,2023-11-25T15:00:00Z,0,12,0,0,0,0,13,0,24353,0,1,2,0.0,0,-1214,0,1214,44,False,0
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,140,0,0,0.0,0.0,2023-12-03T14:00:00Z,0,19,0,0,0,0,14,0,23622,0,1,1,0.0,0,-805,0,805,44,False,0
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,143,0,0,0.0,0.0,2023-12-06T19:30:00Z,0,3,0,0,0,0,15,0,22956,0,2,0,0.0,0,-667,0,667,44,True,0
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,153,0,0,0.0,0.0,2023-12-09T12:30:00Z,0,11,0,0,0,0,16,0,22365,0,2,1,0.0,0,-582,0,582,44,True,0
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,167,0,0,0.0,0.0,2023-12-16T15:00:00Z,0,13,0,0,0,0,17,0,21813,0,2,2,0.0,0,-536,0,536,44,False,0
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,172,0,0,0.0,0.0,2023-12-21T20:00:00Z,0,5,0,0,0,0,18,0,21390,0,1,1,0.0,0,-435,0,435,44,True,0
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,186,0,0,0.0,0.0,2023-12-27T19:30:00Z,0,7,0,0,0,0,19,0,21128,0,1,2,0.0,0,-287,0,287,44,False,0
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,192,0,0,0.0,0.0,2023-12-30T15:00:00Z,0,4,0,0,0,0,20,0,20754,0,1,3,0.0,0,-373,0,373,44,True,0
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,201,0,0,0.0,0.0,2024-01-20T12:30:00Z,0,1,0,0,0,0,21,0,20186,0,0,5,0.0,0,-544,0,544,44,False,0
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,212,0,0,0.0,0.0,2024-01-30T20:00:00Z,0,17,0,0,0,0,22,0,19944,0,2,3,0.0,0,-271,0,271,44,True,0
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,224,0,0,0.0,0.0,2024-02-03T15:00:00Z,0,5,0,0,0,0,23,0,19848,0,1,4,0.0,0,-108,0,108,44,False,0
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,232,0,0,0.0,0.0,2024-02-12T20:00:00Z,0,7,0,0,0,0,24,0,19664,0,3,1,0.0,0,-181,0,181,44,True,0
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,243,0,0,0.0,0.0,2024-02-19T20:00:00Z,0,9,0,0,0,0,25,0,19414,0,1,1,0.0,0,-208,0,208,44,False,0
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,256,0,0,0.0,0.0,2024-02-24T15:00:00Z,0,6,0,0,0,0,26,0,19260,0,0,3,0.0,0,-177,0,177,44,True,0
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,270,0,0,0.0,0.0,2024-03-02T15:00:00Z,0,18,0,0,0,0,27,0,19151,0,1,3,0.0,0,-131,0,131,44,False,0
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,276,0,0,0.0,0.0,2024-03-09T15:00:00Z,0,12,0,0,0,0,28,0,18997,0,1,1,0.0,0,-157,0,157,44,True,0
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,298,0,0,0.0,0.0,2024-03-30T15:00:00Z,0,16,0,0,0,0,30,0,18825,0,1,1,0.0,0,-84,0,84,44,False,0
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,302,0,0,0.0,0.0,2024-04-02T18:45:00Z,0,3,0,0,0,0,31,0,18765,0,0,1,0.0,0,-65,0,65,44,False,0
0,0,0,0,0.0,227,0.00,0.00,0.00,0.00,313,0,0,0.0,0.0,2024-04-06T11:30:00Z,0,13,0,0,0,0,32,0,18666,0,4,2,0.0,0,-95,0,95,44,True,0
